current_machine_family,current_machine_instance,current_tooling_family,current_certification,rtd_machine_family,rtd_machine_instance,rtd_tooling_family,rtd_certification,future_machine_instance,future_machine_family,future_tooling_family,future_certification
ETS-INA-64,CLFTEA01,6471907A,2,ETS-0-64                                     ,CLFTEA01,6471907A                                     ,2,CLFTEA01,6471907A,ETS-0-64,2
ETS-1-64,CLFTEA02,6487925B,1,ETS-2-64                                     ,CLFTEA02,6487925B                                     ,1,CLFTEA02,6487925B,ETS-2-64,1
ETS-0-64,CLFTEA03,6505771B,1,ETS-0-64                                     ,CLFTEA03,6505771B                                     ,1,CLFTEA03,6505771B,ETS-0-64,1
ETS-1-64,CLFTEA04,ASM4198,1,ETS-0M-64                                    ,CLFTEA04,ASM4198                                      ,1,CLFTEA04,ASM4198,ETS-0M-64,1
ETS-0-64,CLFTEA05,6555551A,1,ETS-0-64                                     ,CLFTEA05,6555551A                                     ,1,CLFTEA05,6555551A,ETS-0-64,1
ETS-2-128,CLFTEA07,6526024A,2,ETS-0-64                                     ,CLFTEA07,6526024A                                     ,2,CLFTEA07,6526024A,ETS-0-64,2
ETS-INA-64,CLFTEA08,,1,ETS-2-128                                    ,CLFTEA08,6514600A                                     ,1,CLFTEA08,6514600A,ETS-2-128,1
ETS-INA-64,CLFTEA08,,1,ETS-2-128                                    ,CLFTEA08,6514600A                                     ,1,CLFTEA08,6494649B,ETS-0-64,1
ETS-0-64,CLFTEA09,6480208B,1,ETS-2-128                                    ,CLFTEA09,6510697B                                     ,1,CLFTEA09,6480208B,ETS-0-64,1
ETS-0-64,CLFTEA09,6480208B,1,ETS-2-128                                    ,CLFTEA09,6510697B                                     ,1,CLFTEA09,6510697B,ETS-2-128,1
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,1,CLFTEA10,6517950B,ETM-0M-64,3
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,1,CLFTEA10,6517950B,ETM-0M-64,1
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,2,CLFTEA10,6517950B,ETM-0M-64,3
ETS-INAM-64,CLFTEA10,6517950B,3,ETM-0M-64                                    ,CLFTEA10,6517950B                                     ,2,CLFTEA10,6517950B,ETM-0M-64,1
ETS-2-64,CLFTEA12,6487925B,1,ETS-0-64                                     ,CLFTEA12,6487925B                                     ,1,CLFTEA12,6487925B,ETS-0-64,1
ETS-1-64,CLFTEA13,6511094C,1,ETS-0-64                                     ,CLFTEA13,6511094C                                     ,1,CLFTEA13,6511094C,ETS-0-64,1
ETS-2M-64,CLFTEA14,6566885A,1,ETM-0M-64                                    ,CLFTEA14,6529762A                                     ,1,CLFTEA14,6566885A,ETM-2-64,1
ETS-S-64,CLFTEA15,6556725A,1,ETM-2-64                                     ,CLFTEA15,6556725A                                     ,1,CLFTEA15,6556725A,ETM-2-64,1
ETS-INAM-64,CLFTEA16,6529253A,1,ETS-0-64                                     ,CLFTEA16,6529253A                                     ,1,CLFTEA16,6529253A,ETS-0-64,1
ETS-0-64,CLFTEA17,6505620C,1,ETS-0-64                                     ,CLFTEA17,6505620C                                     ,1,CLFTEA17,6505620C,ETS-0-64,1
ETS-2M-64,CLFTEA18,6517701E,1,ETS-2-64                                     ,CLFTEA18,6517701E                                     ,1,CLFTEA18,6517701E,ETS-2-64,1
ETS-2-64,CLFTEA19,6526546B,2,ETS-0-64                                     ,CLFTEA19,6526546B                                     ,2,CLFTEA19,6526546B,ETS-0-64,2
ETS-S-64,CLFTEA20,6568858D,1,ETS-2-64                                     ,CLFTEA20,6568858D                                     ,1,CLFTEA20,6568858D,ETS-2-64,1
ETS-0-64,CLFTEA22,6523514A,1,ETS-0-64                                     ,CLFTEA22,6523514A                                     ,1,CLFTEA22,6523514A,ETS-0-64,1
ETS-2-64,CLFTEA23,6514494A,1,ETS-2-64                                     ,CLFTEA23,6514494A                                     ,1,CLFTEA23,6514494A,ETS-2-64,1
ETS-2-64,CLFTEA25,6525585A,1,ETS-2-64                                     ,CLFTEA25,6525585A                                     ,1,CLFTEA25,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA26,,1,ETS-1-64                                     ,CLFTEA26,6491839B                                     ,1,CLFTEA26,6491839B,ETS-1-64,1
ETS-2-64,CLFTEA27,6512302B,1,ETS-0-64                                     ,CLFTEA27,6512302B                                     ,1,CLFTEA27,6512302B,ETS-0-64,1
ETS-INA-64,CLFTEA28,6487925B,1,ETS-0-64                                     ,CLFTEA28,6487925B                                     ,1,CLFTEA28,6487925B,ETS-2-64,1
ETS-2-64,CLFTEA29,6525585A,1,ETS-2-64                                     ,CLFTEA29,6525585A                                     ,1,CLFTEA29,6525585A,ETS-2-64,1
ETS-2-64,CLFTEA30,6524040A,1,ETM-2-64                                     ,CLFTEA30,6524040A                                     ,1,CLFTEA30,6524040A,ETM-2-64,1
