"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA10","ETS-1M-64","2.5X2.5","6514600A                                     ","6506370A","8","233786","1","18969","12.32","STD  ","DSKST300     ","436173.91","54003","179783","0","0.12","0.41","0","0.54"
"CLFTEA10","ETS-1M-64","3.5X3.5","6514600A                                     ","6487925B","7","100920","2","17430","5.79","STD  ","RGY          ","69929.46","189407","974321","0","2.71","13.93","0","16.64"
"CLFTEA11","ETS-2-64","4.5X3.5","6525585A                                     ","6578688B","32","207904","1","8704","23.89","STD  ","DPC          ","64907.9","0","3897","0","0","0.06","0","0.06"
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","15","125177","0","19842","6.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA13","ETS-1M-64","3X3","6513992A                                     ","6511094C","14","181745","1","3881","46.83","STD  ","DRB          ","93149.41","82750","140413","0","0.89","1.51","0","2.4"
"CLFTEA14","ETS-2-64","3.5X3.5","6566885A                                     ","6566885A","3","45328","0","2457","18.45","STD  ","RGY300       ","58485.72","0","168042","0","0","2.87","0","2.87"
"CLFTEA14","ETS-2-64","2X2","6566885A                                     ","6574499A","8","173391","1","14980","11.57","STD  ","DRVST300     ","359513.04","24749","148642","0","0.07","0.41","0","0.48"
"CLFTEA14","ETS-2-64","4.5X3.5","6566885A                                     ","6545456B","9","55989","2","13426","4.17","CLIP ","RVECLIP      ","85161.76","12388","317144","0","0.15","3.72","0","3.87"
"CLFTEA15","ETS-S-64","2X2","6479465A                                     ","6506370A","30","691981","1","43436","15.93","STRIP","DSGST        ","362051.45","60951","140454","0","0.17","0.39","0","0.56"
"CLFTEA17","ETS-0-64","3X3","6511094C                                     ","6505620C","9","62315","1","6225","10.01","STD  ","DRC          ","13265.45","60715","238060","0","4.58","17.95","0","22.52"
"CLFTEA17","ETS-0-64","3X3","6511094C                                     ","6513992A","1","8470","2","19847","0.43","STD  ","RGTLLF       ","102084.92","8470","0","0","0.08","0","0","0.08"
"CLFTEA18","ETS-2M-64","3X3","6479550B                                     ","6512302B","8","110536","1","6112","18.09","STD  ","DRB300       ",NULL,"82767","516265","0","0","0","0","0"
"CLFTEA18","ETS-2M-64","3X3","6479550B                                     ","6569306A","2","5990","2","9570","0.63","STD  ","RTE300       ",NULL,"0","47985","0","0","0","0","0"
"CLFTEA19","ETS-2-64","4X4","6526546B                                     ","6526546B","12","110205","0","2661","41.41","STD  ","RUY          ","63243.95","0","120267","0","0","1.9","0","1.9"
"CLFTEA19","ETS-2-64","5X5","6526546B                                     ","6518233A","3","10628","1","4328","2.46","STD  ","RSB          ","51947.93","61324","209087","0","1.18","4.02","0","5.21"
"CLFTEA20","ETS-S-64","2X2","6528917C                                     ","6506370A","23","517995","1","43436","11.93","STRIP","DSGST        ","355443.53","60951","140454","0","0.17","0.4","0","0.57"
"CLFTEA20","ETS-S-64","3X3","6528917C                                     ","6513992A","3","39640","2","19847","2","STD  ","RGTLLF       ","104991.7","8446","73391","0","0.08","0.7","0","0.78"
"CLFTEA22","ETS-0-64","3X3","6489159B                                     ","6523514A","14","174439","1","7338","23.77","STD  ","DRC          ","88046.09","0","50965","0","0","0.58","0","0.58"
"CLFTEA23","ETS-2-64","3X3","6522167C                                     ","6575577B","16","161514","1","10015","16.13","STD  ","RGT          ","88376.73","12606","512855","0","0.14","5.8","0","5.95"
"CLFTEA24","ETM-2-64","2X2","6571495A                                     ","6514765A","16","342286","1","27528","12.43","STD  ","DRVST300     ","332920.52","0","130688","0","0","0.39","0","0.39"
"CLFTEA24","ETM-2-64","2X2","6571495A                                     ","6524788B","7","151901","2","7570","20.07","STD  ","DRVST300     ","185472","152014","74295","0","0.82","0.4","0","1.22"
"CLFTEA24","ETM-2-64","4X4","6571495A                                     ","6546767B","3","27257","3","10059","2.71","STD  ","RGPST300     ","236444.44","27257","0","0","0.12","0","0","0.12"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","14","129410","0","19071","6.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA26","ETS-2-64","3X3","","6460534B","13","160531","1","6702","23.95","STD  ","DRB          ","79716.3","0","98359","0","0","1.23","0","1.23"
"CLFTEA27","ETS-2-64","3X3","6512302B                                     ","6512302B","9","115408","0","6112","18.88","STD  ","DRB300       ",NULL,"82767","516265","0","0","0","0","0"
"CLFTEA29","ETS-2-64","4X4","6525585A                                     ","6525585A","13","128817","0","19071","6.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA3","ETS-0-64","3X3","","6523514A","16","175089","1","7338","23.86","STD  ","DRC          ","88046.09","0","50965","0","0","0.58","0","0.58"
"CLFTEA30","ETS-2-64","4.5X3.5","6575577B                                     ","6545456B","21","154913","1","13426","11.54","CLIP ","RVECLIP      ","83732.62","12388","317144","0","0.15","3.79","0","3.94"
"CLFTEA31","ETS-2-64","4X4","6512615D                                     ","6578526A","16","145932","1","3098","47.11","STD  ","RSN300VTT    ","74351.85","35644","501814","0","0.48","6.75","0","7.23"
"CLFTEA32","ETS-2-128","5X5","6580605B                                     ","6555551A","23","100477","1","2190","45.88","STD  ","RGW300       ","51203.7","478146","157011","0","9.34","3.07","0","12.4"
"CLFTEA32","ETS-2-128","3X3","6580605B                                     ","6530035A","1","12424","2","8683","1.43","STRIP","DSC300ST     ","208380.42","98064","122854","0","0.47","0.59","0","1.06"
"CLFTEA33","ETS-2-64","5X5","6487839B                                     ","6487839B","11","62612","0","5399","11.6","STD  ","RTV          ","33096.27","4280","7908","0","0.13","0.24","0","0.37"
"CLFTEA33","ETS-2-64","4X4","6487839B                                     ","6525585A","1","6364","1","19071","0.33","STD  ","RGELLF       ","60916.13","651366","1588979","0","10.69","26.08","0","36.78"
"CLFTEA34","ETS-2-64","4X4","6514558B                                     ","6498316A","9","60909","1","2556","23.83","STD  ","RSNTHIN      ","30679.08","0","111178","0","0","3.62","0","3.62"
"CLFTEA35","ETS-2M-64","3X2","6516394A                                     ","6545098B","5","73213","1","24260","3.02","STRIP","DQCST        ","582242.36","0","90319","0","0","0.16","0","0.16"
"CLFTEA35","ETS-2M-64","3X3","6516394A                                     ","6575577B","11","149326","2","10015","14.91","STD  ","RGT          ","88556.04","12606","512855","0","0.14","5.79","0","5.93"
"CLFTEA36","ETS-2-64","1.5X1.5","6570774A                                     ","6575703A","9","232395","1","15059","15.43","STD  ","DSEST300     ","117021.66","43526","132564","0","0.37","1.13","0","1.5"
