LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,15108,10053.00,5785851,4410,1,        16.19,      10.82,     95.74,,11/26/2015 06:06:11,
5905549,PS7A7100RGTT-L,3X3           ,RGTST        ,13818,6373.00,5905549,4410,1,        15.68,      10.82,     59.46,,11/26/2015 06:06:11,
5975209,401032DSGR1-G2,2X2           ,DSGST        ,1746,6314.00,5975209,4410,1,         17.7,      12.78,     58.81,,11/26/2015 06:06:11,
5907628,401032DSGR1-G2,2X2           ,DSGST        ,24251,6314.00,5907628,4410,1,         17.7,      12.78,     58.81,,11/26/2015 06:06:11,
8007515,001DRBR1-G2QN#,3X3           ,DRBST300     ,2294,6152.00,8007515,4410,1,            0,      10.82,     72.93,,11/26/2015 06:06:11,
5942235,PS53319DQPR-LN,6X5           ,DQPCLIP      ,2757,5066.00,5942235,4410,1,        16.86,      14.72,     49.11,,11/26/2015 06:06:11,
5942160,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,4254,5066.00,5942160,4410,1,        16.86,      14.72,     49.11,,11/26/2015 06:06:11,
5960386,090QRGTRQ12-G2,3X3           ,RGT300       ,13703,5047.00,5960386,4410,1,        19.88,      12.59,     43.77,,11/26/2015 06:06:11,
5953581,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,20995,5044.00,5953581,4410,1,        16.57,      11.31,     45.77,,11/26/2015 06:06:11,
5963957,090QRGTRQ12-G2,3X3           ,RGT300       ,10882,4947.00,5963957,4410,1,        19.88,      12.59,     42.76,,11/26/2015 06:06:11,
5960304,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,27183,4839.00,5960304,4410,1,        16.51,      11.31,     43.77,,11/26/2015 06:06:11,
5960306,BQ29707DSER-G2,1.5X1.5       ,DSEST300     ,33296,4839.00,5960306,4410,1,        16.51,      11.31,     43.77,,11/26/2015 06:06:11,
5964980,62406QDRCRQ1-R,3X3           ,DRCVTT       ,7033,4526.00,5964980,4410,1,        17.48,      14.11,     42.47,,11/26/2015 06:06:11,
5963741,S51362RVER-LNY,4.5X3.5       ,RVECLIP      ,7525,4454.00,5963741,4410,1,        17.03,      14.72,     42.81,,11/26/2015 06:06:11,
5924478,PS25810RVCR-G2,4X3           ,RVC300ST     ,15523,4277.00,5924478,4410,1,            0,      10.76,     54.12,,11/26/2015 06:06:11,
