Tester,TesterConfig,PackageSize,Initial_LoadBoard,Optimizer_LoadBoard,N_Lots,SUM_QTY,ChangeOver,ChangeType,SUM_PPH,Hours,PKGTYPE,PIN,CAP_PER_DAY,WIP_POST_WB,WIP_FT1,WIP_FT2,POST_WB_QUEUE,TEST_QUEUE_FT1,TEST_QUEUE_FT2,TOTAL_WIP
CLFTEA10,ETS-1M-64,3X3,6514600A                                     ,6489159B,10,134410,1,,2857,47.05,STD  ,DRB          ,68579.81,52735,365793,0,0.77,5.33,0,6.1
CLFTEA11,ETS-2-64,3X3,6525585A                                     ,6575577B,12,160372,1,,10015,16.01,STD  ,RGT          ,88316.96,12606,487854,0,0.14,5.52,0,5.67
CLFTEA12,ETS-2-64,3.5X3.5,6487925B                                     ,6487925B,12,115703,0,,19842,5.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CLFTEA13,ETS-1M-64,3X3,6513992A                                     ,6511094C,14,181675,1,,3881,46.81,STD  ,DRB          ,93149.41,93764,167980,0,1.01,1.8,0,2.81
CLFTEA14,ETS-2-64,3.5X3.5,6566885A                                     ,6566885A,4,60427,0,,2457,24.59,STD  ,RGY300       ,58485.72,0,190556,0,0,3.26,0,3.26
CLFTEA14,ETS-2-64,3X3,6566885A                                     ,6548821B,4,53109,1,,6838,7.77,STRIP,RGTST        ,55854.55,80388,122049,0,1.44,2.19,0,3.62
CLFTEA15,ETS-S-64,3X3,6479465A                                     ,6548821B,8,110002,1,,6838,16.09,STRIP,RGTST        ,55424.73,80388,122049,0,1.45,2.2,0,3.65
CLFTEA17,ETS-0-64,3X3,6511094C                                     ,6505620C,8,58966,1,,6225,9.47,STD  ,DRC          ,0,50356,231494,0,0,0,0,0
CLFTEA18,ETS-2M-64,7X5,6479550B                                     ,6528917C,13,46377,1,,971,47.76,STD  ,RVFCLIPT     ,20621.08,7325,135477,0,0.36,6.57,0,6.93
CLFTEA19,ETS-2-64,4X4,6526546B                                     ,6526546B,12,110205,0,,2661,41.41,STD  ,RUY          ,63243.95,0,120267,0,0,1.9,0,1.9
CLFTEA19,ETS-2-64,5X5,6526546B                                     ,6518233A,3,10628,1,,4328,2.46,STD  ,RSB          ,51947.93,45563,224839,0,0.88,4.33,0,5.21
CLFTEA20,ETS-S-64,3X3,6528917C                                     ,6523514A,13,172616,1,,7338,23.52,STD  ,DRC          ,88046.09,139015,843315,0,1.58,9.58,0,11.16
CLFTEA22,ETS-0-64,3X3,6489159B                                     ,6523514A,17,175936,1,,7338,23.98,STD  ,DRC          ,88046.09,0,23402,0,0,0.27,0,0.27
CLFTEA23,ETS-2-64,7X5,6522167C                                     ,6514558B,10,36675,1,,5296,6.93,STD  ,RGFMCM300    ,64701.18,35751,40225,0,0.55,0.62,0,1.17
CLFTEA23,ETS-2-64,3.5X3.5,6522167C                                     ,6487925B,7,94521,2,,19842,4.76,STD  ,RGY          ,65873.29,231579,985841,0,3.52,14.97,0,18.48
CLFTEA24,ETM-2-64,2X2,6571495A                                     ,6524788B,11,251134,1,,7570,33.17,STD  ,DRVST300     ,185472,102456,148678,0,0.55,0.8,0,1.35
CLFTEA24,ETM-2-64,3X3,6571495A                                     ,6460534B,1,13810,2,,6702,2.06,STD  ,DRB          ,79116.46,0,75982,0,0,0.96,0,0.96
