Tester,TesterConfig,PackageSize,Initial_LoadBoard,Optimizer_LoadBoard,N_Lots,SUM_QTY,ChangeOver,SUM_PPH,Hours,PKGTYPE,PIN,CAP_PER_DAY,WIP_POST_WB,WIP_FT1,WIP_FT2,POST_WB_QUEUE,TEST_QUEUE_FT1,TEST_QUEUE_FT2,TOTAL_WIP,Initial Change,24hr,(3)no change,(2a)within 24 lb,(5ai)package,(5aii)lb
CLFTEA10,ETS-1M-64,2.5X2.5,6514600A                                     ,6497193A,17,381993,1,25367,15.06,STRIP,DSKST        ,201193.16,20608,116260,0,0.1,0.58,0,0.68,FALSE,1,,,,
CLFTEA11,ETS-2-64,4X4,6525585A                                     ,6525585A,15,130761,0,27233,4.8,STD  ,RGE300       ,65038.63,25162,779531,0,0.39,11.99,0,12.37,TRUE,1,,,,
CLFTEA12,ETS-2-64,3.5X3.5,6487925B                                     ,6487925B,10,119413,0,19630,6.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,1,,,,
CLFTEA13,ETS-1M-64,6X6,,6479550B,12,61843,1,1329,46.53,STD  ,RHH          ,31898.79,52460,205405,0,1.64,6.44,0,8.08,FALSE,0,,,,
CLFTEA14,ETS-2-64,3.5X3.5,6512615D                                     ,6512615D,12,159329,0,13210,12.06,STD  ,RGR300       ,78760.03,0,54177,0,0,0.69,0,0.69,TRUE,1,,,,
CLFTEA15,ETS-S-64,2.5X2.5,,6506370A,13,353909,1,18969,18.66,STD  ,DSKST300     ,436173.91,15042,338867,0,0.03,0.78,0,0.81,FALSE,1,,,,
CLFTEA15,ETS-S-64,3X3,,6505620C,12,127725,2,15314,8.34,STD  ,DRC          ,20526.55,3456,12585,0,0.17,0.61,0,0.78,FALSE,1,,,,
CLFTEA17,ETS-0-64,3X3,6474275A                                     ,6548821B,8,104348,1,6838,15.26,STRIP,RGTST        ,55854.55,0,229381,0,0,4.11,0,4.11,FALSE,1,,,,
CLFTEA17,ETS-0-64,3X3,6474275A                                     ,6469014A,1,8418,2,8547,0.98,STD  ,DRCLLF       ,68377.39,66926,96231,0,0.98,1.41,0,2.39,FALSE,1,,,,
CLFTEA18,ETS-2M-64,6X6,6513476C                                     ,6518648B,9,46611,1,2002,23.28,STD  ,RHA300       ,24524.04,6292,150085,0,0.26,6.12,0,6.38,FALSE,1,,,,
CLFTEA18,ETS-2M-64,3X3,6513476C                                     ,6546196A,3,22331,2,21808,1.02,STRIP,RTE300ST     ,0,105235,0,0,0,0,0,0,FALSE,1,,,,
CLFTEA19,ETS-2-64,3X3,6526546B                                     ,6471907A,9,110995,1,12052,9.21,STD  ,DRCLLF       ,57583.96,25349,46966,0,0.44,0.82,0,1.26,FALSE,1,,,,
CLFTEA20,ETS-S-64,6X6,6479550B                                     ,6479550B,12,61894,0,1329,46.57,STD  ,RHH          ,31898.79,52460,205405,0,1.64,6.44,0,8.08,TRUE,0,,,,
CLFTEA22,ETS-0-64,6X6,6462365C                                     ,6479550B,17,63580,1,1329,47.84,STD  ,RHH          ,31898.79,52460,205405,0,1.64,6.44,0,8.08,FALSE,0,,,,
CLFTEA23,ETS-2-64,4X4,6522167C                                     ,6541533C,14,98120,1,9782,10.03,STD  ,RSM300       ,54951.83,73143,20092,0,1.33,0.37,0,1.7,FALSE,1,,,,
CLFTEA24,ETM-2-64,2X2,6575258A                                     ,6514765A,12,260455,1,27528,9.46,STD  ,DRVST300     ,325751.69,24715,186315,0,0.08,0.57,0,0.65,FALSE,1,,,,
CLFTEA24,ETM-2-64,3X3,6575258A                                     ,6460534B,8,92932,2,6702,13.87,STD  ,DRB          ,79238.31,23682,0,0,0.3,0,0,0.3,FALSE,1,,,,
CLFTEA25,ETS-2-64,4X4,6525585A                                     ,6525585A,13,129194,0,27233,4.74,STD  ,RGELLF       ,60916.13,559190,512849,0,9.18,8.42,0,17.6,TRUE,1,,,,
CLFTEA26,ETS-2-64,3.5X3.5,6515577B                                     ,6541231B,11,136657,1,3155,43.31,STD  ,RGR300       ,75720.65,45209,106536,0,0.6,1.41,0,2,FALSE,0,,,,
CLFTEA26,ETS-2-64,3X3,6515577B                                     ,6469014A,2,12963,2,8547,1.52,STD  ,DRCLLF       ,68377.39,66926,96231,0,0.98,1.41,0,2.39,FALSE,1,,,,
CLFTEA27,ETS-2-64,3X3,6512302B                                     ,6512302B,8,99593,0,7386,13.48,STD  ,DRB300       ,30575.96,23547,59440,0,0.77,1.94,0,2.71,TRUE,1,,,,
CLFTEA29,ETS-2-64,4X4,6525585A                                     ,6525585A,14,127556,0,27233,4.68,STD  ,RGE300LLF    ,60916.13,93612,0,0,1.54,0,0,1.54,TRUE,1,,,,
CLFTEA3,ETS-0-64,3X3,,6512302B,10,93904,1,7386,12.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,1,,,,
CLFTEA30,ETS-2-64,3X3,6575577B                                     ,6575577B,9,107862,0,6626,16.28,STD  ,RGT          ,97303.8,64390,48307,0,0.66,0.5,0,1.16,TRUE,1,,,,
CLFTEA30,ETS-2-64,5X5,6575577B                                     ,6555551A,4,31650,1,2190,14.45,STD  ,RGW300       ,51203.7,434638,176476,0,8.49,3.45,0,11.93,FALSE,1,,,,
CLFTEA31,ETS-2-64,3.5X3.5,6512615D                                     ,6512615D,12,171212,0,13210,12.96,STD  ,RGR300       ,85129.13,52858,139504,0,0.62,1.64,0,2.26,TRUE,1,,,,
CLFTEA32,ETS-2-128,3X3,6548821B                                     ,6548821B,8,110124,0,6838,16.1,STRIP,RGTST        ,55424.73,0,229381,0,0,4.14,0,4.14,TRUE,1,,,,
CLFTEA33,ETS-2-64,5X5,6471369E                                     ,6471369E,8,55251,0,1250,44.2,STD  ,RGW          ,NULL,61712,221223,0,0,0,0,0,TRUE,0,,,,
CLFTEA33,ETS-2-64,2X2,6471369E                                     ,6576907B,1,24838,1,24313,1.02,STRIP,DSGST        ,NULL,0,47776,0,0,0,0,0,FALSE,1,,,,
CLFTEA34,ETS-2-64,4X4,,6575258A,10,96379,1,6068,15.88,STD  ,RGE300LLF    ,51444.07,28096,106801,0,0.55,2.08,0,2.62,FALSE,1,,,,
CLFTEA34,ETS-2-64,3X3,,6546196A,4,30114,2,21808,1.38,STRIP,RTE300ST     ,0,105235,0,0,0,0,0,0,FALSE,1,,,,
CLFTEA35,ETS-2M-64,3X3,6516394A                                     ,6516394A,11,147392,0,15381,9.58,STD  ,RGT300LLF    ,74511.92,0,28646,0,0,0.38,0,0.38,TRUE,1,,,,
CLFTEA36,ETS-2-64,7X7,6570774A                                     ,6570774A,11,56822,0,1250,45.46,STD  ,RSH          ,27367.92,0,124446,0,0,4.55,0,4.55,TRUE,0,,,,
CLFTEA36,ETS-2-64,6X5,6570774A                                     ,6514494A,2,6638,1,13703,0.48,CLIP ,DQPCLIP      ,NULL,9764,0,0,0,0,0,0,FALSE,1,,,,
CLFTEA37,ETS-2-128,2X2,6506370A                                     ,6506370A,12,239327,0,43436,5.51,STRIP,DSGST        ,295040.44,150850,26504,0,0.51,0.09,0,0.6,TRUE,1,,,,
CLFTEA37,ETS-2-128,4X4,6506370A                                     ,6510697B,11,78703,1,5441,14.46,STD  ,RGELLF       ,68851.57,0,128610,0,0,1.87,0,1.87,FALSE,1,,,,
CLFTEA38,ETS-2-64,4X4,6525585A                                     ,6525585A,15,127993,0,27233,4.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,1,,,,
CLFTEA39,ETS-2-64,7X5,6522503A                                     ,6522503A,44,138900,0,10860,12.79,CLIP ,RVFCLIP      ,64281.49,0,44798,0,0,0.7,0,0.7,TRUE,1,,,,
CLFTEA40,ETM-4-128,6X6,6570166B                                     ,6570166B,38,176122,0,14874,11.84,STD  ,RSL300       ,91479.33,0,18632,0,0,0.2,0,0.2,TRUE,1,,,,
CLFTEA41,ETS-2-64,3X3,6493741B                                     ,6493741B,5,77374,0,1812,42.7,STD  ,DRC300LLF    ,43477.19,0,127950,0,0,2.94,0,2.94,TRUE,0,,,,
CLFTEA41,ETS-2-64,5X5,6493741B                                     ,6568521A,2,15811,1,7010,2.26,STD  ,RHB300       ,83753.65,27501,233674,0,0.33,2.79,0,3.12,FALSE,1,,,,
CLFTEA42,ETS-2-64,5.5X3.5,,6555639A,11,60900,1,1630,37.36,STD  ,RHR300       ,42013.53,53909,96661,0,1.28,2.3,0,3.58,FALSE,0,,,,
