"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA10","ETS-1M-64","3X3","6514600A                                     ","6529253A","10","92762","1","2163","42.89","STD  ","RTE300       ","51911.9","13786","120343","0","0.27","2.32","0","2.58"
"CLFTEA10","ETS-1M-64","3X3","6514600A                                     ","6513992A","1","16702","2","21108","0.79","STD  ","RGTLLF       ","104991.7","33791","16702","0","0.32","0.16","0","0.48"
"CLFTEA11","ETS-2-64","4X4","6525585A                                     ","6525585A","14","128645","0","27233","4.72",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","8","120624","0","16887","7.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA13","ETS-1M-64","5X5","","6518677A","16","106513","1","2286","46.59","STD  ","RSB          ","54869.27","50737","77720","0","0.92","1.42","0","2.34"
"CLFTEA14","ETS-2-64","3.5X3.5","6512615D                                     ","6512615D","10","131354","0","16769","7.83","STD  ","RGR300       ","74267","0","54177","0","0","0.73","0","0.73"
"CLFTEA14","ETS-2-64","4X4","6512615D                                     ","6525585A","1","9451","1","27233","0.35","STD  ","RGE300LLF    ","60916.13","78236","33494","0","1.28","0.55","0","1.83"
"CLFTEA15","ETS-S-64","3X3","6510697B                                     ","6523514A","9","124331","1","3669","33.89","STD  ","DRC          ","88046.09","0","303434","0","0","3.45","0","3.45"
"CLFTEA15","ETS-S-64","3X3","6510697B                                     ","6529253A","2","27598","2","2163","12.76","STD  ","RTE300       ","51911.9","13786","120343","0","0.27","2.32","0","2.58"
"CLFTEA17","ETS-0-64","3X3","6511094C                                     ","6505620C","24","239734","1","10339","23.19","STD  ","DRC          ","5131.64","3456","0","0","0.67","0","0","0.67"
"CLFTEA18","ETS-2-64","6X6","","6479550B","12","60818","1","1329","45.76","STD  ","RHH          ","31898.79","54511","117336","0","1.71","3.68","0","5.39"
"CLFTEA18","ETS-2-64","4.5X3.5","","6543758C","1","5661","2","8429","0.67","CLIP ","RVECLIP      ","67710.19","17424","70656","0","0.26","1.04","0","1.3"
"CLFTEA19","ETS-2-64","5.5X3.5","6526546B                                     ","6555639A","12","75005","1","1630","46.02","STD  ","RHR300       ","42013.53","38866","130055","0","0.93","3.1","0","4.02"
"CLFTEA20","ETS-S-64","6X6","6479550B                                     ","6479550B","15","61036","0","1329","45.93","STD  ","RHH          ","31898.79","54511","117336","0","1.71","3.68","0","5.39"
"CLFTEA22","ETS-0-64","3X3","6469014A                                     ","6469014A","11","136316","0","14381","9.48","STD  ","DRCLLF       ","68673.39","53396","189301","0","0.78","2.76","0","3.53"
"CLFTEA23","ETS-2-64","6X5","6570740A                                     ","6570740A","25","73223","0","4772","15.34","CLIP ","DQPCLIP      ","36765.38","35068","102646","0","0.95","2.79","0","3.75"
"CLFTEA24","ETM-2-64","3X2","6575258A                                     ","6545098B","24","376400","1","24771","15.2","STRIP","DQCST        ","600628.97","221171","155229","0","0.37","0.26","0","0.63"
"CLFTEA24","ETM-2-64","5X5","6575258A                                     ","6471369E","5","39572","2","1250","31.66","STD  ","RGW          ",NULL,"59337","109174","0","0","0","0","0"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","13","126501","0","27233","4.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA26","ETS-2-64","3X3","6518648B                                     ","6512302B","8","99590","1","7386","13.48","STD  ","DRB300       ","30575.96","9723","36690","0","0.32","1.2","0","1.52"
"CLFTEA27","ETS-2-64","6X5","","6570740A","22","71908","1","4772","15.07","CLIP ","DQPCLIP      ","36671.68","35068","102646","0","0.96","2.8","0","3.76"
"CLFTEA29","ETS-2-64","4X4","6525585A                                     ","6525585A","13","129158","0","27233","4.74","STD  ","RGELLF       ","63714.14","422134","276221","0","6.63","4.34","0","10.96"
"CLFTEA3","ETS-0-64","3X3","","6512302B","10","102307","1","7386","13.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA30","ETS-2-64","3X3","6541669B                                     ","6542741A","17","211120","1","13223","15.97","STRIP","RGTST        ","107119.09","52153","584906","0","0.49","5.46","0","5.95"
"CLFTEA31","ETS-2-64","3.5X3.5","6512615D                                     ","6512615D","11","166075","0","16769","9.9","STD  ","RGR300       ","87959.22","0","258671","0","0","2.94","0","2.94"
"CLFTEA31","ETS-2-64","3X3","6512615D                                     ","6546196A","3","22331","1","21808","1.02","STRIP","RTE300ST     ","0","119053","0","0","0","0","0","0"
"CLFTEA32","ETS-2-128","3X3","6548821B                                     ","6548821B","8","106832","0","4654","22.95","STRIP","RGTST        ","55854.55","0","66472","0","0","1.19","0","1.19"
"CLFTEA33","ETS-2-64","5X5","6471369E                                     ","6471369E","8","53775","0","1250","43.02","STD  ","RGW          ",NULL,"59337","109174","0","0","0","0","0"
"CLFTEA33","ETS-2-64","3X3","6471369E                                     ","6547181A","1","11512","1","10445","1.1","STD  ","DRC          ","56074.82","27639","248427","0","0.49","4.43","0","4.92"
"CLFTEA34","ETS-2-64","2X2","","6524788B","14","278440","1","23109","12.05","STD  ","DRVST300     ","171683.27","15542","59612","0","0.09","0.35","0","0.44"
"CLFTEA34","ETS-2-64","4X4","","6575258A","2","18656","2","3951","4.72","STD  ","RGE300LLF    ","47407.47","96526","88716","0","2.04","1.87","0","3.91"
"CLFTEA35","ETS-2M-64","3X3","6516394A                                     ","6516394A","11","146533","0","15381","9.53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA36","ETS-2-64","3.5X3.5","","6541231B","11","136685","1","3155","43.32","STD  ","RGR300       ","75720.65","14800","181846","0","0.2","2.4","0","2.6"
"CLFTEA36","ETS-2-64","5X5","","6487839B","1","5492","2","5399","1.02","STD  ","RTV          ","31647.9","15831","5492","0","0.5","0.17","0","0.67"
"CLFTEA37","ETS-2-128","2.5X2.5","6497193A                                     ","6497193A","13","286186","0","25367","11.28","STRIP","DSKST        ","202063.47","0","136868","0","0","0.68","0","0.68"
"CLFTEA37","ETS-2-128","4X4","6497193A                                     ","6578526A","1","7367","1","3098","2.38","STD  ","RSN300VTT    ","74351.85","0","150058","0","0","2.02","0","2.02"
"CLFTEA37","ETS-2-128","4X4","6497193A                                     ","6525585A","3","27440","2","27233","1.01","STD  ","RGE300LLF    ","60916.13","78236","33494","0","1.28","0.55","0","1.83"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","14","130448","0","27233","4.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA39","ETS-2-64","5X5","6522503A                                     ","6487839B","10","63478","1","5399","11.76","STD  ","RHB300       ","32621.19","0","32930","0","0","1.01","0","1.01"
"CLFTEA40","ETM-4-128","6X6","6570166B                                     ","6570166B","28","137258","0","11097","12.37","STD  ","RSL300       ","92871.81","0","19856","0","0","0.21","0","0.21"
"CLFTEA40","ETM-4-128","4X4","6570166B                                     ","6529675B","4","31896","1","6468","4.93","STD  ","RGV          ","77608.91","144052","328166","0","1.86","4.23","0","6.08"
"CLFTEA41","ETS-2-64","4.5X3.5","6493741B                                     ","6543758C","20","141591","1","8429","16.8","CLIP ","RVECLIP      ","69141.92","283874","271860","0","4.11","3.93","0","8.04"
"CLFTEA42","ETS-2-64","3X3","6512615D                                     ","6471907A","9","114714","1","9722","11.8","STD  ","DRCLLF       ","57780.4","105552","40554","0","1.83","0.7","0","2.53"
"CLFTEA43","ETS-2-64","2X2","","6506370A","15","336570","1","43436","7.75","STRIP","DSGST        ","289380","209581","65016","0","0.72","0.22","0","0.95"
"CLFTEA43","ETS-2-64","4.5X3.5","","6543758C","7","54579","2","8429","6.48","CLIP ","RVECLIP      ","70313.34","283874","271860","0","4.04","3.87","0","7.9"
"CLFTEA44","ETS-2-64","4.5X3.5","6514558B                                     ","6578688B","19","128026","1","4390","29.16","STD  ","DPC          ","67001.71","3774","132081","0","0.06","1.97","0","2.03"
"CLFTEA44","ETS-2-64","4X4","6514558B                                     ","6541533C","4","40262","2","9782","4.12","STD  ","RSM300       ","54982.85","12927","80256","0","0.24","1.46","0","1.69"
"CLFTEA45","ETS-2-64","4X4","6525585A                                     ","6525585A","16","129566","0","27233","4.76",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA46","ETM-4-64","2X2","6584432B                                     ","6584432B","16","297204","0","57759","5.15","STRIP","RLTGFCST     ",NULL,"200794","74408","0","0","0","0","0"
"CLFTEA46","ETM-4-64","4X4","6584432B                                     ","6546767B","28","253837","1","58490","4.34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA47","ETS-2-64","4X4","6571495A                                     ","6571495A","14","123857","0","15323","8.08","STD  ","RUY300       ","56969","56215","266787","0","0.99","4.68","0","5.67"
"CLFTEA48","ETS-2-64","4X4","6569544C                                     ","6571495A","13","119541","1","15323","7.8","STD  ","RUY300       ","52348.5","56215","266787","0","1.07","5.1","0","6.17"
"CLFTEA49","ETS-2-64","3X3","6570774A                                     ","6525239A","10","103110","1","8835","11.67","STD  ","RTE          ","53256.74","0","29779","0","0","0.56","0","0.56"
"CLFTEA5","ETS-0-64","3X3","","6460534B","13","156725","1","6702","23.38","STD  ","DRB          ","79491.36","45420","60484","0","0.57","0.76","0","1.33"
"CLFTEA50","ETS-2-64","3X3","","6554905A","42","521362","1","34624","15.06",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA51","ETS-2-64","3.5X3.5","","6487925B","10","126550","1","16887","7.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA52","ETM-5-128","4X4","6579768C                                     ","6579768C","19","170693","0","10871","15.7","STD  ","RTWST300     ","72556.25","10076","483141","0","0.14","6.66","0","6.8"
"CLFTEA53","ETM-5-128","4X4","6579768C                                     ","6579768C","19","171761","0","10871","15.8","STD  ","RTWST300     ","71859.4","10076","483141","0","0.14","6.72","0","6.86"
"CLFTEA54","ETM-5-128","4X4","6579768C                                     ","6579768C","22","180063","0","10871","16.56","STD  ","RTWST300     ","67894.08","10076","483141","0","0.15","7.12","0","7.26"
"CLFTEA56","ETS-2Q-64","2.5X2.5","6578688B                                     ","6506370A","11","293934","1","18969","15.5","STD  ","DSKST300     ","436173.91","15042","278892","0","0.03","0.64","0","0.67"
"CLFTEA56","ETS-2Q-64","3X3","6578688B                                     ","6525239A","5","69020","2","8835","7.81","STD  ","RTE          ","53312.95","0","29779","0","0","0.56","0","0.56"
"CLFTEA57","ETS-2-64","3X3","6515677C                                     ","6547181A","9","96516","1","10445","9.24","STD  ","DRC          ","55070.46","27624","106361","0","0.5","1.93","0","2.43"
"CLFTEA57","ETS-2-64","4X4","6515677C                                     ","6571495A","1","6251","2","15323","0.41","STD  ","RUY          ",NULL,"0","6251","0","0","0","0","0"
