ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,,ETS-0-64:6512302B,2419,ETS-0-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-1-64:6512302B,2419,ETS-1-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2-64:6512302B,2419,ETS-2-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-1M-64:6512302B,2419,ETS-1M-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2M-64:6512302B,2419,ETS-2M-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2-128:6512302B,2419,ETS-2-128,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-4M-128:6512302B,2419,ETS-4M-128,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-S-64:6512302B,2419,ETS-S-64,6512302B,1,1
QFN7MNT,4410,1,FT1,,001DRBR1-G2QN#,3X3,DRBST300,alt,ETS-2Q-64:6512302B,2419,ETS-2Q-64,6512302B,1,1
AQFNRFXRAY,4410,1,FT1,,020QDSJRQ1-RR&,4X3,DSJ,,ETS-2-64:6509642C,1250,ETS-2-64,6509642C,1,1
AQFNRFXRAY,4410,1,FT1,,020QDSJRQ1-RR&,4X3,DSJ,alt,ETS-2M-64:6509642C,1250,ETS-2M-64,6509642C,1,1
AQFNRFXRAY,4410,1,FT1,,020QDSJRQ1-RR&,4X3,DSJ,alt,ETS-2-128:6509642C,1250,ETS-2-128,6509642C,1,1
AQFNRFXRAY,4410,1,FT1,,020QDSJRQ1-RR&,4X3,DSJ,alt,ETS-4M-128:6509642C,1250,ETS-4M-128,6509642C,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1812,ETS-0-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1812,ETS-1-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1812,ETS-2-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1M-64:6493741B,1812,ETS-1M-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1812,ETS-2M-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1812,ETS-2-128,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1812,ETS-4M-128,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1812,ETS-S-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2Q-64:6493741B,1812,ETS-2Q-64,6493741B,1,1
QFN7MNT,4410,1,FT1,,1211DSCR1-G2YK,3X3,DSC300ST,,ETS-2-128:6530035A,8683,ETS-2-128,6530035A,1,1
QFN25,4410,1,FT1,,1212006RGRR-G2,3.5X3.5,RGR300,,ETS-2-64:6553335B,3298,ETS-2-64,6553335B,1,3
QFN25,4410,1,FT1,,1212006RGRR-G2,3.5X3.5,RGR300,alt,ETS-2M-64:6553335B,3298,ETS-2M-64,6553335B,1,3
