Machine_Instance,Machine_Family_Name,Lot_Name,Logpoint,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Start_Time,Completion_Time,Pass_No,Finished,Package
CLFTEA50,ETS-2-64,8122273,4410,3893,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 6:6:15,00/07/2016 07:17:33,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101605,4410,4069,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 7:17:33,00/07/2016 08:32:07,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101604,4410,4652,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 8:32:7,00/07/2016 09:57:22,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8122272,4410,3918,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 9:57:22,00/07/2016 11:09:10,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101603,4410,7894,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 11:9:10,00/07/2016 13:33:47,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8122274,4410,7803,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 13:33:47,00/07/2016 15:56:44,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101602,4410,7843,1374,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 15:56:44,00/07/2016 18:20:25,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108646,4410,7827,1175,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 18:20:25,00/07/2016 20:43:49,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108644,4410,7795,1175,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 20:43:49,00/07/2016 23:06:37,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8125036,4410,7836,1175,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/7/2016 23:6:37,00/08/2016 01:30:11,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8125035,4410,3950,15.36,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 1:30:11,00/08/2016 02:42:34,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108653,4410,3947,15.36,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 2:42:34,00/08/2016 03:54:54,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108652,4410,4342,15.36,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 3:54:54,00/08/2016 05:14:28,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8125037,4410,7830,16.66,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 5:14:28,00/08/2016 07:37:55,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108654,4410,3986,16.66,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 7:37:55,00/08/2016 08:50:58,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8111840,4410,6262,15.66,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 8:50:58,00/08/2016 10:45:41,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8111841,4410,3897,15.66,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 10:45:41,00/08/2016 11:57:06,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8117671,4410,7888,19.62,N,S51362RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 11:57:6,00/08/2016 14:21:37,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8105169,4410,7777,1273,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 14:21:37,00/08/2016 16:47:15,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8105170,4410,7417,1273,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 16:47:15,00/08/2016 19:06:09,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8105171,4410,7761,1273,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 19:6:9,00/08/2016 21:31:29,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8105172,4410,5837,1273,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 21:31:29,00/08/2016 23:20:48,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8105168,4410,7638,1273,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/8/2016 23:20:48,00/09/2016 01:43:49,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101649,4410,3936,17.35,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/9/2016 1:43:49,00/09/2016 02:57:33,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8132527,4410,1909,16.34,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/9/2016 2:57:33,00/09/2016 03:33:20,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8132528,4410,7910,17.64,N,S51367RVER-LNY,6545456B,1,00/07/2016 06:06:13,0/9/2016 3:33:20,00/09/2016 06:01:27,1,Y,4.5X3.5
CLFTEA63,ETS-2-64,8102751,4410,3235,1321,N,1306051RHRR-G2,6555639A,2,00/07/2016 06:06:13,0/7/2016 6:6:15,00/07/2016 08:05:20,1,Y,5.5X3.5
CLFTEA63,ETS-2-64,8109743,4410,3225,1121,N,1306051RHRR-G2,6555639A,2,00/07/2016 06:06:13,0/7/2016 8:5:20,00/07/2016 10:04:05,1,Y,5.5X3.5
CLFTEA63,ETS-2-64,8109734,4410,5797,1121,N,1306051RHRR-G2,6555639A,2,00/07/2016 06:06:13,0/7/2016 10:4:5,00/07/2016 13:37:31,1,Y,5.5X3.5
CLFTEA63,ETS-2-64,8109739,4410,6475,1121,N,1306051RHRR-G2,6555639A,2,00/07/2016 06:06:13,0/7/2016 13:37:31,00/07/2016 17:35:54,1,Y,5.5X3.5
