"Tester","TesterConfig","PackageSize","Initial_LoadBoard","Optimizer_LoadBoard","N_Lots","SUM_QTY","ChangeOver","SUM_PPH","Hours","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA10","ETS-1M-64","7X7","6514600A                                     ","6519267C","27","101783","1","6317","16.11","STD  ","RGZ          ","51381.59","2488","17306","0","0.05","0.34","0","0.39"
"CLFTEA11","ETS-2-64","4X4","6525585A                                     ","6525585A","14","127240","0","27286","4.66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","9","110418","0","19209","5.75",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA13","ETS-1M-64","3X3","","6505771B","11","136867","1","16860","8.12","STD  ","DRB          ","37424.3","0","7887","0","0","0.21","0","0.21"
"CLFTEA13","ETS-1M-64","3.5X3.5","","6487925B","5","62272","2","16797","3.71","STD  ","RHL300       ","65839.1","84989","73386","0","1.29","1.11","0","2.41"
"CLFTEA14","ETS-2-64","3.5X3.5","6541231B                                     ","6541231B","10","139493","0","3155","44.21","STD  ","RGR300       ","75720.65","30192","169655","0","0.4","2.24","0","2.64"
"CLFTEA14","ETS-2-64","3.5X3.5","6541231B                                     ","6512615D","1","11876","1","23989","0.5","STD  ","RGR300       ","90560.3","0","72251","0","0","0.8","0","0.8"
"CLFTEA15","ETS-S-64","3X3","6510697B                                     ","6529253A","7","68197","1","2163","31.53","STD  ","RTE300       ","51911.9","13786","176114","0","0.27","3.39","0","3.66"
"CLFTEA15","ETS-S-64","2X2","6510697B                                     ","6506370A","9","174768","2","11114","15.73","STRIP","DSGST        ","266738.25","124207","74376","0","0.47","0.28","0","0.74"
"CLFTEA17","ETS-0-64","5X2.5","6525239A                                     ","6556617A","34","250175","1","7757","32.25","STRIP","MPAMCMST     ","186174.37","234027","16148","0","1.26","0.09","0","1.34"
"CLFTEA17","ETS-0-64","3X3","6525239A                                     ","6513992A","4","58748","2","33206","1.77","STD  ","RGTLLF       ","103299.28","133869","50271","0","1.3","0.49","0","1.78"
"CLFTEA18","ETS-2-64","5X5","6487839B                                     ","6487839B","8","59151","0","5415","10.92",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA18","ETS-2-64","7X5","6487839B                                     ","6514558B","2","7336","1","10592","0.69","STD  ","RGFMCM300    ","64701.18","16488","47495","0","0.25","0.73","0","0.99"
"CLFTEA19","ETS-2-64","4X4","6526546B                                     ","6526546B","15","123242","0","2661","46.31","STD  ","RUY          ","63243.95","71332","102231","0","1.13","1.62","0","2.74"
"CLFTEA20","ETS-S-64","6X6","6479550B                                     ","6479550B","13","61954","0","1329","46.62","STD  ","RHH          ","31898.79","51738","72293","0","1.62","2.27","0","3.89"
"CLFTEA22","ETS-0-64","3X3","6469014A                                     ","6469014A","13","137562","0","14487","9.5","STD  ","DRCLLF       ","69020.56","97432","45977","0","1.41","0.67","0","2.08"
"CLFTEA23","ETS-2-64","2X2","6570740A                                     ","6576907B","15","369249","1","15850","23.3","STRIP","DSGST        ","195257.98","24827","666559","0","0.13","3.41","0","3.54"
"CLFTEA23","ETS-2-64","5X5","6570740A                                     ","6568521A","1","5893","2","10530","0.56","STD  ","RHB300       ",NULL,"39186","17221","0","0","0","0","0"
"CLFTEA24","ETM-2-64","4X4","6575258A                                     ","6556725A","7","57855","1","1336","43.3","STD  ","RGE300LLF    ","32052.94","0","208993","0","0","6.52","0","6.52"
"CLFTEA24","ETM-2-64","2X2","6575258A                                     ","6584432B","5","83873","2","57759","1.45","STRIP","RLTGFCST     ",NULL,"138708","0","0","0","0","0","0"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","14","130004","0","27286","4.76",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA26","ETS-2-64","4.5X3.5","6518648B                                     ","6516100C","10","76751","1","3243","23.67","STD  ","RHL300       ","38698.53","27712","112055","0","0.72","2.9","0","3.61"
"CLFTEA27","ETS-2-64","3X3","6512302B                                     ","6512302B","6","78805","0","6112","12.89","STD  ","DRB300       ","30575.96","9723","0","0","0.32","0","0","0.32"
"CLFTEA27","ETS-2-64","3X2","6512302B                                     ","6545098B","12","169513","1","24771","6.84","STRIP","DQCST        ","600628.97","140406","29107","0","0.23","0.05","0","0.28"
"CLFTEA27","ETS-2-64","2X2","6512302B                                     ","6514765A","3","67387","2","14051","4.8","STD  ","DRVST300     ","337221.82","99177","67387","0","0.29","0.2","0","0.49"
"CLFTEA29","ETS-2-64","4X4","6541533C                                     ","6541533C","14","116066","0","9589","12.1","STD  ","RSM300       ","59080.13","0","93179","0","0","1.58","0","1.58"
"CLFTEA3","ETS-0-64","3X3","","6512302B","11","104362","1","6112","17.07","STD  ","DRBST300     ",NULL,"0","2294","0","0","0","0","0"
"CLFTEA3","ETS-0-64","3X3","","6513992A","1","16860","2","33206","0.51","STD  ","RGTLLF       ","107008","133869","50271","0","1.25","0.47","0","1.72"
"CLFTEA30","ETS-2-64","6X5","","6514494A","20","130784","1","13839","9.45","CLIP ","DQPCLIP      ","66325.28","134520","163064","0","2.03","2.46","0","4.49"
"CLFTEA31","ETS-2-64","3.5X3.5","6512615D                                     ","6512615D","13","143843","0","23989","6","STD  ","RGR300       ","78536.99","0","72251","0","0","0.92","0","0.92"
"CLFTEA32","ETS-2-128","7X5","6548821B                                     ","6514558B","39","127549","1","10592","12.04","STD  ","RGFMCM300    ","64616.54","2408","16553","0","0.04","0.26","0","0.29"
"CLFTEA33","ETS-2-64","5X5","6518677A                                     ","6518677A","15","107319","0","2286","46.95","STD  ","RSB          ","54869.27","51155","107322","0","0.93","1.96","0","2.89"
"CLFTEA34","ETS-2-64","4.5X3.5","6569094B                                     ","6543758C","18","139490","1","8888","15.69","CLIP ","RVECLIP      ","70313.34","191459","612299","0","2.72","8.71","0","11.43"
"CLFTEA35","ETS-2-64","3X3","6524040A                                     ","6524040A","13","157097","0","6487","24.22","STD  ","RTE300       ","89897.82","97952","27421","0","1.09","0.31","0","1.39"
"CLFTEA36","ETS-2-64","7X7","6570774A                                     ","6570774A","12","55835","0","2362","23.64","STD  ","RSH          ","27232.05","0","98130","0","0","3.6","0","3.6"
"CLFTEA36","ETS-2-64","5X5","6570774A                                     ","6518677A","1","3955","1","2286","1.73","STD  ","RSB          ","54869.27","51155","107322","0","0.93","1.96","0","2.89"
"CLFTEA37","ETS-2-128","3X3","6546196A                                     ","6546196A","46","542857","0","21808","24.89","STRIP","RTE300ST     ","0","56306","62277","0","0","0","0","0"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","13","126826","0","27286","4.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA39","ETS-2-64","4X4","6522503A                                     ","6571495A","12","120072","1","15171","7.91","STD  ","RUY300       ","58626.37","7756","9992","0","0.13","0.17","0","0.3"
"CLFTEA40","ETM-4-128","4X4","6570166B                                     ","6546767B","41","394174","1","58490","6.74",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA41","ETS-2-64","3X3","6516230D                                     ","6516230D","3","44476","0","2500","17.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CLFTEA41","ETS-2-64","6X5","6516230D                                     ","6522167C","4","27573","1","16653","1.66","CLIP ","DQPCLIP      ","59120.69","35625","44801","0","0.6","0.76","0","1.36"
"CLFTEA42","ETS-2-64","5.5X3.5","6512615D                                     ","6555639A","12","77675","1","3198","24.29","STD  ","RHR300       ","42013.53","49580","134169","0","1.18","3.19","0","4.37"
"CLFTEA43","ETS-2-64","5X5","6471369E                                     ","6471369E","8","58433","0","1250","46.75","STD  ","RGW          ",NULL,"116814","57846","0","0","0","0","0"
