LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,13590,11009.00,5785851,4420,1,        16.19,      12.26,    106.74,,12/07/2015 06:06:13,
5868130,PS56221DQPR2-C,6X5           ,DQPCLIP      ,2823,8249.00,5868130,4410,1,        16.58,       14.9,      81.4,,12/07/2015 06:06:13,
5885791,PS56221DQPR2-C,6X5           ,DQPCLIP      ,6047,7732.00,5885791,4410,1,        16.66,       14.9,     76.14,,12/07/2015 06:06:13,
8007515,001DRBR1-G2QN#,3X3           ,DRBST300     ,2294,7211.00,8007515,4410,1,            0,      11.23,     83.93,,12/07/2015 06:06:13,
5913691,PS56121DQPR2-C,6X5           ,DQPCLIP      ,6590,6956.00,5913691,4410,1,        16.91,       14.9,     68.14,,12/07/2015 06:06:13,
5917330,PS56121DQPR2-C,6X5           ,DQPCLIP      ,6104,6855.00,5917330,4410,1,        16.91,       14.9,     67.12,,12/07/2015 06:06:13,
5921050,PS56121DQPR2-C,6X5           ,DQPCLIP      ,6760,6751.00,5921050,4410,1,        16.91,       14.9,     66.09,,12/07/2015 06:06:13,
5924214,PS56221DQPR2-C,6X5           ,DQPCLIP      ,6662,6656.00,5924214,4410,1,        16.91,       14.9,     65.13,,12/07/2015 06:06:13,
5927696,PS56221DQPR2-C,6X5           ,DQPCLIP      ,6417,6555.00,5927696,4410,1,        16.91,       14.9,     64.13,,12/07/2015 06:06:13,
5931321,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6157,6453.00,5931321,4410,1,        16.91,       14.9,     63.11,,12/07/2015 06:06:13,
5931323,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6001,6453.00,5931323,4410,1,        16.91,       14.9,     63.11,,12/07/2015 06:06:13,
5944239,PS56121DQPR2-C,6X5           ,DQPCLIP      ,4903,6083.00,5944239,4410,1,        16.86,       14.9,     59.45,,12/07/2015 06:06:13,
5949289,PS56121DQPR2-C,6X5           ,DQPCLIP      ,5598,5935.00,5949289,4410,1,        16.86,       14.9,     57.98,,12/07/2015 06:06:13,
5966020,PS56121DQPR2-C,6X5           ,DQPCLIP      ,3868,5935.00,5966020,4410,1,        16.86,       14.9,     57.98,,12/07/2015 06:06:13,
5951891,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6070,5851.00,5951891,4410,1,        16.86,       14.9,     57.14,,12/07/2015 06:06:13,
5955525,S56121ADQPR1-C,6X5           ,DQPCLIP      ,5851,5751.00,5955525,4410,1,        16.86,       14.9,     56.13,,12/07/2015 06:06:13,
5977212,Q24314ADSGR-G2,2X2           ,DSGST        ,23227,5332.00,5977212,4410,1,        15.32,      11.23,     49.81,,12/07/2015 06:06:13,
5971600,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6874,5303.00,5971600,4410,1,        17.03,       14.9,     51.48,,12/07/2015 06:06:13,
5983795,S56121ADQPR1-C,6X5           ,DQPCLIP      ,5220,4948.00,5983795,4410,1,        17.03,       14.9,     47.94,,12/07/2015 06:06:13,
5986741,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6515,4866.00,5986741,4410,1,        17.03,       14.9,     47.12,,12/07/2015 06:06:13,
5990586,S56121ADQPR1-C,6X5           ,DQPCLIP      ,6345,4766.00,5990586,4410,1,        17.03,       14.9,     46.12,,12/07/2015 06:06:13,
8040531,PS54678RTER-G2,3X3           ,RTE300       ,4480,4714.00,8040531,4410,1,        13.11,      12.19,     46.81,,12/07/2015 06:06:13,
8047730,PS54678RTER-G2,3X3           ,RTE300       ,2000,4714.00,8047730,4410,1,        13.11,      12.19,     46.81,,12/07/2015 06:06:13,
5988015,PS54678RTER-G2,3X3           ,RTE300       ,3040,4714.00,5988015,4410,1,        13.11,      12.19,     46.81,,12/07/2015 06:06:13,
8007535,PS56221DQPT2-C,6X5           ,DQPCLIP      ,6820,4267.00,8007535,4410,1,        16.87,       14.9,     41.29,,12/07/2015 06:06:13,
8030476,PS54678RTER-G2,3X3           ,RTE300       ,720,4114.00,8030476,4410,1,        13.15,      12.19,     40.77,,12/07/2015 06:06:13,
8009275,PS54678RTER-G2,3X3           ,RTE300       ,6904,4114.00,8009275,4410,1,        13.15,      12.19,     40.77,,12/07/2015 06:06:13,
8030120,PS54678RTER-G2,3X3           ,RTE300       ,2604,4114.00,8030120,4410,1,        13.15,      12.19,     40.77,,12/07/2015 06:06:13,
8031291,PS54678RTER-G2,3X3           ,RTE300       ,800,4114.00,8031291,4410,1,        13.15,      12.19,     40.77,,12/07/2015 06:06:13,
8019826,Q24314ADSGR-G2,2X2           ,DSGST        ,23548,4025.00,8019826,4410,1,        14.25,      11.23,     37.82,,12/07/2015 06:06:13,
8023179,PS54678RTER-G2,3X3           ,RTE300       ,13661,3714.00,8023179,4410,1,        13.15,      12.19,     36.76,,12/07/2015 06:06:13,
8033429,53355DQPR-CQN#,6X5           ,DQPCLIP      ,2652,3467.00,8033429,4410,1,        14.19,      12.35,     33.42,,12/07/2015 06:06:13,
8036431,53819ARGTR1-LK,3X3           ,RGTST        ,13822,3437.00,8036431,4410,1,        13.71,      11.23,     32.47,,12/07/2015 06:06:13,
8036427,53819ARGTR1-LK,3X3           ,RGTST        ,13819,3437.00,8036427,4410,1,        13.71,      11.23,     32.47,,12/07/2015 06:06:13,
8036428,53819ARGTR1-LK,3X3           ,RGTST        ,13818,3437.00,8036428,4410,1,        13.71,      11.23,     32.47,,12/07/2015 06:06:13,
8033229,TPS2556DRBR-L ,3X3           ,DRB          ,7887,3399.00,8033229,4410,1,        13.03,      11.93,     33.47,,12/07/2015 06:06:13,
8035574,PS54678RTER-G2,3X3           ,RTE300       ,13807,3316.00,8035574,4410,1,        13.23,      12.19,     32.71,,12/07/2015 06:06:13,
8035577,PS54678RTER-G2,3X3           ,RTE300       ,13798,3316.00,8035577,4410,1,        13.23,      12.19,     32.71,,12/07/2015 06:06:13,
8035575,PS54678RTER-G2,3X3           ,RTE300       ,13800,3316.00,8035575,4410,1,        13.23,      12.19,     32.71,12/06/2015 11:27:56,12/07/2015 06:06:13,CLFTEA16
8044767,Q24314ADSGR-G2,2X2           ,DSGST        ,17246,3177.00,8044767,4410,1,        13.71,      11.23,     29.87,12/06/2015 01:23:55,12/07/2015 06:06:13,CLFTEA73
8044759,Q24314ADSGR-G2,2X2           ,DSGST        ,24811,3177.00,8044759,4410,1,        13.71,      11.23,     29.87,,12/07/2015 06:06:13,
8044097,PS53318DQPR-LN,6X5           ,DQPCLIP      ,6941,3166.00,8044097,4410,1,        16.94,       14.9,     30.21,,12/07/2015 06:06:13,
8042316,PS54678RTER-G2,3X3           ,RTE300       ,13801,3126.00,8042316,4410,1,        13.23,      12.19,     30.81,,12/07/2015 06:06:13,
8042319,PS54678RTER-G2,3X3           ,RTE300       ,6903,3126.00,8042319,4410,1,        13.23,      12.19,     30.81,,12/07/2015 06:06:13,
8042317,PS54678RTER-G2,3X3           ,RTE300       ,13773,3126.00,8042317,4410,1,        13.23,      12.19,     30.81,12/06/2015 02:10:11,12/07/2015 06:06:13,CLFTEA70
8042318,PS54678RTER-G2,3X3           ,RTE300       ,11050,3126.00,8042318,4410,1,        13.23,      12.19,     30.81,,12/07/2015 06:06:13,
8048199,54218ARTER1-G2,3X3           ,RTE300ST     ,13631,3078.00,8048199,4410,1,        13.68,      11.16,     28.85,,12/07/2015 06:06:13,
8055948,3315RGFR-G2S2Y,7X5           ,RGFMCM300    ,3426,3078.00,8055948,4410,1,        22.77,      17.93,     26.52,,12/07/2015 06:06:13,
8048201,54218ARTER1-G2,3X3           ,RTE300ST     ,7699,3078.00,8048201,4410,1,        13.68,      11.16,     28.85,,12/07/2015 06:06:13,
8048200,54218ARTER1-G2,3X3           ,RTE300ST     ,13761,3078.00,8048200,4410,1,        13.68,      11.16,     28.85,,12/07/2015 06:06:13,
8055939,3315RGFR-G2S2Y,7X5           ,RGFMCM300    ,3606,3078.00,8055939,4410,1,        22.77,      17.93,     26.52,,12/07/2015 06:06:13,
8048170,294704DSGR-G2K,2X2           ,DSGST        ,24824,3078.00,8048170,4410,1,        13.68,      11.16,     28.85,12/06/2015 03:48:15,12/07/2015 06:06:13,CLFTEA89
8044813,PS54678RTER-G2,3X3           ,RTE300       ,13798,3033.00,8044813,4410,1,        13.23,      12.19,     29.87,,12/07/2015 06:06:13,
8044812,PS54678RTER-G2,3X3           ,RTE300       ,13581,3033.00,8044812,4410,1,        13.23,      12.19,     29.87,,12/07/2015 06:06:13,
8044814,PS54678RTER-G2,3X3           ,RTE300       ,13809,3033.00,8044814,4410,1,        13.23,      12.19,     29.87,,12/07/2015 06:06:13,
8044815,PS54678RTER-G2,3X3           ,RTE300       ,13785,3033.00,8044815,4410,1,        13.23,      12.19,     29.87,,12/07/2015 06:06:13,
8047231,TPS2557DRBR3-R,3X3           ,DRB          ,13817,2970.00,8047231,4410,1,        13.03,      11.93,     29.19,,12/07/2015 06:06:13,
8050388,FE030AIRGZR-CK,7X7           ,RGZ          ,3653,2953.00,8050388,4410,1,        13.65,      11.72,     28.19,,12/07/2015 06:06:13,
8050379,FE030AIRGZR-CK,7X7           ,RGZ          ,3791,2953.00,8050379,4410,1,        13.65,      11.72,     28.19,,12/07/2015 06:06:13,
8043151,CSD87588N-NS2 ,5X2.5         ,MPAMCMST     ,4200,2787.00,8043151,4410,1,        13.93,      15.91,     30.43,,12/07/2015 06:06:13,
8043154,CSD87588N-NS2 ,5X2.5         ,MPAMCMST     ,4305,2787.00,8043154,4410,1,        13.93,      15.91,     30.43,,12/07/2015 06:06:13,
8046609,CSD87588N-NS2 ,5X2.5         ,MPAMCMST     ,7643,2683.00,8046609,4410,1,        13.93,      15.91,      29.4,,12/07/2015 06:06:13,
8069746,3315RGFR-G2S2Y,7X5           ,RGFMCM300    ,3572,2678.00,8069746,4410,1,        22.77,      17.93,     22.53,,12/07/2015 06:06:13,
8069754,3315RGFR-G2S2Y,7X5           ,RGFMCM300    ,3380,2678.00,8069754,4410,1,        22.77,      17.93,     22.53,,12/07/2015 06:06:13,
8058618,A8001DRBR2-G2K,3X3           ,DRB300       ,13819,2595.00,8058618,4410,1,        12.85,      12.14,     25.83,,12/07/2015 06:06:13,
8076537,3314RGFR-G2S2Y,7X5           ,RGFMCM300    ,3665,2591.00,8076537,4410,1,         23.9,      17.93,     20.52,,12/07/2015 06:06:13,
