Machine_Instance,Machine_Family_Name,Lot_Name,Logpoint,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Start_Time,Completion_Time,Pass_No,Finished,Package
CLFTEA50,ETS-2-64,8006374,4410,77,5701,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 2:6:16,00/07/2016 02:07:41,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8101605,4410,4069,1407,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 2:7:41,00/07/2016 03:22:15,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8122274,4410,7803,1407,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 3:22:15,00/07/2016 05:45:12,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8122272,4410,3918,1407,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 5:45:12,00/07/2016 06:57:00,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8122273,4410,3893,1407,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 6:57:0,00/07/2016 08:08:20,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108652,4410,4266,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 8:8:20,00/07/2016 09:26:31,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8125036,4410,7836,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 9:26:31,00/07/2016 11:50:04,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108644,4410,7795,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 11:50:4,00/07/2016 14:12:53,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108653,4410,3889,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 14:12:53,00/07/2016 15:24:09,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8125035,4410,3920,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 15:24:9,00/07/2016 16:35:59,1,Y,4.5X3.5
CLFTEA50,ETS-2-64,8108646,4410,7827,1208,N,S51362RVER-LNY,6545456B,1,00/07/2016 02:06:14,0/7/2016 16:35:59,00/07/2016 18:59:23,1,Y,4.5X3.5
