LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,     13590,     11042,5785851     ,4420,1,        16.19,      12.26,    107.08,                   ,12/07/2015 02:06:14,
8000144,AC8760IRHAT-CK,6X6           ,RHA          ,      2160,      4738,8000144     ,4420,1,        20.43,      16.26,     43.79,                   ,12/07/2015 02:06:14,
5774017,BQ25040DQCR-G2,3X2           ,DQCST        ,     17260,     11496,5774017     ,4410,1,        15.78,      11.23,       111,                   ,12/07/2015 02:06:14,
5828399,D95379Q3M-LQR#,3.3X3.3       ,DNSCLIP      ,      3895,      8948,5828399     ,4410,1,         8.33,       12.4,     94.14,                   ,12/07/2015 02:06:14,
5868131,PS56221DQPR2-C,6X5           ,DQPCLIP      ,      4770,      8283,5868131     ,4410,1,        16.58,       14.9,     81.73,                   ,12/07/2015 02:06:14,
5885791,PS56221DQPR2-C,6X5           ,DQPCLIP      ,      6047,      7765,5885791     ,4410,1,        16.66,       14.9,     76.48,                   ,12/07/2015 02:06:14,
8007515,001DRBR1-G2QN#,3X3           ,DRBST300     ,      2294,      7244,8007515     ,4410,1,            0,      11.23,     84.26,                   ,12/07/2015 02:06:14,
5913691,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6590,      6989,5913691     ,4410,1,        16.91,       14.9,     68.47,                   ,12/07/2015 02:06:14,
5917330,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6104,      6888,5917330     ,4410,1,        16.91,       14.9,     67.46,                   ,12/07/2015 02:06:14,
5921050,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      6760,      6785,5921050     ,4410,1,        16.91,       14.9,     66.42,                   ,12/07/2015 02:06:14,
5924214,PS56221DQPR2-C,6X5           ,DQPCLIP      ,      6662,      6689,5924214     ,4410,1,        16.91,       14.9,     65.47,                   ,12/07/2015 02:06:14,
5927696,PS56221DQPR2-C,6X5           ,DQPCLIP      ,      6417,      6588,5927696     ,4410,1,        16.91,       14.9,     64.46,                   ,12/07/2015 02:06:14,
5931323,S56121ADQPR1-C,6X5           ,DQPCLIP      ,      6001,      6486,5931323     ,4410,1,        16.91,       14.9,     63.44,                   ,12/07/2015 02:06:14,
5931321,S56121ADQPR1-C,6X5           ,DQPCLIP      ,      6157,      6486,5931321     ,4410,1,        16.91,       14.9,     63.44,                   ,12/07/2015 02:06:14,
5933849,TPS54519RTER-R,3X3           ,RTE          ,     13505,      6322,5933849     ,4410,1,        13.22,      12.19,     62.78,                   ,12/07/2015 02:06:14,
8139582,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,        77,      6182,8139582     ,4410,1,        16.86,       14.9,     60.44,                   ,12/07/2015 02:06:14,
5944239,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      4903,      6116,5944239     ,4410,1,        16.86,       14.9,     59.79,                   ,12/07/2015 02:06:14,
5954564,PS62745DSSR-LK,3X2           ,DSSST        ,     14584,      6060,5954564     ,4410,1,        15.64,      11.23,     56.78,                   ,12/07/2015 02:06:14,
5949289,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      5598,      5969,5949289     ,4410,1,        16.86,       14.9,     58.31,                   ,12/07/2015 02:06:14,
5966020,PS56121DQPR2-C,6X5           ,DQPCLIP      ,      3868,      5969,5966020     ,4410,1,        16.86,       14.9,     58.31,                   ,12/07/2015 02:06:14,
5951891,S56121ADQPR1-C,6X5           ,DQPCLIP      ,      6070,      5884,5951891     ,4410,1,        16.86,       14.9,     57.47,                   ,12/07/2015 02:06:14,
8006364,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,        77,      5784,8006364     ,4410,1,        16.86,       14.9,     56.47,                   ,12/07/2015 02:06:14,
5955525,S56121ADQPR1-C,6X5           ,DQPCLIP      ,      5851,      5784,5955525     ,4410,1,        16.86,       14.9,     56.47,                   ,12/07/2015 02:06:14,
8006374,S51362RVER-LNY,4.5X3.5       ,RVECLIP      ,        77,      5701,8006374     ,4410,1,        17.03,       14.9,     55.47,                   ,12/07/2015 02:06:14,
8043512,1402065RVER-LN,4.5X3.5       ,RVECLIP      ,        77,      5697,8043512     ,4410,1,        14.13,       12.4,     55.82,                   ,12/07/2015 02:06:14,
5977212,Q24314ADSGR-G2,2X2           ,DSGST        ,     23227,      5365,5977212     ,4410,1,        15.32,      11.23,     50.15,                   ,12/07/2015 02:06:14,
5971600,S56121ADQPR1-C,6X5           ,DQPCLIP      ,      6874,      5336,5971600     ,4410,1,        17.03,       14.9,     51.82,                   ,12/07/2015 02:06:14,
5969816,PS53124RGER-JK,4X4           ,RGE          ,      6323,      5274,5969816     ,4410,1,        12.86,      11.93,      52.4,                   ,12/07/2015 02:06:14,
