 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA10 , ETS-1M-64 , 3X3 , 6514600A                                      , 6529253A , 8 , 98372 , 1 , 45.48 , STD   , RTE300        , 51885.01 , 0 , 472357 , 0 , 0 , 9.1 , 0 , 9.1 
 CLFTEA10 , ETS-1M-64 , 3.5X3.5 , 6514600A                                      , 6487925B , 1 , 6688 , 2 , 2.30 , STD   , RGY           , 70186.31 , 0 , 981214 , 0 , 0 , 13.98 , 0 , 13.98 
 CLFTEA11 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 128010 , 0 , 46.96 , STD   , RGE300LLF     , 65442.09 , 0 , 29697 , 0 , 0 , 0.45 , 0 , 0.45 
 CLFTEA12 , ETS-2-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 13 , 116677 , 0 , 47.31 , STD   , RHL           , 57810.44 , 0 , 720085 , 0 , 0 , 12.46 , 0 , 12.46 
 CLFTEA13 , ETS-1M-64 , 3X3 , 6517950B                                      , 6529253A , 8 , 96190 , 1 , 44.48 , STD   , RTE300        , 51885.01 , 0 , 472357 , 0 , 0 , 9.1 , 0 , 9.1 
 CLFTEA13 , ETS-1M-64 , 2X2 , 6517950B                                      , 6506370A , 2 , 35864 , 2 , 3.23 , STRIP , DSGST         , 282624 , 0 , 48095 , 0 , 0 , 0.17 , 0 , 0.17 
 CLFTEA14 , ETS-2-64 , 3.5X3.5 , 6541231B                                      , 6541231B , 10 , 144242 , 0 , 45.72 , STD   , RGR300        , 75720.65 , 0 , 204617 , 0 , 0 , 2.7 , 0 , 2.7 
 CLFTEA14 , ETS-2-64 , 4X4 , 6541231B                                      , 6525585A , 1 , 5185 , 1 , 1.91 , STD   , RGELLF        , 65338.49 , 0 , 751200 , 0 , 0 , 11.5 , 0 , 11.5 
 CLFTEA15 , ETS-S-64 , 3X3 , 6510697B                                      , 6511094C , 14 , 184228 , 1 , 47.48 , STD   , DRB           , 93149.41 , 0 , 266938 , 0 , 0 , 2.87 , 0 , 2.87 
 CLFTEA17 , ETS-0-64 , 3X3 , 6505620C                                      , 6505620C , 8 , 102462 , 0 , 18.90 , STD   , DRC           , 263519.06 , 0 , 116277 , 0 , 0 , 0.44 , 0 , 0.44 
 CLFTEA17 , ETS-0-64 , 2.5X2.5 , 6505620C                                      , 6497193A , 4 , 59072 , 1 , 7.09 , STRIP , DSKST         , 200081.96 , 0 , 45411 , 0 , 0 , 0.23 , 0 , 0.23 
 CLFTEA17 , ETS-0-64 , 5X5 , 6505620C                                      , 6555551A , 6 , 47408 , 2 , 21.65 , STD   , RGW300        , 57886.7 , 0 , 290186 , 0 , 0 , 5.01 , 0 , 5.01 
 CLFTEA18 , ETS-2-64 , 5X5 , 6487839B                                      , 6487839B , 10 , 64538 , 0 , 46.19 , STD   , RTV           , 33360.22 , 0 , 46885 , 0 , 0 , 1.41 , 0 , 1.41 
 CLFTEA18 , ETS-2-64 , 3X3 , 6487839B                                      , 6546196A , 1 , 13805 , 1 , 1.19 , STRIP , RTE300ST      , 277624.84 , 0 , 530978 , 0 , 0 , 1.91 , 0 , 1.91 
 CLFTEA19 , ETS-2-64 , 4X4 , 6526546B                                      , 6526546B , 15 , 124590 , 0 , 46.83 , STD   , RUY           , 56325.78 , 0 , 191494 , 0 , 0 , 3.4 , 0 , 3.4 
 CLFTEA20 , ETS-S-64 , 3X3 , 6524552C                                      , 6513992A , 12 , 196878 , 1 , 47.97 , STD   , RGTLLF        , 97212.53 , 0 , 303770 , 0 , 0 , 3.12 , 0 , 3.12 
 CLFTEA22 , ETS-0-64 , 3X3 , 6529571A                                      , 6529571A , 1 , 13824 , 0 , 5.13 , STD   , DRB           , 64709.09 , 0 , 27535 , 0 , 0 , 0.43 , 0 , 0.43 
 CLFTEA22 , ETS-0-64 , 3.5X3.5 , 6529571A                                      , 6487925B , 8 , 120815 , 1 , 41.47 , STD   , RGY           , 70186.31 , 0 , 981214 , 0 , 0 , 13.98 , 0 , 13.98 
 CLFTEA23 , ETS-2-64 , 6X5 , 6570740A                                      , 6570740A , 18 , 50834 , 0 , 32.66 , CLIP  , DQPCLIP       , 37873.62 , 0 , 3485 , 0 , 0 , 0.09 , 0 , 0.09 
 CLFTEA23 , ETS-2-64 , 4.5X3.5 , 6570740A                                      , 6544140B , 5 , 32486 , 1 , 11.65 , STD   , DPC           , 66907.42 , 0 , 4939 , 0 , 0 , 0.07 , 0 , 0.07 
 CLFTEA23 , ETS-2-64 , 5X5 , 6570740A                                      , 6513476C , 1 , 3951 , 2 , 2.95 , STD   , RHB           , 32102.4 , 0 , 41247 , 0 , 0 , 1.28 , 0 , 1.28 
 CLFTEA24 , ETM-2-64 , 4X4 , 6571495A                                      , 6556725A , 7 , 57853 , 1 , 43.31 , STD   , RGE300LLF     , 32052.94 , 0 , 127668 , 0 , 0 , 3.98 , 0 , 3.98 
 CLFTEA24 , ETM-2-64 , 3X3 , 6571495A                                      , 6513992A , 2 , 16851 , 2 , 4.36 , STD   , RGTLLF        , 95887.66 , 0 , 49778 , 0 , 0 , 0.52 , 0 , 0.52 
 CLFTEA25 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 129258 , 0 , 47.43 , STD   , RGE300LLF     , 65431.18 , 0 , 930781 , 0 , 0 , 14.23 , 0 , 14.23 
 CLFTEA26 , ETS-2-64 , 6X6 , 6518648B                                      , 6518648B , 5 , 21816 , 0 , 21.35 , STD   , RHA300        , 24524.04 , 0 , 26994 , 0 , 0 , 1.1 , 0 , 1.1 
 CLFTEA26 , ETS-2-64 , 4X4 , 6518648B                                      , 6571495A , 7 , 67654 , 1 , 26.39 , STD   , RUY300        , 61544.65 , 0 , 984609 , 0 , 0 , 16 , 0 , 16 
 CLFTEA29 , ETS-2-64 , 4X4 , 6541533C                                      , 6541533C , 14 , 124400 , 0 , 47.57 , STD   , RSM300        , 62669.77 , 0 , 193184 , 0 , 0 , 3.08 , 0 , 3.08 
