 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA10 , ETS-1M-64 , 4X4 , 6514600A                                      , 6504342B , 6 , 53858 , 1 , 25.59 , STD   , RGE300        , 50510.77 , 0 , 58863 , 0 , 0 , 1.17 , 0 , 1.17 
 CLFTEA10 , ETS-1M-64 , 3.5X3.5 , 6514600A                                      , 6487925B , 4 , 60297 , 2 , 20.70 , STD   , RGY           , 70186.31 , 253629 , 745212 , 0 , 3.61 , 10.62 , 0 , 14.23 
 CLFTEA10 , ETS-1M-64 , 3X3 , 6514600A                                      , 6505771B , 1 , 6827 , 3 , 1.17 , STD   , DRB           , 221823.45 , 186439 , 262747 , 0 , 0.84 , 1.18 , 0 , 2.02 
 CLFTEA11 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 128187 , 0 , 47.08 , STD   , RGELLF        , 65368.94 , 84311 , 47991 , 0 , 1.29 , 0.73 , 0 , 2.02 
 CLFTEA12 , ETS-2-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 12 , 129352 , 0 , 47.80 , STD   , RHL           , 63992.18 , 79131 , 458959 , 0 , 1.24 , 7.17 , 0 , 8.41 
 CLFTEA13 , ETS-1M-64 , 3.5X3.5 , 6517950B                                      , 6487925B , 9 , 134697 , 1 , 47.82 , STD   , RHL300        , 68160.32 , 84175 , 167593 , 0 , 1.23 , 2.46 , 0 , 3.69 
 CLFTEA14 , ETS-2-64 , 3.5X3.5 , 6541231B                                      , 6541231B , 9 , 127440 , 0 , 40.40 , STD   , RGR300        , 75720.65 , 10216 , 132306 , 0 , 0.13 , 1.75 , 0 , 1.88 
 CLFTEA14 , ETS-2-64 , 4X4 , 6541231B                                      , 6571495A , 2 , 17731 , 1 , 6.92 , STD   , RUY300        , 61544.65 , 201043 , 859940 , 0 , 3.27 , 13.97 , 0 , 17.24 
 CLFTEA15 , ETS-S-64 , 3X3 , 6510697B                                      , 6513992A , 12 , 192067 , 1 , 47.75 , STD   , RGTLLF        , 96632.9 , 0 , 19755 , 0 , 0 , 0.2 , 0 , 0.2 
 CLFTEA17 , ETS-0-64 , 3X3 , 6505771B                                      , 6505771B , 21 , 276571 , 0 , 47.68 , STD   , DRB           , 219645.21 , 186439 , 262747 , 0 , 0.85 , 1.2 , 0 , 2.05 
 CLFTEA18 , ETS-2-64 , 5X5 , 6487839B                                      , 6487839B , 8 , 62818 , 0 , 45.53 , STD   , RTV           , 32771.38 , 15130 , 7555 , 0 , 0.46 , 0.23 , 0 , 0.69 
 CLFTEA18 , ETS-2-64 , 4X4 , 6487839B                                      , 6525585A , 1 , 5185 , 1 , 1.91 , STD   , RGELLF        , 65338.49 , 167931 , 679729 , 0 , 2.57 , 10.4 , 0 , 12.97 
 CLFTEA19 , ETS-2-64 , 4X4 , 6526546B                                      , 6526546B , 15 , 124235 , 0 , 46.74 , STD   , RUY           , 56483.06 , 0 , 5520 , 0 , 0 , 0.1 , 0 , 0.1 
 CLFTEA20 , ETS-S-64 , 3X3 , 6524552C                                      , 6511094C , 10 , 131862 , 1 , 33.98 , STD   , DRB           , 93149.41 , 13802 , 118060 , 0 , 0.15 , 1.27 , 0 , 1.42 
 CLFTEA20 , ETS-S-64 , 5X5 , 6524552C                                      , 6518677A , 4 , 27566 , 2 , 12.06 , STD   , RSB           , 56242.44 , 11839 , 15727 , 0 , 0.21 , 0.28 , 0 , 0.49 
 CLFTEA20 , ETS-S-64 , 2X2 , 6524552C                                      , 6506370A , 1 , 12069 , 3 , 1.09 , STRIP , DSGST         , 282624 , 48095 , 0 , 0 , 0.17 , 0 , 0 , 0.17 
 CLFTEA22 , ETS-0-64 , 3X3 , 6529253A                                      , 6529253A , 12 , 92436 , 0 , 42.74 , STD   , RTE300        , 51885.01 , 13886 , 366933 , 0 , 0.27 , 7.07 , 0 , 7.34 
