Key_Device,TARGET
MPC508AU,123                  
XPS54386PWPR,9977             
1TPS61012DGSR,28689           
THS7319IZSVR,49234            
XPA3100D2PHPR,10189           
TPA032D02DCAR,60              
G610QPWPRG4Q1,9544            
TLC0838CPW,279                
DRV602PWR,37816               
XPS54380PWPR,4075             
TPS23770PWPR,3327             
TPS65850ZQZR,12031            
2U40057QPWPRSV,1928           
1UCC27324DGNR,2074            
XPS2384PAP,233                
1UCC37325DGNR,2010            
TPS40077PWPR,1003             
TPS54372PWPR,1574             
TPS54316PWP,423               
XPA3123D2PWPR,15717           
XPS54310PWPR,41331            
TPS54810PWP,136               
TPS40060PWPR,1873             
2U54612QPWPRDN,1014           
TPS54910PWP,22                
ADS1230IPWR,383               
TPS54873PWPR,469              
QTPS54550PWP7,176             
XPS54283PWPR,460              
TPS54314PWPR,294              
XPS54350PWPR,3758             
TPS54010PWP,75                
TPS65856ZQZR,32228            
TPS54316PWPR,235              
XCD7100PWPR,3232              
TPA3121D2PWPR,14946           
THS7303PW,138                 
XPA3106D1VFPR,1438            
TPS54612PWPR,1392             
XPS40057PWPR,11877            
XPS65160APWPR,19538           
TPS65851ZQZR,41088            
TRF7906PWR,3812               
TLC0838CPWR,280               
TPS5130PTR,3766               
XPS54310PWP,1433              
XN0703052PWPR,56220           
TPS23754PWPR,567              
DRV603PWR,129164              
XPS23841PAP,46                
TPS54312PWPR,629              
SN0608006PWPR,20408           
TPS40071PWPR,7277             
1TPS62040DGQR,6922            
TPS54010PWPR,1196             
TPA3124D2PWPR,11841           
XPS2384APAP,2686              
XPS54386PWP,234               
TPS2377DR,1646                
TPS54614PWPR,381              
XPS40057PWP-P,306             
1TPS51100DGQR,72742           
1TPS62042DGQR,1458            
SWRC54010PWPR7,72             
SWRTPA3004D2P7,76             
QTPS658600ZQZT,1              
2U54110QPWPRQ1,3670           
2U54350MPWPREP,117            
2U54372QPWPRDN,5145           
TPA3003D2PFBR,284             
TPA6030A4PWPR,3056            
XN0405001PWPR,8964            
XPA3101D2PHPR,24772           
SN0405063PWPR,1432            
SN0806054PWPR,18062           
XPS2384APJDR,6284             
XPS40055PWPR,9774             
XPS54286PWPR,22910            
XPS54383PWPR,2487             
XPS54550PWPR,8868             
XPS54672PWPR,5582             
TPA3007D1PWR,9872             
TPA3100D2PHP,282              
TPS40021PWPR,4489             
TPS40056PWPR,220              
TPS51116PWPR,25028            
TPS54373PWPR,129              
TPS54610PWPR,48550            
TPS54680PWPR,908              
TPS54810PWPR,414              
TPS54910PWPR,15042            
XPS40057PWP,112               
XPS54286PWP,826               
TPS54315PWP,129               
TPS54610PWP,821               
TPS54612PWP,1                 
TRF7903PWR,2986               
TRF7905PWR,2361               
TLC5951DAP,46                 
THS7303PWR,1738               

