Machine_instance,Hours
TAEAGLE01-1,24      
TAEAGLE02-1,24      
TAEAGLE03-1,24      
TAEAGLE04-1,24      
TAEAGLE05-1,24      
TAEAGLE06-1,24      
TAEAGLE07-1,24      
TAEAGLE08-1,24      
TAEAGLE09-1,24      
TAEAGLE10-1,24      
TAEAGLE11-1,24      
TAEAGLE12-1,24      
TAEAGLE13-1,24      
TAEAGLE14-1,24      
TAEAGLE15-1,24      
TAEAGLE16-1,24      
TAEAGLE17-1,24      
TAEAGLE18-1,24      
TAEAGLE19-1,24      
TAEAGLE20-1,24      
TAEAGLE21-1,24      
TAEAGLE22-1,24      
TAEAGLE23-1,24      
TAEAGLE24-1,24      
TAEAGLE25-1,24      
TAEAGLE26-1,24      
TAEAGLE27-1,24      
TAEAGLE28-1,24      
TAEAGLE29-1,24      
TAEAGLE30-1,24      
TAEAGLE31-1,24      
TAEAGLE32-1,24      
TAEAGLE33-1,24      
TAEAGLE34-1,24      
TAEAGLE35-1,24      
TAEAGLE36-1,24      

