Machine,Time
TAEAGLE01-1,22.6208
TAEAGLE02-1,23.7273
TAEAGLE03-1,23.8472
TAEAGLE04-1,18.1903
TAEAGLE05-1,9.09583
TAEAGLE06-1,21.2151
TAEAGLE07-1,5.34583
TAEAGLE08-1,22.8567
TAEAGLE09-1,22.2119
TAEAGLE10-1,19.1735
TAEAGLE11-1,34.1774
TAEAGLE12-1,26.1422
TAEAGLE13-1,23.411
TAEAGLE14-1,34.8212
TAEAGLE15-1,34.1093
TAEAGLE16-1,26.4716
TAEAGLE17-1,25.5875
TAEAGLE18-1,11.4129
TAEAGLE19-1,34.8096
TAEAGLE20-1,23.3647
TAEAGLE21-1,23.4972
TAEAGLE22-1,22.8588
TAEAGLE23-1,23.2411
TAEAGLE24-1,29.0492
TAEAGLE25-1,23.9108
TAEAGLE26-1,23.7181
TAEAGLE27-1,26.0242
TAEAGLE28-1,34.718
TAEAGLE29-1,34.6536
TAEAGLE30-1,27.4098
TAEAGLE31-1,23.8374
TAEAGLE32-1,22.7676
TAEAGLE33-1,23.0863
TAEAGLE34-1,29.208
TAEAGLE35-1,25.8552
TAEAGLE36-1,23.1672
