Machine_Instance,Machine_Family_Name,Lot_Name,Logpoint,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Start_Time,Completion_Time,Pass_No,Passes_to_go,Finished
TAEAGLE02-1,ETS-1-64,4051017,7100,14384,24300,Y,1TPA2005D1DGNR,6464875A,1,11/05/09 10:32:00,11/05/09 08:11:00,11/05/09 13:56:12,1,0
TAEAGLE13-1,ETS564,4055795,7100,14371,1.4152e+06,Y,1TPS51100DGQR,6455407A,1,11/05/09 10:32:00,11/05/09 08:35:00,11/05/09 14:47:37,1,0
TAEAGLE22-1,ETS-1M-64,4047445,7100,14392,2.9013e+06,Y,1UCC37325DGNR,6492291A,1,11/05/09 10:32:00,11/05/09 09:20:00,11/05/09 12:40:49,1,0
TAEAGLE27-1,ETS-1-64,9947591,7102,8234,7.8638e+06,Y,2U54110QPWPRQ1,6473197B,1,11/05/09 10:32:00,11/05/09 10:19:00,11/05/09 12:39:57,1,0
TAEAGLE30-1,ETS-0-64,4006558,7101,8585,8.3026e+06,Y,2U54372QPWPRDN,6504853A/6487463C,1,11/05/09 10:32:00,11/05/09 08:02:00,11/05/09 12:17:30,1,1
TAEAGLE31-1,ETS-0-64,9989393,7100,2771,96600,Y,2U65100QPWPRQ1,6471816C,1,11/05/09 10:32:00,11/05/09 09:45:00,11/05/09 10:40:25,1,0
TAEAGLE32-1,ETS-2-64,9796682,7110,3110,292600,Y,BQ2005STR,6505161A,1,11/05/09 10:32:00,11/05/09 08:36:00,11/06/09 02:53:38,1,0
TAEAGLE01-1,ETS-1-64,4016753,7100,8639,4.0276e+06,N,XN0405001PWPR,6485429A,1,11/05/09 10:32:00,11/05/09 11:02:00,11/05/09 16:08:22,1,0,Y
TAEAGLE01-1,ETS-1-64,4014925,7100,6534,2.5089e+06,N,XPS40055PWPR,6485429A,1,11/05/09 10:32:00,11/05/09 16:08:22,11/05/09 20:26:18,1,0,Y
TAEAGLE01-1,ETS-1-64,4015434,7100,8477,2.7761e+06,N,XPS40057PWPR,6485429A,1,11/05/09 10:32:00,11/05/09 20:26:18,11/06/09 01:56:32,1,0,Y
TAEAGLE01-1,ETS-1-64,4004575,7121,8603,75200,N,XPS40057PWP-P,6485429A,1,11/05/09 10:32:00,11/06/09 01:56:32,11/06/09 07:31:33,1,0,Y
TAEAGLE01-1,ETS-1-64,4024920,7100,2322,1,N,XN0405001PWPR,6485429A,1,11/05/09 10:32:00,11/06/09 07:31:33,11/06/09 09:09:15,1,0,Y
TAEAGLE02-1,ETS-1-64,4051018,7100,14382,24300,N,1TPA2005D1DGNR,6464875A,1,11/05/09 13:56:12,11/05/09 14:26:12,11/05/09 19:51:20,1,0,Y
