LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5388353,1108026RHDR1-R,RHD          ,28 ,      7902,     11.44,5388353,4410,1,        14.77,      13.89,     11.11,                   ,05/07/2015 02:06:12,
5386997,1108026RHDR1-R,RHD          ,28 ,      6149,     11.81,5386997,4410,1,        14.77,      13.89,     11.48,                   ,05/07/2015 02:06:12,
5380381,1218DSCR3-G2YK,DSC300ST     ,10 ,     13821,      14.9,5380381,4410,1,        15.77,      13.77,     13.44,                   ,05/07/2015 02:06:12,
5399454,1218DSCR3-G2YK,DSC300ST     ,10 ,     13821,      9.46,5399454,4410,1,        15.64,      13.77,      8.14,                   ,05/07/2015 02:06:12,
5362234,3315RGFR-G2S2Y,RGFMCM300    ,40 ,      3676,     21.93,5362234,4410,1,        28.44,      24.43,     18.46,                   ,05/07/2015 02:06:12,
5397153,65633BKRTER-G2,RTE300       ,16 ,     13782,      9.02,5397153,4410,1,           15,      14.21,      8.78,                   ,05/07/2015 02:06:12,
5396209,AFE031AIRGZR-C,RGZ          ,48 ,      4471,     10.19,5396209,4410,1,        15.53,      13.79,         9,                   ,05/07/2015 02:06:12,
5355856,BQ24166RGER-G2,RGE300       ,24 ,     10055,      20.6,5355856,4410,1,        15.04,      14.21,     20.32,                   ,05/07/2015 02:06:12,
5378173,BQ24170RGYR-G2,RGY          ,24 ,      6373,     14.33,5378173,4410,1,         15.1,      14.29,     14.07,                   ,05/07/2015 02:06:12,
5346296,BQ24170RGYR-G2,RGY          ,24 ,      6428,         1,5346296,4410,1,         15.1,      14.29,     23.12,                   ,05/07/2015 02:06:12,
5217816,BQ24172RGYR-G2,RGY          ,24 ,      6470,         1,5217816,4410,1,         16.5,      14.21,     61.76,                   ,05/07/2015 02:06:12,
5368750,CSD59968Q5M-LN,DQPCLIP      ,12 ,      3436,     17.78,5368750,4410,1,        20.52,      18.86,     16.67,                   ,05/07/2015 02:06:12,
5401971,D3211A1RGPR-G2,RGPST300     ,20 ,     10058,      8.81,5401971,4410,1,        15.64,      13.77,      7.48,                   ,05/07/2015 02:06:12,
5407591,D3211A1RGPR-G2,RGPST300     ,20 ,      8846,       7.1,5407591,4410,1,        15.64,      13.77,      5.78,                   ,05/07/2015 02:06:12,
5373997,D74110RVFR2-LN,RVFCLIP      ,40 ,      3534,     16.27,5373997,4410,1,        20.52,      18.86,     15.16,                   ,05/07/2015 02:06:12,
5406247,D97374Q4M-LNKE,DPC          ,8  ,      7634,      6.82,5406247,4410,1,        18.02,      16.81,      6.16,                   ,05/07/2015 02:06:12,
5386199,NA300AIDSQR-CK,DSQST        ,10 ,     19415,     13.21,5386199,4410,1,        15.77,      13.77,     11.75,                   ,05/07/2015 02:06:12,
5386198,NA300AIDSQR-CK,DSQST        ,10 ,     24816,     13.21,5386198,4410,1,        15.77,      13.77,     11.75,                   ,05/07/2015 02:06:12,
5072643,PS51311RGTR-G2,RGT300       ,16 ,     13736,    106.01,5072643,4410,1,        16.33,      14.29,    104.51,                   ,05/07/2015 02:06:12,
5305957,PS54821RHLR2-R,RHL          ,14 ,     15103,         1,5305957,4410,1,        15.55,      14.29,     35.78,                   ,05/07/2015 02:06:12,
5374531,PS65023RSBR1-R,RSB          ,40 ,      7894,     15.34,5374531,4410,1,         15.1,      14.29,     15.07,                   ,05/07/2015 02:06:12,
5393457,Q24195RGER-G2Y,RGE300LLF    ,24 ,      9829,     10.32,5393457,4410,1,        15.68,       14.6,      9.78,                   ,05/07/2015 02:06:12,
5404371,Q24296MRGER-G2,RGE300       ,24 ,     10066,      6.99,5404371,4410,1,           15,      14.21,      6.75,                   ,05/07/2015 02:06:12,
5397208,Q24616RGER-G2K,RGE300       ,24 ,     10013,      9.02,5397208,4410,1,           15,      14.21,      8.78,                   ,05/07/2015 02:06:12,
5385036,Q24715RGRR-G2K,RGR300       ,20 ,     15076,     12.37,5385036,4410,1,        15.03,      14.21,      12.1,                   ,05/07/2015 02:06:12,
5400431,S53355ADQPR-CN,DQPCLIP      ,22 ,      6735,      8.57,5400431,4410,1,        20.17,      18.86,       7.8,                   ,05/07/2015 02:06:12,
5342324,S544C24RVFR-LN,RVFCLIP      ,40 ,      3636,         1,5342324,4410,1,           18,      16.81,     24.39,                   ,05/07/2015 02:06:12,
5386238,S62740DSSR1-LK,DSSST        ,12 ,      8635,      13.2,5386238,4410,1,        15.77,      13.77,     11.75,                   ,05/07/2015 02:06:12,
5361125,S65177RHAR1-G2,RHA300       ,40 ,      5182,     20.03,5361125,4410,1,        15.57,      13.79,      18.8,                   ,05/07/2015 02:06:12,
5365898,S65177RHAR1-G2,RHA300       ,40 ,      5174,     18.71,5365898,4410,1,        15.57,      13.79,     17.47,                   ,05/07/2015 02:06:12,
5378881,SD97370Q5M2-LN,DQPCLIP      ,22 ,      6857,     14.91,5378881,4410,1,        20.52,      18.86,      13.8,05/06/2015 11:27:45,05/07/2015 02:06:12,CLFTEA29
5388179,TPS2500DRCR-G2,DRC          ,10 ,     11962,     11.42,5388179,4410,1,        15.03,      14.21,     11.15,                   ,05/07/2015 02:06:12,
5406566,TPS54622RHLR-L,RHL          ,14 ,     15111,      6.37,5406566,4410,1,        15.08,      14.29,      6.13,                   ,05/07/2015 02:06:12,
5399444,1218DSCR3-G2YK,DSC300ST     ,10 ,     13815,      9.46,5399444,4410,1,        15.64,      13.77,      8.14,                   ,05/07/2015 02:06:12,
5347811,1315RGFR-G2S2Y,RGFMCM300    ,40 ,      3241,     26.19,5347811,4410,1,        28.44,      24.43,     22.72,                   ,05/07/2015 02:06:12,
5401180,1401043RVER-LN,RVECLIP      ,28 ,      7659,      8.48,5401180,4410,1,        20.17,      18.86,      7.71,                   ,05/07/2015 02:06:12,
5343482,225CRUKR4-G2YK,RUKST300     ,20 ,     13822,     25.01,5343482,4410,1,        15.24,      13.71,     24.03,                   ,05/07/2015 02:06:12,
