LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5192985,24192HRGER-G2Y,RGE300LLF    ,24 ,      8580,     17.37,5192985,4410,1,        16.71,      15.62,     16.83,03/16/2015 01:49:48,03/16/2015   02:06:12,CLFTEA14
5127798,ADS1220IRVAR-Z,RVA          ,16 ,      9855,     36.93,5127798,4410,1,        16.56,      15.13,     36.04,03/16/2015 12:04:50,03/16/2015   02:06:12,CLFTEA16
5192022,A2006D1DRBR-RK,DRB          ,8  ,     13815,     18.09,5192022,4410,1,        16.68,      15.13,     17.08,03/16/2015 10:54:50,03/16/2015   02:06:12,CLFTEA40
5221887,PS2561DRCR1-RY,DRCST        ,10 ,      9301,     10.61,5221887,4410,1,        16.04,      13.43,      8.54,03/16/2015 11:38:48,03/16/2015   02:06:12,CLFTEA48
5174231,24735SRGRR-G2K,RGR300       ,20 ,     15104,     23.15,5174231,4410,1,         16.6,      15.02,     22.11,03/16/2015 04:53:23,03/16/2015   02:06:12,CLFTEA64
5025558,AC8760IRHAR-CK,RHA          ,40 ,      3522,     68.35,5025558,4420,1,        21.69,      18.78,     65.98,03/15/2015 11:49:02,03/16/2015   02:06:12,CLFTEA83
5174238,24735SRGRR-G2K,RGR300       ,20 ,      7550,     23.15,5174238,4410,1,         16.6,      15.02,     22.11,03/16/2015 01:27:31,03/16/2015   02:06:12,CLFTEA85
5220365,Q24737RGRR-G2K,RGR300       ,20 ,     15079,      9.94,5220365,4410,1,         16.5,      15.02,      9.01,03/16/2015 12:41:21,03/16/2015   02:06:12,CLFTEA88
5177538,S544C24RVFR-LN,RVFCLIP      ,40 ,      3454,     21.89,5177538,4410,1,        17.85,      16.57,     21.15,                   ,03/16/2015   02:06:12,
5098231,TPS2231RGPR-B ,RGP          ,20 ,      6434,     46.19,5098231,4410,1,        16.11,      14.53,     45.15,                   ,03/16/2015   02:06:12,
5220825,D97374Q4M-LNKE,DPC          ,8  ,      7611,      9.99,5220825,4410,1,        18.26,      16.57,      8.85,                   ,03/16/2015   02:06:12,
5198864,652621RHBR1-G2,RHB300       ,32 ,      7913,     16.15,5198864,4410,1,        16.61,      15.02,     15.11,                   ,03/16/2015   02:06:12,
5200004,202027CRSLR-G2,RSL300       ,48 ,      5170,      16.9,5200004,4410,1,        17.14,      14.52,     14.82,                   ,03/16/2015   02:06:12,
5206887,BQ24133RGYR-G2,RGY          ,24 ,      6470,     13.75,5206887,4410,1,         16.6,      15.13,     12.82,                   ,03/16/2015   02:06:12,
5211532,S51200DRCR-G2Y,DRC300LLF    ,10 ,     16927,     12.41,5211532,4410,1,        17.09,      15.65,     11.51,                   ,03/16/2015   02:06:12,
5224530,212005RHRR1-G2,RHR300       ,28 ,      6473,      8.71,5224530,4410,1,         16.5,      15.02,      7.77,                   ,03/16/2015   02:06:12,
5211577,51622ARSMR-G2K,RSM300       ,32 ,     10067,     12.45,5211577,4410,1,         16.5,      15.02,     11.51,                   ,03/16/2015   02:06:12,
5224005,PS62420DRCR-RY,DRCLLF       ,10 ,      9111,     11.16,5224005,4410,1,        16.49,      15.53,     10.75,                   ,03/16/2015   02:06:12,
5170790,2592BLDRCR-G2K,DRC          ,10 ,     13808,     24.21,5170790,4410,1,         16.6,      15.02,     23.17,                   ,03/16/2015   02:06:12,
5203091,PS65178ARSLR-R,RSL          ,48 ,      5136,     15.84,5203091,4410,1,        16.57,      14.03,     13.85,                   ,03/16/2015   02:06:12,
5010518,PS53313RGER-G2,RGE300       ,24 ,      5000,     70.58,5010518,4410,1,        15.75,      15.13,     70.51,                   ,03/16/2015   02:06:12,
5025078,AC8760IRHAR-CK,RHA          ,40 ,      2138,     68.49,5025078,4420,1,        21.69,      18.78,     66.13,03/12/2015 11:56:56,03/16/2015   02:06:12,
5213644,51980ARTVR-G2K,RTV          ,32 ,      7862,     12.79,5213644,4410,1,        17.03,      14.52,     10.82,                   ,03/16/2015   02:06:12,
5217376,PS53317RGBR-G2,RGB300       ,20 ,      3591,     10.77,5217376,4410,1,         16.6,      15.13,      9.84,                   ,03/16/2015   02:06:12,
4946916,4192RGER1-G2R&,RGESTLLF300  ,24 ,      2586,    123.73,4946916,4410,1,        16.42,      13.72,    121.57,                   ,03/16/2015   02:06:12,
5198587,1212006RGRR-G2,RGR300       ,20 ,     11742,      16.2,5198587,4410,1,        16.61,      15.02,     15.15,                   ,03/16/2015   02:06:12,
5022351,S24751RUVR-CS2,RUVMCM       ,36 ,      4169,     69.24,5022351,4410,1,        29.18,      26.24,     66.85,                   ,03/16/2015   02:06:12,
5211600,Q24296MRGER-G2,RGE300       ,24 ,      9995,     12.45,5211600,4410,1,         16.5,      15.02,     11.51,                   ,03/16/2015   02:06:12,
5207141,Q24296MRGER-G2,RGE300       ,24 ,      5007,     13.69,5207141,4410,1,         16.5,      15.02,     12.75,                   ,03/16/2015   02:06:12,
5214840,PS61230DRCR1-L,DRC          ,10 ,     13743,     11.49,5214840,4410,1,        16.04,      14.53,     10.53,                   ,03/16/2015   02:06:12,
5220390,24725ARGRR-G2K,RGR300       ,20 ,     15079,      9.93,5220390,4410,1,         16.6,      15.13,      9.01,                   ,03/16/2015   02:06:12,
5025557,AC8760IRHAR-CK,RHA          ,40 ,      5041,     68.35,5025557,4420,1,        21.69,      18.78,     65.98,03/13/2015 01:47:31,03/16/2015   02:06:12,
5211476,Q24738RGRR-G2K,RGR300       ,20 ,      8598,     12.44,5211476,4410,1,         16.6,      15.13,     11.51,                   ,03/16/2015   02:06:12,
5232675,94522DRVR1-G2K,DRVST300     ,6  ,     20260,      7.19,5232675,4410,1,        16.12,      13.66,      5.28,                   ,03/16/2015   02:06:12,
5208031,24195LRGER-G2Y,RGE300LLF    ,24 ,     10020,     13.42,5208031,4410,1,        17.09,      15.65,     12.53,                   ,03/16/2015   02:06:12,
5213594,1220ARSNR1-G2K,RSN300       ,32 ,      7777,     11.75,5213594,4410,1,         16.6,      15.13,     10.83,                   ,03/16/2015   02:06:12,
