LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE,,
5487818,050PRMWR-G2QN&,RMWFCST300   ,12,25080,31.38,5487818,4410,1,0,3.33,35.25,                   ,6/29/2015 2:06,,,
5487819,050PRMWR-G2QN&,RMWFCST300   ,12,25079,31.38,5487819,4410,1,0,3.33,35.25,                   ,6/29/2015 2:06,,,
5588731,050PRMWR-G2QN&,RMWFCST300   ,12,3240,31.38,5588731,4410,1,0,3.33,35.25,                   ,6/29/2015 2:06,,,
5588727,050PRMWR-G2QN&,RMWFCST300   ,12,3485,31.38,5588727,4410,1,0,3.33,35.25,                   ,6/29/2015 2:06,,,
5491460,051PRMWR-G2QN&,RMWFCST300   ,12,25080,30.31,5491460,4410,1,0,3.33,34.19,                   ,6/29/2015 2:06,,,
5588734,051PRMWR-G2QN&,RMWFCST300   ,12,3220,30.31,5588734,4410,1,0,3.33,34.19,                   ,6/29/2015 2:06,,,
5585619,1108026RHDR1-R,RHD          ,28,7896,7.88,5585619,4410,1,14.5,13.54,7.47,                   ,6/29/2015 2:06,,,
5585616,1108026RHDR1-R,RHD          ,28,7836,7.88,5585616,4410,1,14.5,13.54,7.47,                   ,6/29/2015 2:06,,,
5585627,1108026RHDR1-R,RHD          ,28,7910,7.88,5585627,4410,1,14.5,13.54,7.47,                   ,6/29/2015 2:06,,,
5586012,1212DSCR2-G2YK,DSC300ST     ,10,6857,9.9,5586012,4410,1,16.1,13.05,7.4,                   ,6/29/2015 2:06,,,
5586011,1212DSCR2-G2YK,DSC300ST     ,10,10810,9.9,5586011,4410,1,16.1,13.05,7.4,                   ,6/29/2015 2:06,,,
5586010,1212DSCR2-G2YK,DSC300ST     ,10,13792,9.9,5586010,4410,1,16.1,13.05,7.4,                   ,6/29/2015 2:06,,,
5586009,1212DSCR2-G2YK,DSC300ST     ,10,13773,9.9,5586009,4410,1,16.1,13.05,7.4,                   ,6/29/2015 2:06,,,
5570511,1220ARSNR1-G2K,RSN300       ,32,9835,12.22,5570511,4410,1,14.79,13.85,11.83,                   ,6/29/2015 2:06,,,
5567067,1220ARSNR1-G2K,RSN300       ,32,9590,13.16,5567067,4410,1,14.79,13.85,12.76,                   ,6/29/2015 2:06,,,
5567952,1220ARSNR1-G2K,RSN300       ,32,9936,12.87,5567952,4410,1,14.79,13.85,12.47,                   ,6/29/2015 2:06,,,
5567068,1220ARSNR1-G2K,RSN300       ,32,9941,13.16,5567068,4410,1,14.79,13.85,12.76,                   ,6/29/2015 2:06,,,
5567954,1220ARSNR1-G2K,RSN300       ,32,10063,12.87,5567954,4410,1,14.79,13.85,12.47,                   ,6/29/2015 2:06,,,
