LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5911031,PS61177RGRR-G2,3.5X3.5       ,RGR300       ,2158,6953.00,5911031,4410,1,        14.74,      12.46,      67.8,,10/02/2015 06:06:10,
5712667,PS2561DRCR1-LY,3X3           ,DRCST        ,6950,6553.00,5712667,4410,1,        15.24,      12.77,      63.6,,10/02/2015 06:06:10,
5749394,25810RVCR-G2R#,4X3           ,RVC300ST     ,3399,5429.00,5749394,4410,1,        15.66,      13.06,     52.23,,10/02/2015 06:06:10,
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,15108,4333.00,5785851,4410,1,        16.19,      13.06,     40.74,,10/02/2015 06:06:10,
5786041,BQ24311DSGR-G2,2X2           ,DSGST        ,23506,4285.00,5786041,4410,1,        15.74,      13.01,     40.66,,10/02/2015 06:06:10,
5796242,Q25895MRTWR-G2,4X4           ,RTWST300     ,5037,3872.00,5796242,4410,1,         14.7,      13.06,     37.63,,10/02/2015 06:06:10,
5796236,Q25895MRTWR-G2,4X4           ,RTWST300     ,10064,3872.00,5796236,4410,1,         14.7,      13.06,     37.63,,10/02/2015 06:06:10,
5796241,Q25895MRTWR-G2,4X4           ,RTWST300     ,8746,3872.00,5796241,4410,1,         14.7,      13.06,     37.63,,10/02/2015 06:06:10,
5796240,Q25895MRTWR-G2,4X4           ,RTWST300     ,8631,3872.00,5796240,4410,1,         14.7,      13.06,     37.63,,10/02/2015 06:06:10,
5814301,62407QDRCRQ1-R,3X3           ,DRCVTT       ,6774,3481.00,5814301,4410,1,         19.7,      16.54,      32.2,,10/02/2015 06:06:10,
5818222,BQ25892RTWR-G2,4X4           ,RTWST300     ,9588,3218.00,5818222,4410,1,        14.97,      13.06,     30.82,,10/02/2015 06:06:10,
5818946,PS62745DSSR-LK,3X2           ,DSSST        ,17218,3199.00,5818946,4410,1,        14.97,      13.06,     30.63,,10/02/2015 06:06:10,
5818627,S51125ARGER-BY,4X4           ,RGELLF       ,5838,3105.00,5818627,4410,1,        13.17,      12.34,     30.77,,10/02/2015 06:06:10,
5822897,BQ25895RTWR-G2,4X4           ,RTWST300     ,8729,3083.00,5822897,4410,1,        14.97,      13.06,     29.46,,10/02/2015 06:06:10,
5820733,S53515ARVER-LN,4.5X3.5       ,RVECLIP      ,7567,3062.00,5820733,4410,1,        16.54,      15.51,     30.13,,10/02/2015 06:06:10,
