LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
"5124573","TPS71745DSER-L","DSEST        ","6","41926","21790","5124573","4410","1","        16.29","      12.98","    215.13","","09/10/2015 02:06:10",""
"5199075","TPS71745DSER-L","DSEST        ","6","20891","19818","5199075","4410","1","        18.67","      12.98","    193.03","","09/10/2015 02:06:10",""
"5199073","TPS71745DSER-L","DSEST        ","6","31323","19818","5199073","4410","1","        18.67","      12.98","    193.03","","09/10/2015 02:06:10",""
"5199074","TPS71745DSER-L","DSEST        ","6","39511","19818","5199074","4410","1","        18.67","      12.98","    193.03","","09/10/2015 02:06:10",""
"5491459","4519RTER1-RQR&","RTEST        ","16","8685","11029","5491459","4410","1","        15.98","      12.33","    107.19","","09/10/2015 02:06:10",""
"5491458","4519RTER1-RQR&","RTEST        ","16","11443","11029","5491458","4410","1","        15.98","      12.33","    107.19","","09/10/2015 02:06:10",""
"5655964","D95373BQ5M1-LN","DQPCLIP      ","12","3394","6699","5655964","4410","1","        22.39","      15.27","     60.41","","09/10/2015 02:06:10",""
"5655963","D95373BQ5M1-LN","DQPCLIP      ","12","3331","6699","5655963","4410","1","        22.39","      15.27","     60.41","","09/10/2015 02:06:10",""
"5647267","DC1101DRCT-KDC","DRCST        ","10","9333","6518","5647267","4410","1","        15.01","      12.33","     63.05","","09/10/2015 02:06:10",""
"5664924","BQ24298RTWR-G2","RTWST300     ","24","4988","5990","5664924","4410","1","        14.96","      12.33","     57.82","","09/10/2015 02:06:10",""
"5672538","PS65168RSBR1-R","RSB          ","40","7704","5701","5672538","4410","1","        14.78","      12.37","     55.15","","09/10/2015 02:06:10",""
"5682223","74110RVFT-LQN#","RVFCLIP      ","40","2685","5552","5682223","4410","1","        17.65","      13.08","     51.49","","09/10/2015 02:06:10",""
"5682224","74110RVFT-LQN#","RVFCLIP      ","40","2373","5552","5682224","4410","1","        17.65","      13.08","     51.49","","09/10/2015 02:06:10",""
"5682222","74110RVFT-LQN#","RVFCLIP      ","40","2575","5552","5682222","4410","1","        17.65","      13.08","     51.49","","09/10/2015 02:06:10",""
"5677103","PS61093DSKR-G2","DSKST        ","10","26127","5519","5677103","4410","1","        14.96","      12.33","     53.11","","09/10/2015 02:06:10",""
"5677109","PS61093DSKR-G2","DSKST        ","10","30090","5519","5677109","4410","1","        14.96","      12.33","     53.11","","09/10/2015 02:06:10",""
"5690078","S627451DSST-LK","DSSST        ","12","15375","5136","5690078","4410","1","        15.17","      12.33","     49.07","","09/10/2015 02:06:10",""
"5699219","PS61177RGRR-G2","RGR300       ","20","14975","4805","5699219","4410","1","        14.74","      12.27","     46.13","","09/10/2015 02:06:10",""
"5699218","PS61177RGRR-G2","RGR300       ","20","15104","4805","5699218","4410","1","        14.74","      12.27","     46.13","","09/10/2015 02:06:10",""
"5706053","S59650RSLR-G2K","RSL          ","48","2547","4670","5706053","4410","1","        15.11","      11.87","     44.01","","09/10/2015 02:06:10",""
"5706051","S59650RSLR-G2K","RSL          ","48","5012","4670","5706051","4410","1","        15.11","      11.87","     44.01","","09/10/2015 02:06:10",""
"5711256","S59650RSLR-G2K","RSL          ","48","2724","4511","5711256","4410","1","        15.11","      11.87","     42.42","","09/10/2015 02:06:10",""
"5711254","S59650RSLR-G2K","RSL          ","48","4902","4511","5711254","4410","1","        15.11","      11.87","     42.42","","09/10/2015 02:06:10",""
"5712667","PS2561DRCR1-LY","DRCST        ","10","6950","4446","5712667","4410","1","        15.24","      12.17","     41.94","","09/10/2015 02:06:10",""
"5717215","PS61088RHLR-G2","RHL300ST     ","20","7918","4309","5717215","4410","1","        15.41","      12.27","     40.49","","09/10/2015 02:06:10",""
"5727056","D59998Q4M-LQN&","DPC          ","8","3657","4169","5727056","4410","1","        17.93","      13.08","     37.38","","09/10/2015 02:06:10",""
"5727053","D95377Q4M-LQN#","DPC          ","8","3844","4169","5727053","4410","1","        17.93","      13.08","     37.38","","09/10/2015 02:06:10",""
"5727751","95377Q4M2-LQN#","DPC          ","8","3877","4144","5727751","4410","1","        17.93","      13.08","     37.13","","09/10/2015 02:06:10",""
"5727743","95377Q4M1-LQN#","DPC          ","8","3819","4144","5727743","4410","1","        17.93","      13.08","     37.13","","09/10/2015 02:06:10",""
"5732923","2543QRTERQ1-G2","RTE300       ","16","13674","3744","5732923","4410","1","        15.23","      12.82","     35.57","","09/10/2015 02:06:10",""
"5734271","S62130ARGTRS-L","RGTLLF       ","16","8448","3720","5734271","4410","1","        15.44","      12.81","     35.12","","09/10/2015 02:06:10",""
"5741833","Q25895MRTWR-G2","RTWST300     ","24","10076","3578","5741833","4410","1","        15.85","      12.33","      32.8","","09/10/2015 02:06:10",""
"5753495","AC8163SDSCR-UC","DSC          ","10","7029","3368","5753495","4410","1","         8.94","        4.1","     29.39","","09/10/2015 02:06:10",""
"5771421","SD87381P6-UNR&","MPCMCMST     ","5","13433","3330","5771421","4410","1","         14.1","       4.05","      23.8","","09/10/2015 02:06:10",""
"5748629","S62130ARGTRS-L","RGTLLF       ","16","13911","3238","5748629","4410","1","        14.93","      12.81","     30.81","","09/10/2015 02:06:10",""
"5775940","SD87381P6-UNR&","MPCMCMST     ","5","13417","3197","5775940","4410","1","         14.1","       4.05","     22.46","","09/10/2015 02:06:10",""
"5750112","TPS2420RSAR-G2","RSA300       ","16","8315","3196","5750112","4410","1","         14.4","      12.27","     30.38","","09/10/2015 02:06:10",""
"5750132","S62130ARGTRS-L","RGTLLF       ","16","16867","3195","5750132","4410","1","        14.93","      12.81","     30.37","","09/10/2015 02:06:10",""
"5753301","S53647RTAR-G2K","RTA300       ","40","3355","3096","5753301","4410","1","        14.45","      12.37","     29.43","","09/10/2015 02:06:10",""
"5753300","S53647RTAR-G2K","RTA300       ","40","5035","3096","5753300","4410","1","        14.45","      12.37","     29.43","","09/10/2015 02:06:10",""
"5760782","BQ29700DSER-G2","DSEST300     ","6","20748","2971","5760782","4410","1","        16.15","      12.98","     27.08","","09/10/2015 02:06:10",""
"5760040","24075TRGTR-G2Y","RGT300LLF    ","16","8426","2888","5760040","4410","1","        14.93","      12.81","      27.3","","09/10/2015 02:06:10",""
"5764424","BQ29700DSER-G2","DSEST300     ","6","41892","2838","5764424","4410","1","        16.15","      12.98","     25.75","","09/10/2015 02:06:10",""
"5700832","D95379Q3M-LNKY","DNSCLPVTT    ","10","4693","2796","5700832","4410","1","            0","       17.1","     45.61","","09/10/2015 02:06:10",""
"5770469","BQ25890RTWR-G2","RTWST300     ","24","10062","2678","5770469","4410","1","        15.66","      12.33","        24","","09/10/2015 02:06:10",""
"5774017","BQ25040DQCR-G2","DQCST        ","10","17260","2590","5774017","4410","1","        15.78","      12.33","        23","","09/10/2015 02:06:10",""
"5774018","BQ25040DQCR-G2","DQCST        ","10","17228","2590","5774018","4410","1","        15.78","      12.33","        23","","09/10/2015 02:06:10",""
"5774020","BQ25040DQCR-G2","DQCST        ","10","13058","2590","5774020","4410","1","        15.78","      12.33","        23","","09/10/2015 02:06:10",""
"5774019","BQ25040DQCR-G2","DQCST        ","10","17258","2590","5774019","4410","1","        15.78","      12.33","        23","","09/10/2015 02:06:10",""
"5773034","D18502Q5B-NQR#","DNKCLIP      ","8","2103","2585","5773034","4410","1","        16.72","      13.57","     23.25","","09/10/2015 02:06:10",""
"5773035","D18502Q5B-NQR#","DNKCLIP      ","8","2165","2585","5773035","4410","1","        16.72","      13.57","     23.25","","09/10/2015 02:06:10",""
"5773033","D18502Q5B-NQR#","DNKCLIP      ","8","2208","2585","5773033","4410","1","        16.72","      13.57","     23.25","","09/10/2015 02:06:10",""
"5770099","TPS73701DRBR-B","DRB          ","8","11457","2568","5770099","4410","1","        14.24","       12.1","     24.09","","09/10/2015 02:06:10",""
"5770555","24780SRUYR-G2K","RUY300       ","28","10032","2553","5770555","4410","1","        14.45","      12.37","        24","","09/10/2015 02:06:10",""
"5778152","771803DPJR-G2K","DPJST300     ","8","16127","2471","5778152","4410","1","        15.74","      12.28","     21.79","","09/10/2015 02:06:10",""
"5778165","BQ24298RTWR-G2","RTWST300     ","24","8307","2470","5778165","4410","1","        15.78","      12.33","     21.79","","09/10/2015 02:06:10",""
"5778162","BQ24298RTWR-G2","RTWST300     ","24","10060","2470","5778162","4410","1","        15.78","      12.33","     21.79","","09/10/2015 02:06:10",""
"5778166","BQ24298RTWR-G2","RTWST300     ","24","5021","2470","5778166","4410","1","        15.78","      12.33","     21.79","","09/10/2015 02:06:10",""
"5778163","BQ24298RTWR-G2","RTWST300     ","24","10065","2470","5778163","4410","1","        15.78","      12.33","     21.79","","09/10/2015 02:06:10",""
"5778164","BQ24298RTWR-G2","RTWST300     ","24","10045","2470","5778164","4410","1","        15.78","      12.33","     21.79","","09/10/2015 02:06:10",""
"5777152","PS40428RHAR-G2","RHA300       ","40","3660","2446","5777152","4410","1","        14.65","      11.77","     22.13","","09/10/2015 02:06:10",""
"5774772","24780SRUYR-G2K","RUY300       ","28","10063","2418","5774772","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774774","24780SRUYR-G2K","RUY300       ","28","10009","2418","5774774","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774771","24780SRUYR-G2K","RUY300       ","28","9982","2418","5774771","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774775","24780SRUYR-G2K","RUY300       ","28","5013","2418","5774775","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774769","24780SRUYR-G2K","RUY300       ","28","10044","2418","5774769","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774773","24780SRUYR-G2K","RUY300       ","28","10063","2418","5774773","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5774770","24780SRUYR-G2K","RUY300       ","28","9987","2418","5774770","4410","1","         14.3","      12.37","     22.79","","09/10/2015 02:06:10",""
"5784235","D97374Q4M-LNKE","DPC          ","8","3883","2374","5784235","4410","1","        17.88","      13.08","     19.48","","09/10/2015 02:06:10",""
"5780089","401032DSGR1-G2","DSGST        ","8","24821","2364","5780089","4410","1","        17.06","      14.04","     21.17","","09/10/2015 02:06:10",""
"5778841","1622IDRCT-URR&","DRC          ","10","5034","2240","5778841","4410","1","         5.46","        4.1","     21.59","","09/10/2015 02:06:10",""
"5785851","4622RHLR1-LQR#","RHLST        ","14","15108","2239","5785851","4410","1","        16.19","      12.33","     19.08","","09/10/2015 02:06:10",""
"5783311","401032DSGR1-G2","DSGST        ","8","24811","2228","5783311","4410","1","        17.06","      14.04","     19.81","","09/10/2015 02:06:10",""
"5783422","PS65154RSLR-G2","RSL300       ","48","2292","2214","5783422","4410","1","        14.65","      11.77","      19.8","","09/10/2015 02:06:10",""
"5786041","BQ24311DSGR-G2","DSGST        ","8","23506","2191","5786041","4410","1","        15.74","      12.28","        19","","09/10/2015 02:06:10",""
"5790976","D74110RVFR2-LN","RVFCLIP      ","40","1034","2167","5790976","4410","1","        20.02","      15.27","     17.46","","09/10/2015 02:06:10",""
"5790977","D74110RVFR2-LN","RVFCLIP      ","40","1986","2167","5790977","4410","1","        20.02","      15.27","     17.46","","09/10/2015 02:06:10",""
"5782139","CSD87588N-NS2 ","MPAMCMST     ","5","3624","2163","5782139","4410","1","         14.1","      12.08","     20.15","","09/10/2015 02:06:10",""
"5782243","546QRTERQ11-G2","RTE300       ","16","7338","2159","5782243","4410","1","        14.83","      12.82","     20.12","","09/10/2015 02:06:10",""
"5782241","546QRTERQ11-G2","RTE300       ","16","13789","2159","5782241","4410","1","        14.83","      12.82","     20.12","","09/10/2015 02:06:10",""
"5782240","546QRTERQ11-G2","RTE300       ","16","13760","2159","5782240","4410","1","        14.83","      12.82","     20.12","","09/10/2015 02:06:10",""
"5782242","546QRTERQ11-G2","RTE300       ","16","13690","2159","5782242","4410","1","        14.83","      12.82","     20.12","","09/10/2015 02:06:10",""
"5789871","603V1RUNR-G2N#","RUNST300     ","10","24825","2142","5789871","4410","1","        19.09","      14.92","      17.8","","09/10/2015 02:06:10",""
"5789874","603V1RUNR-G2N#","RUNST300     ","10","24825","2142","5789874","4410","1","        19.09","      14.92","      17.8","","09/10/2015 02:06:10",""
"5789881","603V1RUNR-G2N#","RUNST300     ","10","22229","2142","5789881","4410","1","        19.09","      14.92","      17.8","","09/10/2015 02:06:10",""
"5789882","603V1RUNR-G2N#","RUNST300     ","10","12419","2142","5789882","4410","1","        19.09","      14.92","      17.8","","09/10/2015 02:06:10",""
"5789888","603V1RUNR-G2N#","RUNST300     ","10","12984","2142","5789888","4410","1","        19.09","      14.92","      17.8","","09/10/2015 02:06:10",""
"5788008","Q25895MRTWR-G2","RTWST300     ","24","10073","2138","5788008","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5788010","Q25895MRTWR-G2","RTWST300     ","24","5647","2138","5788010","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5788014","Q25895MRTWR-G2","RTWST300     ","24","9356","2138","5788014","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5788011","Q25895MRTWR-G2","RTWST300     ","24","10031","2138","5788011","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5788007","Q25895MRTWR-G2","RTWST300     ","24","10050","2138","5788007","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5788012","Q25895MRTWR-G2","RTWST300     ","24","9887","2138","5788012","4410","1","        15.78","      12.33","     18.47","","09/10/2015 02:06:10",""
"5783237","BQ24133RGYR-G2","RGY          ","24","6394","2121","5783237","4410","1","         14.3","      12.37","     19.82","","09/10/2015 02:06:10",""
"5789012","53819ARGTR1-LK","RGTST        ","16","13819","2100","5789012","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5789020","DC1101DRCR-KDC","DRCST        ","10","10260","2100","5789020","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5788994","1312DRCR1-G2KY","DRCST300     ","10","13758","2100","5788994","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5789017","53819ARGTR1-LK","RGTST        ","16","13819","2100","5789017","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5789014","53819ARGTR1-LK","RGTST        ","16","13764","2100","5789014","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5789010","53819ARGTR1-LK","RGTST        ","16","13819","2100","5789010","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5789013","53819ARGTR1-LK","RGTST        ","16","13817","2100","5789013","4410","1","        15.78","      12.33","     18.09","","09/10/2015 02:06:10",""
"5785465","2543QRTERQ1-G2","RTE300       ","16","13791","2061","5785465","4410","1","        14.83","      12.82","     19.15","","09/10/2015 02:06:10",""
"5785469","2543QRTERQ1-G2","RTE300       ","16","13657","2061","5785469","4410","1","        14.83","      12.82","     19.15","","09/10/2015 02:06:10",""
"5785468","2543QRTERQ1-G2","RTE300       ","16","10339","2061","5785468","4410","1","        14.83","      12.82","     19.15","","09/10/2015 02:06:10",""
