Tooling_Family,Setup_time
6479471B,0.5                                      
6438651E,0.5                                      
6462092A,0.5                                      
6461892A,0.5                                      
6485806C,0.5                                      
6485806A,0.5                                      
6453028A,0.5                                      
6437450B,0.5                                      
6442303C,0.5                                      
6442404A,0.5                                      
6469627A,0.5                                      
6433489B / C,0.5                                  
6437942A,0.5                                      
6438651D,0.5                                      
6456714B,0.5                                      
6455408B,0.5                                      
6462738B,0.5                                      
6454190A,0.5                                      
6575845B,0.5                                      
6477963D,0.5                                      
6497077C,0.5                                      
6463320B,0.5                                      
6479376B,0.5                                      
6488435A,0.5                                      
6475282A/6469883,0.5                              
6434094A,0.5                                      
6468078A,0.5                                      
6437624B,0.5                                      
6442302C,0.5                                      
6445231A,0.5                                      
6474758B,0.5                                      
6455408A,0.5                                      
6465516A,0.5                                      
6456403A,0.5                                      
6462367A,0.5                                      
6434122C,0.5                                      
6504143A,0.5                                      
6502270B,0.5                                      
6431640A,0.5                                      
6463221A,0.5                                      
6464875A,0.5                                      
6485601A,0.5                                      
6485822A,0.5                                      
6496765B,0.5                                      
6460432B,0.5                                      
A/W 6485333A,0.5                                  
6461406B,0.5                                      
6456402A,0.5                                      
6465165A,0.5                                      
6434122B,0.5                                      
6438032A,0.5                                      
6459165A,0.5                                      
6502390A,0.5                                      
6462741B,0.5                                      
6441705A,0.5                                      
UCC5638,0.5                                       
6450801B,0.5                                      
6473198B,0.5                                      
6473379A,0.5                                      
6491596A,0.5                                      
6468856A,0.5                                      
6496650A,0.5                                      
6504853A/6487463C,0.5                             
6466732A,0.5                                      
6496623A,0.5                                      
6465566B,0.5                                      
6450562A,0.5                                      
6438113A,0.5                                      
6492400B,0.5                                      
A/W 6460432B,0.5                                  
6447009A,0.5                                      
6455407A,0.5                                      
6450123A,0.5                                      
6453620A,0.5                                      
6438651C,0.5                                      
6468877A,0.5                                      
6442550A,0.5                                      
6459292B,0.5                                      
6473308A,0.5                                      
6475845B,0.5                                      
6490924B,0.5                                      
GPC-90007/6481066,0.5                             
6440109A,0.5                                      
6473283C,0.5                                      
6466496A,0.5                                      
6484512A,0.5                                      
6465505B,0.5                                      
6492291A,0.5                                      
6490530A,0.5                                      
6483172A,0.5                                      
6500271A,0.5                                      
6494655B,0.5                                      
6479538A,0.5                                      
6485429A,0.5                                      
6459957B,0.5                                      
6440031A,0.5                                      
6437942B,0.5                                      
6438717C,0.5                                      
6434128A,0.5                                      
6501065B,0.5                                      
6434091A,0.5                                      
6438831A,0.5                                      
6474105A,0.5                                      
6463103B,0.5                                      
6457948B,0.5                                      
6477054B,0.5                                      
6473197B,0.5                                      
6467021A,0.5                                      
6485429B,0.5                                      
6442935A,0.5                                      
6475281A,0.5                                      
UCC5630A,0.5                                      
6441955B,0.5                                      
6460075A,0.5                                      
6438834A,0.5                                      
6438717F,0.5                                      
6468875A,0.5                                      
6441547A,0.5                                      
6509599A,0.5                                      
6504852A/6487463C,0.5                             
6469171D,0.5                                      
6479665A,0.5                                      
6482431B,0.5                                      
6430442A,0.5                                      
6468722B,0.5                                      
6498085A,0.5                                      
GPC-90001/6464994A,0.5                            
6471816C,0.5                                      
6492747A,0.5                                      
6492377B,0.5                                      
6473283B,0.5                                      
6495028A,0.5                                      
6490924A,0.5                                      
6503048A,0.5                                      
PCB4173,0.5                                       
6445235A,0.5                                      
6435136A,0.5                                      
6450563A,0.5                                      
6468848A,0.5                                      
6465164A,0.5                                      
6444272A,0.5                                      
6437624A,0.5                                      
6460076A,0.5                                      
6507898A,0.5                                      
6481761A,0.5                                      
6481146C,0.5                                      
6460532A,0.5                                      
6476837A,0.5                                      
6492400A,0.5                                      
6505161A,0.5                                      
6445886A,0.5                                      
6441719A,0.5                                      
6448578A,0.5                                      
6498672A,0.5                                      
6438717D,0.5                                      
6442171A,0.5                                      
6433190A,0.5                                      
6459292A,0.5                                      
6462804A,0.5                                      

