LOT,Device,Package,Pin,CUR_QTY,Weight,LOT_name,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
4000654,XPS54386PWPR,PWP,14,8640,52500,4000654,7100,1,16.5,8.4,14.2,,11/05/09/ 10:32,
4000655,XPS54386PWPR,PWP,14,3564,52500,4000655,7100,1,16.5,8.8,14.2,,11/05/09/ 10:32,
4000656,XPS54286PWPR,PWP,14,8640,1,4000656,7100,1,0,0,0,,11/05/09/ 10:32:56,
4000657,XPS54286PWPR,PWP,14,3618,1291000,4000657,7100,1,17.5,2.3,14.2,,11/05/09/ 10:32,
4000786,XPS54350PWPR,PWP,16,6966,90300,4000786,7100,1,18.5,7.8,14.2,,11/05/09/ 10:32,
4000970,TPS65856ZQZR,ZQZ,120,4745,3000,4000970,7110,1,18.6,0.3,14.1,,11/05/09/ 10:32,
4000971,TPS65856ZQZR,ZQZ,120,4846,3000,4000971,7121,1,18.6,0.2,14.1,,11/05/09/ 10:32,
4000972,TPS65856ZQZR,ZQZ,120,5758,537100,4000972,7100,1,18.6,6.5,14.1,,11/05/09/ 10:32,
4000973,TPS65856ZQZR,ZQZ,120,5748,537100,4000973,7100,1,18.6,8.1,14.1,,11/05/09/ 10:32,
4000974,TPS65856ZQZR,ZQZ,120,5760,537100,4000974,7100,1,18.6,6.5,14.1,,11/05/09/ 10:32,
4000975,TPS65856ZQZR,ZQZ,120,381,537100,4000975,7100,1,18.6,6.1,14.1,,11/05/09/ 10:32,
4002048,XPS54550PWPR,PWP,16,6426,1880600,4002048,7100,1,13.4,1.3,13.9,,11/05/09/ 10:32,
4002222,XPA3100D2PHPR,PHP,48,8602,92100,4002222,7100,1,19.4,4.9,13.9,,11/05/09/ 10:32,
4002223,XPA3100D2PHPR,PHP,48,8637,92100,4002223,7100,1,19.4,5.4,13.9,,11/05/09/ 10:32,
4002224,XPA3100D2PHPR,PHP,48,6316,92100,4002224,7100,1,19.4,3.9,13.9,,11/05/09/ 10:32,
