RouteName,Logpoint,Operation,LPT Desc,Opn Desc,Device,Package,Pin,alternate,Setup,PPH,Machine_Family,Tooling_Family,ToolQTY,Certification
LUTT-T1,7110,1,QA Sample 1,1,1ADS1232IPW,PW,24,,ETS-1M-64:6464829C,700,ETS-1M-64,6464829C,1,1
LUTT-T1,7110,1,QA Sample 1,1,1REG103UAA/G,D,8,,ETS564-32:6459957B,2173,ETS564-32,6459957B,1,1
LUTT-T1,7110,1,QA Sample 1,1,1REG103UAA/G,D,8,alt,ETS564:6459957B,2173,ETS564,6459957B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPA2005D1DGNR,DGN,8,,ETS-0-64:6464875A,2500,ETS-0-64,6464875A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPA2005D1DGNR,DGN,8,alt,ETS-1-64:6464875A,2500,ETS-1-64,6464875A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPA2005D1DGNR,DGN,8,alt,ETS-1-128:6464875A,2500,ETS-1-128,6464875A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPA2005D1DGNR,DGN,8,alt,ETS-1M-64:6464875A,2500,ETS-1M-64,6464875A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPA2005D1DGNR,DGN,8,alt,ETS-2-64:6464875A,2500,ETS-2-64,6464875A,1,1
LUTT-T1,7100,1,Final Test 1,1,1TPS51100DGQR,DGQ,10,,ETS564-32:6455407A,2314,ETS564-32,6455407A,1,1
LUTT-T1,7100,1,Final Test 1,1,1TPS51100DGQR,DGQ,10,alt,ETS564:6455407A,2314,ETS564,6455407A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,,ETS-0-64:6492377B,4295,ETS-0-64,6492377B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,alt,ETS-1-64:6492377B,4295,ETS-1-64,6492377B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,alt,ETS-1-128:6492377B,4295,ETS-1-128,6492377B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,alt,ETS-1M-64:6492377B,4295,ETS-1M-64,6492377B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,alt,ETS-2-64:6492377B,4295,ETS-2-64,6492377B,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,,ETS564-32:6461406A,4295,ETS564-32,6461406A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS61012DGSR,DGS,10,alt,ETS564:6461406A,4295,ETS564,6461406A,1,1
PUTT-T1,7100,1,Final Test 1,1,1TPS62040DGQR,DGQ,10,,ETS-0-128:6462727B,4565,ETS-0-128,6462727B,1,1
