Id,Route_name,Logpoint,Operation,dev_id,Device,Package,Pin,Alternate,PPH,MF_id,MF_name,TF_id,TF_name,ToolQty,Certification
0,LUTT-T1,7110,1,74,1REG103UAA/G,D,8,alt,2173,1,ETS564,106,6459957B,1,1
1,PUTT-T1,7100,1,93,1TPA2005D1DGNR,DGN,8,,2500,4,ETS-0-64,43,6464875A,1,1
2,PUTT-T1,7100,1,93,1TPA2005D1DGNR,DGN,8,alt,2500,0,ETS-1-64,43,6464875A,1,1
3,PUTT-T1,7100,1,93,1TPA2005D1DGNR,DGN,8,alt,2500,2,ETS-1-128,43,6464875A,1,1
4,PUTT-T1,7100,1,93,1TPA2005D1DGNR,DGN,8,alt,2500,3,ETS-1M-64,43,6464875A,1,1
5,PUTT-T1,7100,1,93,1TPA2005D1DGNR,DGN,8,alt,2500,5,ETS-2-64,43,6464875A,1,1
6,LUTT-T1,7100,1,95,1TPS51100DGQR,DGQ,10,alt,2314,1,ETS564,107,6455407A,1,1
7,PUTT-T1,7100,1,94,1TPS61012DGSR,DGS,10,,4295,4,ETS-0-64,59,6492377B,1,1
8,PUTT-T1,7100,1,94,1TPS61012DGSR,DGS,10,alt,4295,0,ETS-1-64,59,6492377B,1,1
9,PUTT-T1,7100,1,94,1TPS61012DGSR,DGS,10,alt,4295,2,ETS-1-128,59,6492377B,1,1
10,PUTT-T1,7100,1,94,1TPS61012DGSR,DGS,10,alt,4295,3,ETS-1M-64,59,6492377B,1,1
11,PUTT-T1,7100,1,94,1TPS61012DGSR,DGS,10,alt,4295,5,ETS-2-64,59,6492377B,1,1
12,LUTT-T1,7100,1,91,1UCC27424DGNR,DGN,8,alt,4300,1,ETS564,17,6430442A,1,1
13,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,,4300,4,ETS-0-64,57,6492291A,1,1
14,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,alt,4300,0,ETS-1-64,57,6492291A,1,1
15,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,alt,4300,2,ETS-1-128,57,6492291A,1,1
16,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,alt,4300,3,ETS-1M-64,57,6492291A,1,1
17,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,alt,4300,5,ETS-2-64,57,6492291A,1,1
18,LUTT-T1,7100,1,92,1UCC37325DGNR,DGN,8,alt,4300,1,ETS564,17,6430442A,1,1
19,LTR-T2,7101,1,32,2U40057QPWPRSV,PWP,16,alt,1588,1,ETS564,112,6433489B,1,1
20,LTKY-T3,7101,1,56,2U54110QPWPRQ1,PWP,20,,3505,4,ETS-0-64,50,6473197B,1,1
21,LTKY-T3,7101,1,56,2U54110QPWPRQ1,PWP,20,alt,3505,0,ETS-1-64,50,6473197B,1,1
22,LTKY-T3,7101,1,56,2U54110QPWPRQ1,PWP,20,alt,3505,2,ETS-1-128,50,6473197B,1,1
23,LTKY-T3,7101,1,56,2U54110QPWPRQ1,PWP,20,alt,3505,3,ETS-1M-64,50,6473197B,1,1
24,LTKY-T3,7101,1,56,2U54110QPWPRQ1,PWP,20,alt,3505,5,ETS-2-64,50,6473197B,1,1
25,LTKY-T3,7102,1,56,2U54110QPWPRQ1,PWP,20,,3505,4,ETS-0-64,50,6473197B,1,1
