ling_Family,Tooling_Instance,Tooling_Family_Name,Certification
6504852A/6487463C,DE0D0033,6504852A/6487463C,1
6575845B,DE0A0066,6575845B,1
6477963D,DE0D0035,6477963D,1
6504143A,DEG19701,6504143A,1
6490924B,DE0C0049,6490924B,1
6501065B,DE0A0059,6501065B,1
6502390A,DE0D0010,6502390A,1
6469171D,DE0A0071,6469171D,1
6469171D,DE0A0072,6469171D,1
6497077C,DE0D0006,6497077C,1
6502270B,DE0A0060,6502270B,1
6469171D,DE0A0070,6469171D,1
6502270B,DE0A0058,6502270B,1
6479471B,DE0W0515,6479471B,1
6479665A,DE0W0516,6479665A,1
6479665A,DE0W0517,6479665A,1
GPC-90007/6481066,DE0W0521,GPC-90007/6481066,1
GPC-90007/6481066,DE0W0522,GPC-90007/6481066,1
6482431B,DE0W0523,6482431B,1
6482431B,DE0W0524,6482431B,1
6431640A,DE0J0006,6431640A,1
6431640A,DE0J0007,6431640A,1
6431640A,DE0J0008,6431640A,1
6434091A,DE0J0009,6434091A,1
6434091A,DE0J0010,6434091A,1
6438831A,DE0J0011,6438831A,1
6430442A,DE0J0017,6430442A,1
6430442A,DE0J0018,6430442A,1
6438651E,DE0J0019,6438651E,1
6438651E,DE0J0020,6438651E,1
6440109A,DE0J0021,6440109A,1
6462741B,DE0J0022,6462741B,1
6438831A,DE0J0024,6438831A,1
6441705A,DE0J0026,6441705A,1
UCC5638,DE0J0027,UCC5638,1
UCC5638,DE0J0028,UCC5638,1
UCC5638,DE0J0030,UCC5638,1
6450801B,DE0J0031,6450801B,1
6450801B,DE0J0032,6450801B,1
6462741B,DE0J0034,6462741B,1
6468722B,DE0A0001,6468722B,1
6468722B,DE0A0002,6468722B,1
6481761A,DE0A0003,6481761A,1
6481761A,DE0A0004,6481761A,1
6473198B,DE0A0007,6473198B,1
6473198B,DE0A0008,6473198B,1
6473283C,DE0A0009,6473283C,1
6473283C,DE0A0010,6473283C,1
6463320B,DE0A0014,6463320B,1
6474105A,DE0A0015,6474105A,1
6474105A,DE0A0016,6474105A,1
6473379A,DE0A0017,6473379A,1
6473379A,DE0A0018,6473379A,1
6463103B,DE0A0020,6463103B,1
6498085A,DE0A0023,6498085A,1
GPC-90001/6464994A,DE0A0024,GPC-90001/6464994A,1
GPC-90001/6464994A,DE0A0025,GPC-90001/6464994A,1
GPC-90001/6464994A,DE0A0026,GPC-90001/6464994A,1
6462092A,DE0A0029,6462092A,1
6463221A,DE0A0030,6463221A,1
6457948B,DE0A0032,6457948B,1
6457948B,DE0A0033,6457948B,1
6466496A,DE0A0035,6466496A,1
6471816C,DE0A0039,6471816C,1
