actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,02,ETS-1-64,6505771B,,3X3,NULL,NULL,NULL,TPS2556DRBR-G2,09/22/2015 08:30:55
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2556DRBR-G2,09/22/2015 10:56:05
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2556DRBR-G2,09/22/2015 13:20:18
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2557DRBR3-R,09/23/2015 00:24:34
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2557DRBR3-R,09/23/2015 11:28:44
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2557DRBR3-R,09/23/2015 22:32:22
,02,ETS-1-64,6505771B,setup change,3X3,NULL,NULL,NULL,TPS2557DRBR3-R,09/24/2015 04:03:10
,03,ETS-0-64,6489159B,,3X3,NULL,NULL,NULL,PS73701DRBT1-B,09/22/2015 13:24:56
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,PS73701DRBT1-B,09/23/2015 00:27:54
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/23/2015 04:29:55
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/23/2015 07:13:10
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/23/2015 12:03:41
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/23/2015 16:33:23
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/23/2015 20:24:46
,03,ETS-0-64,6489159B,setup change,3X3,NULL,NULL,NULL,TPS73701DRBR-B,09/24/2015 01:14:41
,03,ETS-0-64,6462654A,setup change,3X3,NULL,NULL,NULL,A6204A1DRBR-UC,09/24/2015 02:38:25
,04,ETS-1-64,6484140A,,3X3,NULL,NULL,NULL,Q24072TRGTR-G2,09/22/2015 12:50:54
,04,ETS-1-64,6484140A,setup change,3X3,NULL,NULL,NULL,Q24072TRGTR-G2,09/22/2015 16:53:09
,04,ETS-1-64,6484140A,setup change,3X3,NULL,NULL,NULL,Q24072TRGTR-G2,09/22/2015 20:42:51
,04,ETS-1-64,6484140A,setup change,3X3,NULL,NULL,NULL,Q24075RGTR-G2Y,09/23/2015 03:29:18
,04,ETS-1-64,6484140A,setup change,3X3,NULL,NULL,NULL,Q24075RGTR-G2Y,09/23/2015 10:12:35
