DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
2512701-0001X,VLCT-X1,VLCT-X1,,,,,679
ADS1120IRVAR,EAGLE,EAGLE,,,,,996
ADS1148IRHBR,EAGLE,EAGLE,,,,,250
ADS1148IRHBT,EAGLE,EAGLE,,,,,250
ADS1191IRSMR,EAGLE,EAGLE,,,,,688
ADS1191IRSMT,EAGLE,EAGLE,,,,,688
ADS1192IRSMR,EAGLE,EAGLE,,,,,647
ADS1192IRSMT,EAGLE,EAGLE,,,,,647
ADS1220IRVAR,EAGLE,EAGLE,,,,,713
ADS1220IRVAT,EAGLE,EAGLE,,,,,713
ADS1248IRHBT,EAGLE,EAGLE,,,,,1250
ADS1283IRHFR,EAGLE,EAGLE,,,,,386
ADS1283IRHFT,EAGLE,EAGLE,,,,,386
ADS1291IRSMR,EAGLE,EAGLE,,,,,637
ADS1291IRSMT,EAGLE,EAGLE,,,,,637
ADS1292IRSMR,EAGLE,EAGLE,,,,,605
ADS1292IRSMT,EAGLE,EAGLE,,,,,605
ADS1292RIRSMR,EAGLE,EAGLE,,,,,619
ADS1292RIRSMT,EAGLE,EAGLE,,,,,619
ADS8028IRTJR,FUSION MX,FUSION MX,,,,,554
ADS8028IRTJR,FUSION MX,FUSION MX,,,,,4165
ADS8028IRTJT,FUSION MX,FUSION MX,,,,,554
ADS8028IRTJT,FUSION MX,FUSION MX,,,,,4165
ADS8528SRGCR,FUSION MX,FUSION MX,,,,,250
ADS8528SRGCT,FUSION MX,FUSION MX,,,,,250
ADS8548SRGCR,FUSION MX,FUSION MX,,,,,218
ADS8548SRGCT,FUSION MX,FUSION MX,,,,,218
ADS8568SRGCR,FUSION MX,FUSION MX,,,,,157
ADS8568SRGCT,FUSION MX,FUSION MX,,,,,157
ADS8634SRGER,FUSION MX,FUSION MX,,,,,819
ADS8634SRGET,FUSION MX,FUSION MX,,,,,819
ADS8638SRGER,FUSION MX,FUSION MX,,,,,532
ADS8638SRGET,FUSION MX,FUSION MX,,,,,532
AFE030AIRGZR,EAGLE,EAGLE,,,,,2203
AFE030AIRGZT,EAGLE,EAGLE,,,,,2203
AFE031AIRGZR,EAGLE,EAGLE,,,,,2205
AFE031AIRGZT,EAGLE,EAGLE,,,,,2205
AFE032IRGZR,EAGLE,EAGLE,,,,,1499
AFE032IRGZT,EAGLE,EAGLE,,,,,1499
AFE4400RHAR,VLCT-X1,VLCT-X1,,,,,196
AFE4400RHAT,VLCT-X1,VLCT-X1,,,,,196
AFE4490RHAR,VLCT-X1,VLCT-X1,,,,,187
AFE4490RHAT,VLCT-X1,VLCT-X1,,,,,187
AMC7812BSRGCR,EAGLE,EAGLE,,,,,165
AMC7812BSRGCT,EAGLE,EAGLE,,,,,165
AMC7812SRGCR,EAGLE,EAGLE,,,,,160
AMC7812SRGCT,EAGLE,EAGLE,,,,,160
AMC7891SRHHR,EAGLE,EAGLE,,,,,179
AMC7891SRHHT,EAGLE,EAGLE,,,,,179
ATT5501TRHHR,VLCT-X1,VLCT-X1,,,,,1318
BQ24040DSQR,EAGLE,EAGLE,,,,,4053
BQ24072RGTR,EAGLE,EAGLE,,,,,3945
BQ24072RGTT,EAGLE,EAGLE,,,,,3945
BQ24072TRGTR,EAGLE,EAGLE,,,,,3849
BQ24073RGTR,EAGLE,EAGLE,,,,,3737
BQ24073RGTT,EAGLE,EAGLE,,,,,3737
