ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,,ETM-2-64:6579381A,1250,ETM-2-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETM-4-64:6579381A,1250,ETM-4-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETM-5-128:6579381A,1250,ETM-5-128,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2-64:6579381A,1250,ETS-2-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2M-64:6579381A,1250,ETS-2M-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2-128:6579381A,1250,ETS-2-128,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2QM-64:6579381A,1250,ETS-2QM-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,050PRMWR-G2QN&,RMWFCST300,12,alt,ETS-4M-128:6579381A,1250,ETS-4M-128,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,,ETM-2-64:6579381A,1250,ETM-2-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETM-4-64:6579381A,1250,ETM-4-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETM-5-128:6579381A,1250,ETM-5-128,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2-64:6579381A,1250,ETS-2-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2M-64:6579381A,1250,ETS-2M-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2-128:6579381A,1250,ETS-2-128,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETS-2QM-64:6579381A,1250,ETS-2QM-64,6579381A,1,1
QFN5YFFCHP,4410,1,FT1,,051PRMWR-G2QN&,RMWFCST300,12,alt,ETS-4M-128:6579381A,1250,ETS-4M-128,6579381A,1,1
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,,ETS-0-64:6525600B,2193,ETS-0-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-1-64:6525600B,2193,ETS-1-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2-64:6525600B,2193,ETS-2-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2M-64:6525600B,2193,ETS-2M-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2-128:6525600B,2193,ETS-2-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-4M-128:6525600B,2193,ETS-4M-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-S-64:6525600B,2193,ETS-S-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2QM-64:6525600B,2193,ETS-2QM-64,6525600B,1,2
QFN7MNT,4410,1,FT1,,1212DSCR2-G2YK,DSC300ST,10,,ETS-2-128:6530035A,8448,ETS-2-128,6530035A,1,1
QFN7,4410,1,FT1,,1220ARSNR1-G2K,RSN300,32,,ETS-2-64:6498316A,1319,ETS-2-64,6498316A,1,1
QFN7,4410,1,FT1,,1220ARSNR1-G2K,RSN300,32,alt,ETS-2QM-64:6498316A,1319,ETS-2QM-64,6498316A,1,1
QFN7,4410,1,FT1,,1220ARSNR1-G2K,RSN300,32,alt,ETS-2M-64:6498316A,1319,ETS-2M-64,6498316A,1,1
QFN7,4410,1,FT1,,1220ARSNR1-G2K,RSN300,32,alt,ETS-2-128:6498316A,1319,ETS-2-128,6498316A,1,1
QFN7,4410,1,FT1,,1220ARSNR1-G2K,RSN300,32,alt,ETS-4M-128:6498316A,1319,ETS-4M-128,6498316A,1,1
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,,ETS-2-64:6555639A,1806,ETS-2-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-2QM-64:6555639A,1806,ETS-2QM-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-2M-64:6555639A,1806,ETS-2M-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-2-128:6555639A,1806,ETS-2-128,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-4M-128:6555639A,1806,ETS-4M-128,6555639A,1,2
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,,ETS-2-64:6553054A,6758,ETS-2-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-2QM-64:6553054A,6758,ETS-2QM-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-2M-64:6553054A,6758,ETS-2M-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-2-128:6553054A,6758,ETS-2-128,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-4M-128:6553054A,6758,ETS-4M-128,6553054A,1,1
QFN8NOQCLA,4410,1,FT1,,1401043RVER-LN,RVECLIP,28,,ETS-2-64:6543758C,3211,ETS-2-64,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,1401043RVER-LN,RVECLIP,28,alt,ETS-2QM-64:6543758C,3211,ETS-2QM-64,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,1401043RVER-LN,RVECLIP,28,alt,ETS-2M-64:6543758C,3211,ETS-2M-64,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,1401043RVER-LN,RVECLIP,28,alt,ETS-2-128:6543758C,3211,ETS-2-128,6543758C,1,1
QFN8NOQCLA,4410,1,FT1,,1401043RVER-LN,RVECLIP,28,alt,ETS-4M-128:6543758C,3211,ETS-4M-128,6543758C,1,1
QFN7MNT,4410,1,FT1,,1605DPJT-G2QR&,DPJST300,8,,ETS-2-64:6548880A,1250,ETS-2-64,6548880A,1,1
QFN7MNT,4410,1,FT1,,1605DPJT-G2QR&,DPJST300,8,alt,ETS-2QM-64:6548880A,1250,ETS-2QM-64,6548880A,1,1
QFN7MNT,4410,1,FT1,,1605DPJT-G2QR&,DPJST300,8,alt,ETS-2M-64:6548880A,1250,ETS-2M-64,6548880A,1,1
QFN7MNT,4410,1,FT1,,1605DPJT-G2QR&,DPJST300,8,alt,ETS-2-128:6548880A,1250,ETS-2-128,6548880A,1,1
QFN7MNT,4410,1,FT1,,1605DPJT-G2QR&,DPJST300,8,alt,ETS-4M-128:6548880A,1250,ETS-4M-128,6548880A,1,1
QFN25,4410,1,FT1,,1640ARSLR1-G2K,RSL300,48,,ETS-2-64:6517701E,1246,ETS-2-64,6517701E,1,1
QFN25,4410,1,FT1,,1640ARSLR1-G2K,RSL300,48,alt,ETS-2QM-64:6517701E,1246,ETS-2QM-64,6517701E,1,1
QFN25,4410,1,FT1,,1640ARSLR1-G2K,RSL300,48,alt,ETS-2M-64:6517701E,1246,ETS-2M-64,6517701E,1,1
QFN25,4410,1,FT1,,1640ARSLR1-G2K,RSL300,48,alt,ETS-2-128:6517701E,1246,ETS-2-128,6517701E,1,1
QFN25,4410,1,FT1,,1640ARSLR1-G2K,RSL300,48,alt,ETS-4M-128:6517701E,1246,ETS-4M-128,6517701E,1,1
QFN25DBAKE,4410,1,FT1,,202027CRSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN25DBAKE,4410,1,FT1,,202027KRSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN25DBAKE,4410,1,FT1,,202027LRSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,RHA300,40,,ETS-2-64:6518648B,1054,ETS-2-64,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,RHA300,40,alt,ETS-2QM-64:6518648B,1054,ETS-2QM-64,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,RHA300,40,alt,ETS-2M-64:6518648B,1054,ETS-2M-64,6518648B,1,1
QFN7DBAKE,4410,1,FT1,,204036RHAR1-G2,RHA300,40,alt,ETS-2-128:6518648B,1054,ETS-2-128,6518648B,1,1
