ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,,ETS-2-64:6543758C,5211,ETS-2-64,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-2-128:6543758C,5211,ETS-2-128,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-2M-64:6543758C,5211,ETS-2M-64,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-2M-128:6543758C,5211,ETS-2M-128,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-2QM-64:6543758C,5211,ETS-2QM-64,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-2QM-128:6543758C,5211,ETS-2QM-128,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-4-64:6543758C,5211,ETS-4-64,6543758C,1,1
QFN36CLPD1,4410,1,FT1,,02065RVER1-LN#,RVECLIP,28,alt,ETS-SM-64:6543758C,5211,ETS-SM-64,6543758C,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,,ETS-2-64:6527607B,3477,ETS-2-64,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,,ETS-2-64:6527607B,3477,ETS-2-64,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,alt,ETS-2-128:6527607B,3477,ETS-2-128,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,alt,ETS-2-128:6527607B,3477,ETS-2-128,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,alt,ETS-2M-64:6527607B,3477,ETS-2M-64,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,alt,ETS-2M-64:6527607B,3477,ETS-2M-64,6527607B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,RGT300,16,alt,ETS-2M-128:6527607B,3477,ETS-2M-128,6527607B,1,1
