TOOLING_FAMILY,SETUP_TIME
6457090B,2.5
6457212A,2.5
6460534B,2.5
6461377C,2.5
6462365C,2.5
6462654A,2.5
6463634E,2.5
6467193D,2.5
6467722A,2.5
6468723B,2.5
6469014A,2.5
6470284A,2.5
6471369E,2.5
6471834C,2.5
6471907A,2.5
6472365B,2.5
6473092A,2.5
6473092B,2.5
6474104A,2.5
6474275A,2.5
6476723H,2.5
6476723J,2.5
6477171B,2.5
6477295A,2.5
6477301A,2.5
6477473C,2.5
6478192B,2.5
6478393B,2.5
6478663D,2.5
6478663E,2.5
6479465A,2.5
6479550B,2.5
6479677A,2.5
6480208A,2.5
6480208B,2.5
6481271A,2.5
6481275B,2.5
6481281D,2.5
6481533C,2.5
6481759C,2.5
6481937B,2.5
6483077B,2.5
6483270B,2.5
6483951C,2.5
6484062B,2.5
6484140A,2.5
6484527A,2.5
6484801B,2.5
6484809C,2.5
6484965B,2.5
6485209A,2.5
6486103B,2.5
6486108C,2.5
6486142B,2.5
6487839B,2.5
6487925B,2.5
6488445B,2.5
6489159B,2.5
6489448B,2.5
6489844B,2.5
6489852A,2.5
6489924A,2.5
6490281B,2.5
6490697A,2.5
6490996A,2.5
6490997A,2.5
6491333A,2.5
6491839B,2.5
6492142D,2.5
6492420C,2.5
6493388A,2.5
6493741A,2.5
6493742A,2.5
6494457A,2.5
6494476A,2.5
6494649B,2.5
6494708A,2.5
6494789A,2.5
6495717A,2.5
6496545A,2.5
6496992A,2.5
6497119C,2.5
6497193A,2.5
6498316A,2.5
6499098B,2.5
6499432B,2.5
6499805A,2.5
6499941A,2.5
6500265B,2.5
6500443A,2.5
6501153B,2.5
6501607B,2.5
6501996B,2.5
6503016A,2.5
6503018A,2.5
6503050A,2.5
6504079A,2.5
6504342B,2.5
6505391C,2.5
6505620C,2.5
6505623B,2.5
6505702A,2.5
6505771B,2.5
6506362A,2.5
6506365A,2.5
6506370A,2.5
6506727A,2.5
6506939A,2.5
6506957B,2.5
6507169A,2.5
6507988A,2.5
6508014B,2.5
6508455A,2.5
6508600B,2.5
6509477B,2.5
6509642B,2.5
6509642C,2.5
6509649B,2.5
6509808B,2.5
6510064A,2.5
6510147A,2.5
6510240A,2.5
6510459B,2.5
6510609C,2.5
6510609D,2.5
6510697B,2.5
6511094C,2.5
6511607A,2.5
6511837A,2.5
6511837B,2.5
6512302B,2.5
6512469B,2.5
6512615B,2.5
6512615C,2.5
6512615D,2.5
6513476A,2.5
6513476C,2.5
6513884B,2.5
6513990A,2.5
6513992A,2.5
6513992B,2.5
6514494A,2.5
6514494B,2.5
6514558A,2.5
6514558B,2.5
6514600A,2.5
6514765A,2.5
6515389A,2.5
6515499B,2.5
6515575A,2.5
6515577B,2.5
6515677C,2.5
6515889A,2.5
6515892B,2.5
6516100C,2.5
6516230D,2.5
6516231C,2.5
6516394A,2.5
6516450A,2.5
6516809B,2.5
6516829B,2.5
6517566B,2.5
6517701E,2.5
6517878B,2.5
6517950A,2.5
6518233A,2.5
6518282B,2.5
6518361A,2.5
6518361C,2.5
6518499A,2.5
6518552B,2.5
6518648A,2.5
6518648B,2.5
6518677A,2.5
6518742A,2.5
6519118A,2.5
6519267C,2.5
6519424A,2.5
6519999A,2.5
6520265B,2.5
6520481A,2.5
6520958B,2.5
6520959B,2.5
6521279A,2.5
6521534A,2.5
6521765A,2.5
6522072A,2.5
6522167B,2.5
6522167C,2.5
6522212B,2.5
6522212C,2.5
6522503A,2.5
6522536A,2.5
6522667A,2.5
6522719C,2.5
6522719D,2.5
6522781B,2.5
6522803A,2.5
6523177B,2.5
6523177D,2.5
6523243A,2.5
6523304A,2.5
6523306A,2.5
