LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5456091,225CRUKR4-G2YK,RUKST300     ,20 ,      6910,     47.82,5456091,4410,1,         15.8,      12.87,     45.44,                   ,06/30/2015 06:06:11,
5582508,25940LRVCR1-G2,RVC300ST     ,20 ,     13778,     11.78,5582508,4410,1,         16.1,      12.91,      9.13,                   ,06/30/2015 06:06:11,
5586427,53219ARGTR-G2K,RGT300       ,16 ,     13784,      8.37,5586427,4410,1,        14.76,      13.74,      7.89,                   ,06/30/2015 06:06:11,
5584508,94522DRVR1-G2K,DRVST300     ,6  ,     12346,     11.11,5584508,4410,1,        16.06,      12.87,      8.47,                   ,06/30/2015 06:06:11,
5584500,94522DRVR1-G2K,DRVST300     ,6  ,     24751,     11.11,5584500,4410,1,        16.06,      12.87,      8.47,                   ,06/30/2015 06:06:11,
5589335,A2314AIDRBR-CK,DRB          ,8  ,     13711,      7.59,5589335,4410,1,        14.74,      13.74,      7.14,                   ,06/30/2015 06:06:11,
5589338,A2314AIDRBR-CK,DRB          ,8  ,     13768,      7.59,5589338,4410,1,        14.74,      13.74,      7.14,                   ,06/30/2015 06:06:11,
5594334,BQ24196RGER-RY,RGELLF       ,24 ,      4994,      6.19,5594334,4410,1,        15.66,      14.64,      5.72,                   ,06/30/2015 06:06:11,
5587162,BQ24297RGER-G2,RGE300       ,24 ,     10074,      8.23,5587162,4410,1,        14.73,      13.71,      7.75,                   ,06/30/2015 06:06:11,
5515290,BQ25890RTWR-G2,RTWST300     ,24 ,     10078,     30.52,5515290,4410,1,        15.86,      12.91,     28.11,                   ,06/30/2015 06:06:11,
5562390,CSD59963Q5M-LN,DQPCLIP      ,12 ,      3430,     16.19,5562390,4410,1,        20.91,      18.92,     14.74,                   ,06/30/2015 06:06:11,
5524823,CSD87381P1-NS2,MPCMCMST     ,5  ,     11107,     26.46,5524823,4410,1,        15.51,      13.96,     25.45,                   ,06/30/2015 06:06:11,
5577187,D3211A1RGPR-G2,RGPST300     ,20 ,     10057,     13.26,5577187,4410,1,         16.1,      12.91,     10.62,                   ,06/30/2015 06:06:11,
5537373,D97374Q4M-LNKE,DPC          ,8  ,      6726,         1,5537373,4410,1,         18.1,      16.02,      21.8,                   ,06/30/2015 06:06:11,
5559703,D97376Q4M-LNKE,DPC          ,8  ,      6063,         1,5559703,4410,1,         18.1,      16.02,     22.83,                   ,06/30/2015 06:06:11,
5534123,D97376Q4M-LNKE,DPC          ,8  ,      7736,         1,5534123,4410,1,         18.1,      16.02,     22.83,                   ,06/30/2015 06:06:11,
5571856,PS51125RGER-BY,RGELLF       ,24 ,     10013,     13.18,5571856,4410,1,        15.74,      14.12,     12.11,                   ,06/30/2015 06:06:11,
5574789,PS51125RGER-BY,RGELLF       ,24 ,      9986,      12.4,5574789,4410,1,        15.74,      14.12,     11.33,                   ,06/30/2015 06:06:11,
5551728,PS51206DSQR-RK,DSQST        ,10 ,     24777,     20.46,5551728,4410,1,        16.09,      12.91,     17.83,                   ,06/30/2015 06:06:11,
5537566,PS51206DSQR-RK,DSQST        ,10 ,     17327,      24.2,5537566,4410,1,        15.86,      12.91,     21.79,                   ,06/30/2015 06:06:11,
5520394,PS61232DRCR1-L,DRC          ,10 ,      7946,      27.6,5520394,4410,1,         14.8,      13.37,     26.72,                   ,06/30/2015 06:06:11,
5571902,PS65051RSMR1-R,RSM          ,32 ,     10006,     12.69,5571902,4410,1,         14.5,      13.37,     12.11,                   ,06/30/2015 06:06:11,
5566291,S54335ADRCR-G2,DRC          ,10 ,     13796,     14.18,5566291,4410,1,        14.73,      13.71,      13.7,                   ,06/30/2015 06:06:11,
5577921,S65177RHAR1-G2,RHA300       ,40 ,      4606,     11.83,5577921,4410,1,        15.18,      13.27,     10.47,                   ,06/30/2015 06:06:11,
5577922,S65177RHAR1-G2,RHA300       ,40 ,      5144,     11.83,5577922,4410,1,        15.18,      13.27,     10.47,                   ,06/30/2015 06:06:11,
5587218,TPS2500DRCR-G2,DRC          ,10 ,     13798,      8.23,5587218,4410,1,        14.73,      13.71,      7.75,                   ,06/30/2015 06:06:11,
5581471,TPS2557DRBR2-R,DRBST        ,8  ,      9081,     12.09,5581471,4410,1,        15.89,      12.68,      9.43,                   ,06/30/2015 06:06:11,
5583810,TPS54320RHLR-L,RHL          ,14 ,     14967,      9.32,5583810,4410,1,         14.5,      13.37,      8.74,                   ,06/30/2015 06:06:11,
5589363,V62130ARGTR-LY,RGTLLF       ,16 ,     16614,      7.61,5589363,4410,1,        15.63,      14.61,      7.14,                   ,06/30/2015 06:06:11,
5578978,25940LRVCR1-G2,RVC300ST     ,20 ,     13794,     12.81,5578978,4410,1,         16.1,      12.91,     10.17,                   ,06/30/2015 06:06:11,
5559667,3314RGFR-G2S2Y,RGFMCM300    ,40 ,      3676,     11.99,5559667,4410,1,        25.31,      28.26,     15.49,                   ,06/30/2015 06:06:11,
5585885,BQ24196RGER-RY,RGELLF       ,24 ,     10007,      8.88,5585885,4410,1,        15.94,      14.64,      8.13,                   ,06/30/2015 06:06:11,
5567941,BQ24297RGER-G2,RGE300       ,24 ,     10061,     13.61,5567941,4410,1,        14.73,      13.71,     13.14,                   ,06/30/2015 06:06:11,
5568027,D3211A1RGPR-G2,RGPST300     ,20 ,     10068,     15.78,5568027,4410,1,         16.1,      12.91,     13.14,                   ,06/30/2015 06:06:11,
5565571,D97376Q4M-LNKE,DPC          ,8  ,      7732,     15.29,5565571,4410,1,        18.07,      16.02,     13.78,                   ,06/30/2015 06:06:11,
5547553,MC7812SRGCR-CK,RGC          ,64 ,      2396,      20.6,5547553,4410,1,        15.34,      13.27,     19.08,                   ,06/30/2015 06:06:11,
5558610,PS2560DRCR1-G2,DRCST300     ,10 ,      6846,     18.42,5558610,4410,1,        16.03,      12.87,      15.8,                   ,06/30/2015 06:06:11,
5551724,PS51206DSQR-RK,DSQST        ,10 ,     24795,     20.46,5551724,4410,1,        16.09,      12.91,     17.83,                   ,06/30/2015 06:06:11,
5585381,PS53819RGTR-RK,RGTST        ,16 ,      8720,     10.86,5585381,4410,1,         16.1,      12.91,      8.22,                   ,06/30/2015 06:06:11,
5580175,PS54821RHLR2-R,RHL          ,14 ,     15066,     10.24,5580175,4410,1,        14.79,      13.77,      9.77,                   ,06/30/2015 06:06:11,
5598695,PS70933DRVR-RK,DRVST        ,6  ,     24787,      6.56,5598695,4410,1,        15.54,      12.91,      4.48,                   ,06/30/2015 06:06:11,
5579341,Q24250RGER-G2Y,RGE300LLF    ,24 ,      9843,     10.78,5579341,4410,1,        15.86,      14.55,     10.01,                   ,06/30/2015 06:06:11,
5583292,S51367RVER-LNY,RVECLIP      ,28 ,      7766,     10.29,5583292,4410,1,        20.95,      18.92,      8.81,                   ,06/30/2015 06:06:11,
5549735,S65177RHAR1-G2,RHA300       ,40 ,      4939,     19.98,5549735,4410,1,        15.34,      13.27,     18.45,                   ,06/30/2015 06:06:11,
5584440,TPS54320RHLR-L,RHL          ,14 ,     15090,      9.05,5584440,4410,1,         14.5,      13.37,      8.47,                   ,06/30/2015 06:06:11,
5574337,TPS54541DPRR-C,DPR          ,10 ,     10052,     11.94,5574337,4410,1,        14.79,      13.77,     11.47,                   ,06/30/2015 06:06:11,
5540610,3L500AERHUR-RK,RHUVTT       ,56 ,      3496,     23.65,5540610,4410,1,        21.05,      17.92,     21.07,                   ,06/30/2015 06:06:11,
5590836,51427ARHBR-G2K,RHB300       ,32 ,      7909,       7.2,5590836,4410,1,        14.77,      13.77,      6.74,                   ,06/30/2015 06:06:11,
5555030,53640ARSBR-G2K,RSB300       ,40 ,      7907,     17.44,5555030,4410,1,        14.87,      13.71,     16.83,                   ,06/30/2015 06:06:11,
5600416,5633ARTER-UNG2,RTE300UTT    ,16 ,     20970,      4.85,5600416,4410,1,         5.51,        4.1,      3.99,                   ,06/30/2015 06:06:11,
5574963,5895MRTWT-G2R&,RTWST300     ,24 ,      8048,     13.91,5574963,4410,1,         16.1,      12.91,     11.27,                   ,06/30/2015 06:06:11,
5595568,7A8300RGWR-G2K,RGW300       ,20 ,      7912,      5.86,5595568,4410,1,        14.71,      13.71,      5.41,                   ,06/30/2015 06:06:11,
5539085,BQ25890RTWR-G2,RTWST300     ,24 ,     10067,     24.09,5539085,4410,1,        16.09,      12.91,     21.45,                   ,06/30/2015 06:06:11,
5570543,BQ25892RTWR-G2,RTWST300     ,24 ,     10070,     15.14,5570543,4410,1,         16.1,      12.91,     12.49,                   ,06/30/2015 06:06:11,
5570548,BQ25892RTWR-G2,RTWST300     ,24 ,      5038,     15.14,5570548,4410,1,         16.1,      12.91,     12.49,                   ,06/30/2015 06:06:11,
5471841,BQ29700DSER-G2,DSEST300     ,6  ,     35073,      42.8,5471841,4410,1,        16.12,       13.5,     40.72,                   ,06/30/2015 06:06:11,
5502511,CSD59963Q5M-LN,DQPCLIP      ,12 ,      3328,     32.52,5502511,4410,1,        20.18,      18.92,      31.8,                   ,06/30/2015 06:06:11,
5581987,CSD97370Q5M-N ,DQPCLIP      ,22 ,      5958,     10.75,5581987,4410,1,        20.95,      18.92,      9.27,                   ,06/30/2015 06:06:11,
5570618,D3211A1RGPR-G2,RGPST300     ,20 ,     10061,     15.13,5570618,4410,1,         16.1,      12.91,     12.49,                   ,06/30/2015 06:06:11,
5580662,D3211A1RGPR-G2,RGPST300     ,20 ,     10065,     12.27,5580662,4410,1,         16.1,      12.91,      9.63,                   ,06/30/2015 06:06:11,
5603215,D95378BQ5MC-UL,DMCCLIP      ,12 ,      5728,       3.7,5603215,4420,1,         7.06,       5.97,      3.15,                   ,06/30/2015 06:06:11,
5559587,D97376Q4M-LNKE,DPC          ,8  ,      7761,     16.93,5559587,4410,1,        18.01,      16.02,     15.49,                   ,06/30/2015 06:06:11,
5562245,D97376Q4M-LNKE,DPC          ,8  ,      7784,     16.19,5562245,4410,1,        18.01,      16.02,     14.75,                   ,06/30/2015 06:06:11,
5550018,D97376Q4M-LNKE,DPC          ,8  ,      7524,         1,5550018,4410,1,        18.01,      16.02,     18.39,                   ,06/30/2015 06:06:11,
5566287,PS24720RGTR-CK,RGT          ,16 ,     10557,     14.18,5566287,4410,1,        14.76,      13.74,      13.7,                   ,06/30/2015 06:06:11,
5577091,PS2561DRCR1-RY,DRCST        ,10 ,     13820,     13.29,5577091,4410,1,        15.89,      12.68,     10.62,                   ,06/30/2015 06:06:11,
5596881,PS40040DRBRB-B,DRB          ,8  ,      6892,      9.57,5596881,4410,1,        14.46,       9.37,      5.03,                   ,06/30/2015 06:06:11,
5556462,PS51206DSQR-RK,DSQST        ,10 ,     24825,         1,5556462,4410,1,        16.09,      12.91,     16.47,06/29/2015 01:33:40,06/30/2015 06:06:11,CLFTEA47
5475233,PS54326RGTR-LY,RGTLLF       ,16 ,     15695,         1,5475233,4410,1,        16.18,      14.12,     39.78,                   ,06/30/2015 06:06:11,
5582987,PS65023RSBR1-R,RSB          ,40 ,      7911,       9.4,5582987,4410,1,        14.79,      13.77,      8.92,                   ,06/30/2015 06:06:11,
5574275,PS7A7200RGTR-L,RGTST        ,16 ,     13822,     14.12,5574275,4410,1,         16.1,      12.91,     11.47,                   ,06/30/2015 06:06:11,
5574273,PS7A7200RGTR-L,RGTST        ,16 ,     13820,     14.12,5574273,4410,1,         16.1,      12.91,     11.47,                   ,06/30/2015 06:06:11,
5595132,Q24296MRGER-G2,RGE300       ,24 ,     10026,      5.94,5595132,4410,1,        14.71,      13.71,      5.48,                   ,06/30/2015 06:06:11,
5587409,Q24296MRGER-G2,RGE300       ,24 ,     10070,      8.16,5587409,4410,1,        14.73,      13.71,      7.69,                   ,06/30/2015 06:06:11,
5566064,S62134ARGTR1-L,RGT          ,16 ,      8790,     14.18,5566064,4410,1,        14.76,      13.74,     13.71,                   ,06/30/2015 06:06:11,
5556534,THS6187IRTJR-B,RTJ          ,20 ,     10060,      17.1,5556534,4410,1,        14.94,      13.77,     16.47,                   ,06/30/2015 06:06:11,
5575366,TPS54320RHLR-L,RHL          ,14 ,     10384,     11.74,5575366,4410,1,         14.5,      13.37,     11.16,                   ,06/30/2015 06:06:11,
5563394,TPS74701DRCR-B,DRCST        ,10 ,      6907,     17.14,5563394,4410,1,        15.89,      12.68,     14.47,                   ,06/30/2015 06:06:11,
5590779,V62130ARGTR-LY,RGTLLF       ,16 ,     15534,      7.22,5590779,4410,1,        15.63,      14.61,      6.75,                   ,06/30/2015 06:06:11,
5581377,1306051RHRR-G2,RHR300       ,28 ,      6474,       9.9,5581377,4410,1,        14.73,      13.71,      9.43,                   ,06/30/2015 06:06:11,
5536331,202027KRSLR-G2,RSL300       ,48 ,      5171,     23.81,5536331,4410,1,        15.41,      13.21,     22.15,                   ,06/30/2015 06:06:11,
5575412,2592BADRCR-G2K,DRC          ,10 ,     13813,     11.61,5575412,4410,1,        14.73,      13.71,     11.13,                   ,06/30/2015 06:06:11,
5560508,406035RGER-G2Y,RGE300LLF    ,24 ,     10011,      16.2,5560508,4410,1,        16.09,      14.58,     15.24,                   ,06/30/2015 06:06:11,
5584561,652831RGER-G2Y,RGE300LLF    ,24 ,      9971,      9.23,5584561,4410,1,        15.89,      14.58,      8.47,                   ,06/30/2015 06:06:11,
5592954,A2006D1DRBR-RK,DRB          ,8  ,      6875,      6.57,5592954,4410,1,        14.77,      13.77,      6.11,                   ,06/30/2015 06:06:11,
5589341,A2314AIDRBR-CK,DRB          ,8  ,     13757,      7.59,5589341,4410,1,        14.74,      13.74,      7.14,                   ,06/30/2015 06:06:11,
5594332,BQ24196RGER-RY,RGELLF       ,24 ,      9923,      6.19,5594332,4410,1,        15.66,      14.64,      5.72,                   ,06/30/2015 06:06:11,
5563004,D3211A1RGPR-G2,RGPST300     ,20 ,     10069,     17.21,5563004,4410,1,        16.09,      12.91,     14.57,                   ,06/30/2015 06:06:11,
5587232,D3211A1RGPR-G2,RGPST300     ,20 ,     10070,      10.4,5587232,4410,1,         16.1,      12.91,      7.75,                   ,06/30/2015 06:06:11,
5584593,D97374Q4M-LNKE,DPC          ,8  ,      7673,     16.23,5584593,4410,1,        18.01,      16.02,     14.78,                   ,06/30/2015 06:06:11,
5571487,D97376Q4M-LNKE,DPC          ,8  ,      7506,     19.84,5571487,4410,1,        18.01,      16.02,     18.39,                   ,06/30/2015 06:06:11,
5557611,MC7812SRGCR-CK,RGC          ,64 ,      2386,     17.68,5557611,4410,1,        15.34,      13.27,     16.16,                   ,06/30/2015 06:06:11,
5571855,PS51125RGER-BY,RGELLF       ,24 ,     10016,     13.18,5571855,4410,1,        15.74,      14.12,     12.11,                   ,06/30/2015 06:06:11,
5590448,PS51604DSGR-G2,DSGST        ,8  ,     24793,      8.89,5590448,4410,1,         15.5,      12.87,      6.81,                   ,06/30/2015 06:06:11,
5583433,PS53317RGBR-G2,RGB300       ,20 ,      5205,      9.28,5583433,4410,1,        14.79,      13.77,      8.81,                   ,06/30/2015 06:06:11,
5583431,PS53317RGBR-G2,RGB300       ,20 ,      7114,      9.28,5583431,4410,1,        14.79,      13.77,      8.81,                   ,06/30/2015 06:06:11,
5585378,PS53819RGTR-RK,RGTST        ,16 ,     13807,     10.86,5585378,4410,1,         16.1,      12.91,      8.22,                   ,06/30/2015 06:06:11,
5555503,PS61232DRCR1-L,DRC          ,10 ,      6897,     17.48,5555503,4410,1,        14.67,      13.37,     16.73,                   ,06/30/2015 06:06:11,
5577942,PS65051RSMR1-R,RSM          ,32 ,      7502,     11.05,5577942,4410,1,         14.5,      13.37,     10.46,                   ,06/30/2015 06:06:11,
5577318,PS65168RSBR1-R,RSB          ,40 ,      7882,     11.09,5577318,4410,1,        14.79,      13.77,     10.62,                   ,06/30/2015 06:06:11,
5568118,PS70612DRVR-RK,DRVST        ,6  ,     18630,     15.74,5568118,4410,1,         16.1,      12.91,     13.09,                   ,06/30/2015 06:06:11,
