ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN1UTT,4410,1,FT1,,002RHBR-UG2QR&,5X5,RHB300UTT,,ETS-2-64:6587054A,2787,ETS-2-64,6587054A,1,1
QFN1UTT,4410,1,FT1,,002RHBR-UG2QR&,5X5,RHB300UTT,alt,ETS-2M-64:6587054A,2787,ETS-2M-64,6587054A,1,1
QFN1UTT,4410,1,FT1,,002RHBR-UG2QR&,5X5,RHB300UTT,alt,ETS-2-128:6587054A,2787,ETS-2-128,6587054A,1,1
QFN1UTT,4410,1,FT1,,002RHBR-UG2QR&,5X5,RHB300UTT,alt,ETS-4M-128:6587054A,2787,ETS-4M-128,6587054A,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1812,ETS-0-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1812,ETS-1-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1812,ETS-2-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1M-64:6493741B,1812,ETS-1M-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1812,ETS-2M-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1812,ETS-2-128,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1812,ETS-4M-128,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1812,ETS-S-64,6493741B,1,1
QFN25,4410,1,FT1,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2Q-64:6493741B,1812,ETS-2Q-64,6493741B,1,1
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2-128:6527607B,1250,ETS-2-128,6527607B,1,3
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2-128:6527607B,1250,ETS-2-128,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-4M-128:6527607B,1250,ETS-4M-128,6527607B,1,2
AQFN7RFFT0,4410,1,FT1,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-4M-128:6527607B,1250,ETS-4M-128,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,,ETS-2-64:6527607B,1250,ETS-2-64,6527607B,1,2
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,3
AQFN7RFFT0,4420,1,FT2,,090QRGTRQ12-G2,3X3,RGT300,alt,ETS-2M-64:6527607B,1250,ETS-2M-64,6527607B,1,2
