LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5827983,090QRGTRQ12-G2,3X3           ,RGT300       ,     13135,      2652,5827983     ,4420,1,        17.76,      18.66,     27.96,                   ,10/02/2015 06:06:10,
5827984,090QRGTRQ12-G2,3X3           ,RGT300       ,     10676,      2652,5827984     ,4420,1,        17.76,      18.66,     27.96,                   ,10/02/2015 06:06:10,
5827985,090QRGTRQ12-G2,3X3           ,RGT300       ,      6605,      2652,5827985     ,4420,1,        17.76,      18.66,     27.96,                   ,10/02/2015 06:06:10,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,      8685,     13123,5491459     ,4410,1,        15.98,      13.06,    128.86,                   ,10/02/2015 06:06:10,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,     11443,     13123,5491458     ,4410,1,        15.98,      13.06,    128.86,                   ,10/02/2015 06:06:10,
5672538,PS65168RSBR1-R,5X5           ,RSB          ,      7704,      7853,5672538     ,4410,1,        14.78,      12.52,     76.81,                   ,10/02/2015 06:06:10,
5911031,PS61177RGRR-G2,3.5X3.5       ,RGR300       ,      2158,      6953,5911031     ,4410,1,        14.74,      12.46,      67.8,                   ,10/02/2015 06:06:10,
5696324,53315RGFR-LS2Y,7X5           ,RGFMCM       ,      3052,      6876,5696324     ,4410,1,        21.42,      20.92,      68.8,                   ,10/02/2015 06:06:10,
5696325,53315RGFR-LS2Y,7X5           ,RGFMCM       ,      2995,      6876,5696325     ,4410,1,        21.42,      20.92,      68.8,                   ,10/02/2015 06:06:10,
5712667,PS2561DRCR1-LY,3X3           ,DRCST        ,      6950,      6553,5712667     ,4410,1,        15.24,      12.77,      63.6,                   ,10/02/2015 06:06:10,
5747310,SD97370Q5M2-LN,6X5           ,DQPCLIP      ,      2785,      6413,5747310     ,4410,1,        20.11,       8.26,     52.82,                   ,10/02/2015 06:06:10,
5717215,PS61088RHLR-G2,4.5X3.5       ,RHL300ST     ,      7918,      6401,5717215     ,4410,1,        15.41,      13.01,     62.16,                   ,10/02/2015 06:06:10,
5738519,2402QDRRRQ1-G2,3X3           ,DRR300ST     ,      8310,      5740,5738519     ,4410,1,        17.89,      15.42,     55.47,                   ,10/02/2015 06:06:10,
5749394,25810RVCR-G2R#,4X3           ,RVC300ST     ,      3399,      5429,5749394     ,4410,1,        15.66,      13.06,     52.23,                   ,10/02/2015 06:06:10,
5775940,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13417,      5363,5775940     ,4410,1,         14.1,       4.06,     44.13,                   ,10/02/2015 06:06:10,
5760782,BQ29700DSER-G2,1.5X1.5       ,DSEST300     ,     20748,      5061,5760782     ,4410,1,        16.15,      13.74,     48.75,                   ,10/02/2015 06:06:10,
5769209,TPS43060RTER-C,3X3           ,RTE          ,     13811,      4789,5769209     ,4410,1,        14.57,      12.16,     46.03,                   ,10/02/2015 06:06:10,
5769210,TPS43060RTER-C,3X3           ,RTE          ,     13799,      4789,5769210     ,4410,1,        14.57,      12.16,     46.03,                   ,10/02/2015 06:06:10,
5769211,TPS43060RTER-C,3X3           ,RTE          ,      6898,      4789,5769211     ,4410,1,        14.57,      12.16,     46.03,                   ,10/02/2015 06:06:10,
5769208,TPS43060RTER-C,3X3           ,RTE          ,     13209,      4789,5769208     ,4410,1,        14.57,      12.16,     46.03,                   ,10/02/2015 06:06:10,
5774017,BQ25040DQCR-G2,3X2           ,DQCST        ,     17260,      4684,5774017     ,4410,1,        15.78,      13.06,     44.67,                   ,10/02/2015 06:06:10,
5780088,401032DSGR1-G2,2X2           ,DSGST        ,     19516,      4393,5780088     ,4410,1,        17.06,      15.42,     42.83,                   ,10/02/2015 06:06:10,
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,     15108,      4333,5785851     ,4410,1,        16.19,      13.06,     40.74,                   ,10/02/2015 06:06:10,
5786041,BQ24311DSGR-G2,2X2           ,DSGST        ,     23506,      4285,5786041     ,4410,1,        15.74,      13.01,     40.66,                   ,10/02/2015 06:06:10,
5782139,CSD87588N-NS2 ,5X2.5         ,MPAMCMST     ,      3624,      4262,5782139     ,4410,1,         14.1,      12.75,     41.82,                   ,10/02/2015 06:06:10,
5796242,Q25895MRTWR-G2,4X4           ,RTWST300     ,      5037,      3872,5796242     ,4410,1,         14.7,      13.06,     37.63,                   ,10/02/2015 06:06:10,
5796236,Q25895MRTWR-G2,4X4           ,RTWST300     ,     10064,      3872,5796236     ,4410,1,         14.7,      13.06,     37.63,                   ,10/02/2015 06:06:10,
5796241,Q25895MRTWR-G2,4X4           ,RTWST300     ,      8746,      3872,5796241     ,4410,1,         14.7,      13.06,     37.63,                   ,10/02/2015 06:06:10,
