Machine_instance,Hours
TAEAGLE01-1,72
TAEAGLE02-1,72
TAEAGLE03-1,72
TAEAGLE04-1,72
TAEAGLE05-1,72
TAEAGLE06-1,72
TAEAGLE07-1,72
TAEAGLE08-1,72
TAEAGLE09-1,72
TAEAGLE10-1,72
TAEAGLE11-1,72
TAEAGLE12-1,72
TAEAGLE13-1,72
TAEAGLE14-1,72
TAEAGLE15-1,72
TAEAGLE16-1,72
TAEAGLE17-1,72
TAEAGLE18-1,72
TAEAGLE19-1,72
TAEAGLE20-1,72
TAEAGLE21-1,72
TAEAGLE22-1,72
TAEAGLE23-1,72
TAEAGLE24-1,72
TAEAGLE25-1,72
TAEAGLE26-1,72
TAEAGLE27-1,72
TAEAGLE28-1,72
TAEAGLE29-1,72
TAEAGLE30-1,72
TAEAGLE31-1,72
TAEAGLE32-1,72
TAEAGLE33-1,72
TAEAGLE34-1,72
TAEAGLE35-1,72
TAEAGLE36-1,72
