LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5843130,AC7562SDSCR-UC,DSC          ,10,12600,777.00,5843130,4420,1,         9.36,        8.2,      7.15,,09/16/2015 06:06:10,
5843139,AC7562SDSCR-UC,DSC          ,10,12667,777.00,5843139,4420,1,         9.36,        8.2,      7.15,,09/16/2015 06:06:10,
5852269,AC7562SDSCR-UC,DSC          ,10,14149,510.00,5852269,4420,1,         9.36,        8.2,      4.49,,09/16/2015 06:06:10,
5830456,PS53513RVER-LN,RVECLIP      ,28,77,9500.00,5830456,4410,1,        20.95,      15.21,     89.81,,09/16/2015 06:06:10,
5863537,BQ24196RGER-RY,RGELLF       ,24,1703,4210.00,5863537,4410,1,        15.47,      12.96,     40.14,,09/16/2015 06:06:10,
5700832,D95379Q3M-LNKY,DNSCLPVTT    ,10,4693,3383.00,5700832,4410,1,            0,       16.9,     51.27,,09/16/2015 06:06:10,
5773615,603V1RUNR-G2N#,RUNST300     ,10,24339,3324.00,5773615,4410,1,        19.09,      14.07,     28.77,,09/16/2015 06:06:10,
5770469,BQ25890RTWR-G2,RTWST300     ,24,10062,3211.00,5770469,4410,1,        15.66,      12.67,     29.67,,09/16/2015 06:06:10,
5789882,603V1RUNR-G2N#,RUNST300     ,10,12419,2794.00,5789882,4410,1,        19.09,      14.07,     23.47,,09/16/2015 06:06:10,
5789871,603V1RUNR-G2N#,RUNST300     ,10,24825,2794.00,5789871,4410,1,        19.09,      14.07,     23.47,,09/16/2015 06:06:10,
5789881,603V1RUNR-G2N#,RUNST300     ,10,22229,2794.00,5789881,4410,1,        19.09,      14.07,     23.47,,09/16/2015 06:06:10,
5789888,603V1RUNR-G2N#,RUNST300     ,10,12984,2794.00,5789888,4410,1,        19.09,      14.07,     23.47,,09/16/2015 06:06:10,
5782241,546QRTERQ11-G2,RTE300       ,16,13789,2705.00,5782241,4410,1,        14.83,      13.02,     25.79,,09/16/2015 06:06:10,
5782240,546QRTERQ11-G2,RTE300       ,16,13760,2705.00,5782240,4410,1,        14.83,      13.02,     25.79,,09/16/2015 06:06:10,
5782243,546QRTERQ11-G2,RTE300       ,16,7338,2705.00,5782243,4410,1,        14.83,      13.02,     25.79,,09/16/2015 06:06:10,
5782242,546QRTERQ11-G2,RTE300       ,16,13690,2705.00,5782242,4410,1,        14.83,      13.02,     25.79,,09/16/2015 06:06:10,
5787612,BQ25892RTWR-G2,RTWST300     ,24,5543,2672.00,5787612,4410,1,        15.78,      12.67,     24.15,,09/16/2015 06:06:10,
5788014,Q25895MRTWR-G2,RTWST300     ,24,9356,2670.00,5788014,4410,1,        15.78,      12.67,     24.14,,09/16/2015 06:06:10,
5792126,Q25895MRTWR-G2,RTWST300     ,24,8416,2536.00,5792126,4410,1,        15.78,      12.67,      22.8,,09/16/2015 06:06:10,
5792040,546QRTERQ11-G2,RTE300       ,16,13700,2406.00,5792040,4410,1,        14.83,      13.02,      22.8,,09/16/2015 06:06:10,
5792041,546QRTERQ11-G2,RTE300       ,16,13695,2406.00,5792041,4410,1,        14.83,      13.02,      22.8,,09/16/2015 06:06:10,
5792042,546QRTERQ11-G2,RTE300       ,16,7294,2406.00,5792042,4410,1,        14.83,      13.02,      22.8,,09/16/2015 06:06:10,
5792039,546QRTERQ11-G2,RTE300       ,16,13785,2406.00,5792039,4410,1,        14.83,      13.02,      22.8,,09/16/2015 06:06:10,
5797006,603V1RUNR-G2N#,RUNST300     ,10,24823,2405.00,5797006,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5796998,603V1RUNR-G2N#,RUNST300     ,10,24790,2405.00,5796998,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5796990,603V1RUNR-G2N#,RUNST300     ,10,24763,2405.00,5796990,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5797013,603V1RUNR-G2N#,RUNST300     ,10,12398,2405.00,5797013,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5797002,603V1RUNR-G2N#,RUNST300     ,10,24832,2405.00,5797002,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5797007,603V1RUNR-G2N#,RUNST300     ,10,24709,2405.00,5797007,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5797008,603V1RUNR-G2N#,RUNST300     ,10,24818,2405.00,5797008,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5797012,603V1RUNR-G2N#,RUNST300     ,10,22100,2405.00,5797012,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
5796991,603V1RUNR-G2N#,RUNST300     ,10,24800,2405.00,5796991,4410,1,        17.25,      14.07,     21.41,,09/16/2015 06:06:10,
