"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
NULL,"ETM-5-128","6521765A",NULL,"TPS71745DSER-L",NULL,NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"ETS-2-64","6575703A",NULL,"BQ29700DSER-G2",NULL,NULL,"20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
NULL,"ETS-0-64","6506370A",NULL,"PS61093DSKR-CK",NULL,NULL,"24518","12259","436173.91","19504","5014","0","0.04","0.01","0","0.05621152351822235"
NULL,"ETS-0-64","6506370A",NULL,"S61093DSKR-G2K",NULL,NULL,"152309","76154.5","436173.91","731586","137278","0","1.68","0.31","0","1.9920127730702646"
NULL,"ETS-0-64","6506370A",NULL,"S61093DSKT-G2K",NULL,NULL,"14297","7148.5","436173.91","34353","0","0","0.08","0","0","0.07875986897061313"
NULL,"ETS-1-64","6504079A",NULL,"PS61161DRVR-LK",NULL,NULL,"39316","19658","219277.24","301339","39316","0","1.37","0.18","0","1.5535356063401746"
NULL,"ETS-1-64","6506370A",NULL,"S62067DSGR1-G2",NULL,NULL,"24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
NULL,"ETS-S-64","6514765A",NULL,"S60151DRVR-G2K",NULL,NULL,"24731","12365.5","337221.82","0","24731","0","0","0.07","0","0.07333748450797163"
NULL,"ETM-2-64","6524788B",NULL,"94522DRVR1-G2K",NULL,NULL,"63595","31797.5","185472","38738","49635","0","0.21","0.27","0","0.4764762336093858"
NULL,"ETS-2-64","6525230A",NULL,"TPS2553DRVR-L",NULL,NULL,"24836","12418","756144.19","71922","24836","0","0.1","0.03","0","0.12796236654281506"
NULL,"ETS-2-64","6528944B",NULL,"603V1RUNR-G2N#",NULL,NULL,"765569","382784.5","197858.21","398502","1038430","0","2.01","5.25","0","7.262433032220397"
NULL,"ETS-4M-128","6570316D",NULL,"NA300AIDSQR-CK",NULL,NULL,"158105","79052.5","112889.4","0","158105","0","0","1.4","0","1.4005300763402055"
NULL,"ETS-2-64","6574499A",NULL,"S61291DRVR-G2K",NULL,NULL,"12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
NULL,"ETS-4M-128","6576907B",NULL,"BQ24311DSGR-G2",NULL,NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"ETS-2-64","6570242A",NULL,"D95379Q3M-LNKY",NULL,NULL,"23148","11574","69380.83","288370","4693","0","4.16","0.07","0","4.2239765652846755"
NULL,"ETS-2-64","6487925B",NULL,"N1109048RHLR-L",NULL,NULL,"15110","7555","70186.31","66394","26811","0","0.95","0.38","0","1.3279655249007962"
NULL,"ETS-2-64","6487925B",NULL,"PS54821RHLR2-R",NULL,NULL,"222271","111135.5","61549.98","411540","523172","0","6.69","8.5","0","15.186227517864342"
NULL,"ETS-2M-64","6487925B",NULL,"4622RHLR1-LQR#",NULL,NULL,"15108","7554","55732.88","0","15108","0","0","0.27","0","0.2710787599707749"
NULL,"ETS-2M-64","6487925B",NULL,"N1109048RHLR-L",NULL,NULL,"11701","5850.5","70186.31","66394","26811","0","0.95","0.38","0","1.3279655249007962"
NULL,"ETS-2M-64","6487925B",NULL,"PS54622ARHLR-L",NULL,NULL,"62021","31010.5","55732.88","29285","77120","0","0.53","1.38","0","1.9091961513562552"
NULL,"ETS-2M-64","6487925B",NULL,"S54620RGYR1-G2",NULL,NULL,"30152","15076","69929.46","108867","30152","0","1.56","0.43","0","1.9879890392404"
NULL,"ETS-S-64","6487925B",NULL,"TPS54622RHLR-L",NULL,NULL,"11743","5871.5","55732.88","27949","26823","0","0.5","0.48","0","0.9827591899072864"
NULL,"ETS-2-64","6541231B",NULL,"Q24736RGRR-G2K",NULL,NULL,"131454","65727","75720.65","182095","123911","0","2.4","1.64","0","4.041248985580552"
NULL,"ETS-2-64","6545253A",NULL,"SN2833RGRR-G2K",NULL,NULL,"76748","38374","59869.35","0","76748","0","0","1.28","0","1.2819247244207597"
NULL,"ETM-2-64","6566885A",NULL,"S62736RGYR-G2K",NULL,NULL,"126613","63306.5","58485.72","52588","74025","0","0.9","1.27","0","2.1648532325497576"
NULL,"ETS-2M-64","6571778A",NULL,"7A8300RGRR-G2K",NULL,NULL,"332271","166135.5","83689.41","105703","538412","0","1.26","6.43","0","7.69649349899826"
NULL,"ETS-2Q-64","6509808B",NULL,"BQ25040DQCR-G2",NULL,NULL,"30318","15159","129861.82","15153","82078","0","0.12","0.63","0","0.7487266080207408"
NULL,"ETM-5-128","6545098B",NULL,"PS62175DQCR-RK",NULL,NULL,"108791","54395.5","600628.97","205874","69106","0","0.34","0.12","0","0.45782007484587367"
NULL,"ETS-2-64","6552808A",NULL,"PS62742DSSR-LK",NULL,NULL,"45716","22858","178952.44","28507","34485","0","0.16","0.19","0","0.352004141435568"
NULL,"ETS-2-64","6552808A",NULL,"PS62745DSSR-LK",NULL,NULL,"17218","8609","96506.18","0","17218","0","0","0.18","0","0.17841344461049025"
NULL,"ETS-2-64","6552808A",NULL,"S62740DSSR1-LK",NULL,NULL,"434874","217437","167572.64","198070","419351","0","1.18","2.5","0","3.6844976602385686"
NULL,"ETS-2-64","6556617A",NULL,"CSD87381P1-NS2",NULL,NULL,"74040","37020","188033.72","332143","26874","0","1.77","0.14","0","1.9093224342952955"
NULL,"ETS-2-64","6556617A",NULL,"SD87381P6-UNR&",NULL,NULL,"26850","13425","188033.72","0","26850","0","0","0.14","0","0.14279353724427724"
