"pkgtype","EDGE_LB","num_lots","pkg_size","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
"STD","6460534B","4","3X3","51577","25788.5","79116.46","0","0","0","0","0","0","0"
"STD","6461377C","13","4X4","114525","57262.5","84242.8","30224","9478","0","0.36","0.11","0","0.47128063169790174"
"STD","6468723B","1","3X3","11001","5500.5","115912.08","0","0","0","0","0","0","0"
"STD","6473092B","1","3X3","7097","3548.5","62568.18","0","0","0","0","0","0","0"
"STD","6484140A","11","3X3","142221","71110.5","85958.47","25341","9499","0","0.29","0.11","0","0.40531200706573767"
"STD","6484527A","4","5X5","27536","13768",NULL,"0","0","0","0","0","0","0"
"STD","6487839B","25","5X5","183178","91589","31637.07","0","0","0","0","0","0","0"
"STD","6487925B","59","3.5X3.5","777731","388865.5","61720.67","0","0","0","0","0","0","0"
"STD","6489159B","3","3X3","35318","17659","68579.81","13812","61517","0","0.2","0.9","0","1.0984136584805353"
"STD","6491333A","2","4X4","12679","6339.5","137132.55","0","8492","0","0","0.06","0","0.061925487420747306"
"STD","6491839B","7","5.5X3.5","41947","20973.5","30653.96","0","12855","0","0","0.42","0","0.41935854290930114"
"STD","6493388A","12","3X3","194202","97101","121991.89","0","14343","0","0","0.12","0","0.11757338950974527"
"STD","6493742A","1","4X4","7138","3569","39684.79","0","0","0","0","0","0","0"
"STD","6494708A","10","4X4","80833","40416.5","47767.05","9664","8315","0","0.2","0.17","0","0.37638916365988684"
"STD","6496545A","8","7X5","25548","12774","43424.18","12149","22561","0","0.28","0.52","0","0.7993242474584437"
"STD","6498316A","3","4X4","25459","12729.5","30679.08","35120","9954","0","1.14","0.32","0","1.4692096373163732"
"STD","6503050A","16","5X5","95285","47642.5","53887.55","0","108608","0","0","2.02","0","2.015456260305024"
"STRIP","6504079A","2","2X2","49388","24694","219277.24","74178","44423","0","0.34","0.2","0","0.5408723677842716"
"STD","6504342B","11","4X4","88633","44316.5","51625.67","0","0","0","0","0","0","0"
"STD","6505620C","6","3X3","61971","30985.5","20526.55","0","0","0","0","0","0","0"
"STD","6505771B","16","3X3","204964","102482","25729.21","0","0","0","0","0","0","0"
"STD","6506370A","6","2.5X2.5","89263","44631.5","424165.98","195612","544236","0","0.46","1.28","0","1.7442417234875838"
"STD","6507169A","1","3.5X3.5","6292","3146","52646.91","0","0","0","0","0","0","0"
"STD","6508600B","1","4X4","10062","5031","66753.62","0","0","0","0","0","0","0"
"STRIP","6509808B","6","3X2","97231","48615.5","129861.82","0","64804","0","0","0.5","0","0.4990227304684317"
"STD","6510147A","1","3X3","8976","4488","70232.71","0","29792","0","0","0.42","0","0.4241898112716994"
"STD","6510609E","2","3X3","16831","8415.5","94171.79","7494","57762","0","0.08","0.61","0","0.6929463696081385"
"STD","6511094C","13","3X3","144502","72251","93149.41","13785","41431","0","0.15","0.44","0","0.5927681130776888"
"STD","6512615D","4","3.5X3.5","48427","24213.5","89910.03","0","0","0","0","0","0","0"
"STD","6513992A","4","3X3","26445","13222.5","68056.62","50136","0","0","0.74","0","0","0.7366807226100855"
"STD","6513992B","8","3X3","125156","62578","0","0","39226","0","0","0","0","0"
"STD","6514558B","2","7X5","7331","3665.5","64040.97","0","0","0","0","0","0","0"
"STD","6514765A","1","2X2","24731","12365.5","337221.82","81476","62488","0","0.24","0.19","0","0.4269118765802284"
"STD","6515575A","2","4.5X3.5","11785","5892.5","48086.81","13837","31092","0","0.29","0.65","0","0.9343310566868545"
"STD","6515577B","27","5.5X3.5","162543","81271.5","49257.31","0","0","0","0","0","0","0"
"STD","6515889A","2","3X3","17472","8736","103199.08","0","0","0","0","0","0","0"
"STD","6516230D","14","3X3","220578","110289","99263.5","100743","910277","0","1.01","9.17","0","10.1852141018602"
"STD","6516809C","3","5X5","16422","8211","71232.89","0","7415","0","0","0.1","0","0.1040951728899389"
"STD","6517878B","3","4X4","24672","12336","59152.08","0","0","0","0","0","0","0"
"STD","6517950B","1","3X3","7029","3514.5","25816.62","0","7029","0","0","0.27","0","0.27226647020407785"
"STD","6518233A","8","5X5","41982","20991","51947.93","4312","0","0","0.08","0","0","0.08300619485704243"
"STD","6518552B","2","3X3","27559","13779.5","85421.31","0","0","0","0","0","0","0"
"STD","6518677A","2","5X5","12248","6124","54869.27","0","7704","0","0","0.14","0","0.1404064606655055"
"STD","6518742B","4","4X4","34713","17356.5","73272.8","0","0","0","0","0","0","0"
"STD","6519267C","3","7X7","6629","3314.5","51159.35","0","4473","0","0","0.09","0","0.08743269803076076"
"STD","6520958B","2","4.0X3.5","14375","7187.5","41130.2","32363","21137","0","0.79","0.51","0","1.3007473827017617"
