Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Initial_Lot_Flag,Device_Name,Tooling_Family_Name,Certification,Setup_Time,Completion_Time,Package
CLFTEA29,ETS-2-64,5789881,22229,3027,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 05:13:27,2X2
CLFTEA29,ETS-2-64,5796990,24763,2638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 08:14:41,2X2
CLFTEA29,ETS-2-64,5796997,24747,2638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 11:15:47,2X2
CLFTEA29,ETS-2-64,5796996,24787,2638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 14:17:11,2X2
CLFTEA29,ETS-2-64,5830794,24782,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 17:18:32,2X2
CLFTEA29,ETS-2-64,5830795,24776,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 20:19:51,2X2
CLFTEA29,ETS-2-64,5830787,13072,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 21:55:59,2X2
CLFTEA29,ETS-2-64,5830788,12402,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/18/2015 23:27:15,2X2
CLFTEA29,ETS-2-64,5830796,13320,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 01:05:11,2X2
CLFTEA29,ETS-2-64,5830784,24775,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 04:06:30,2X2
CLFTEA29,ETS-2-64,5830783,24623,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 07:06:42,2X2
CLFTEA29,ETS-2-64,5830789,24643,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 10:07:03,2X2
CLFTEA29,ETS-2-64,5830792,24759,1638,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 13:08:14,2X2
CLFTEA29,ETS-2-64,5831722,12347,1605,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 14:39:06,2X2
CLFTEA29,ETS-2-64,5831723,24568,1605,N,603V1RUNR-G2N#,6528944B,1,09/18/2015 02:30:41,09/19/2015 17:38:54,2X2
