"device","logpoint","quantity","average_capacity","Queue"
"01AIRGWR2-ZQR#","4410","838","38004.89","0.02"
"0QRGZRQ1-ULQN&","4410","3515","0","0"
"1108026RHDR1-R","1400","7919","51023.3","0.16"
"1108026RHDR1-R","1410","15584","51023.3","0.31"
"1108026RHDR1-R","1420","5648","51023.3","0.11"
"1108026RHDR1-R","1450","39512","51023.3","0.77"
"1108026RHDR1-R","2100","15803","51023.3","0.31"
"1108026RHDR1-R","4410","23722","51023.3","0.46"
"1211013RGER-LK","1450","7670","77765.22","0.1"
"1220ARSNR1-G2K","1400","10076","30679.08","0.33"
"1220ARSNR1-G2K","4410","41325","30679.08","1.35"
"1235PRWLR-G2N#","4410","20303","0","0"
"1306051RHRR-G2","1400","5074","42013.53","0.12"
"1311031RHAR-G2","1420","3766","26283.66","0.14"
"1311031RHAR-G2","1450","2577","26283.66","0.1"
"1312DRCR1-G2KY","1410","13819","0","0"
"1312DRCR1-G2KY","1450","41434","0","0"
"1312DRCR1-G2KY","2000","6795","0","0"
"1312DRCR1-G2KY","4410","172489","0","0"
"1362RVER1-LQR#","1420","7517","83732.62","0.09"
"1362RVER1-LQR#","1450","7749","83732.62","0.09"
"1402065RVER-LN","1450","7232","64979.35","0.11"
"1501005RHBR-G2","4410","105265","61890.83","1.7"
"1622IDRCT-URR&","4410","5034","0","0"
"1622RSMR1-G2YK","4410","19958","68739.17","0.29"
"202027ARSLR-G2","1400","2364","93968.85","0.03"
"202027CRSLR-G2","1460","5179","90582.23","0.06"
"202027CRSLR-G2","4410","39513","90582.23","0.44"
"202027DRSLR-G2","1410","5181","88948.54","0.06"
"202027DRSLR-G2","4410","12922","88948.53","0.15"
"2402QDRRRQ1-G2","1450","11387","187042.91","0.06"
"24075TRGTR-G2Y","4410","8426","86327.5","0.1"
"24725ARGRR-G2K","695","7560","90560.3","0.08"
"24725ARGRR-G2K","1430","15096","90560.3","0.17"
"24725ARGRR-G2K","1450","8852","90560.3","0.1"
"24725ARGRR-G2K","2100","15085","90560.3","0.17"
"24725ARGRR-G2K","4410","25518","90560.3","0.28"
"24735RGRR1-G2K","2100","8868","87959.22","0.1"
"24735RGRR1-G2K","4410","30114","87959.22","0.34"
"24780SRUYR-G2K","4410","80356","61544.65","1.31"
"2543QRTERQ1-G2","1410","13473","97389.3","0.14"
"2543QRTERQ1-G2","1460","13783","97389.3","0.14"
"2543QRTERQ1-G2","2100","8373","97389.3","0.09"
"2543QRTERQ1-G2","4410","120110","97389.3","1.23"
"25810RVCR-G2R#","2150","3399","0","0"
"2592AADRCR-G2K","695","13824","56572.06","0.24"
"2592AADRCR-G2K","1410","13816","56572.06","0.24"
"2592AADRCR-G2K","2100","27626","56572.06","0.49"
"2592AADRCT-G2K","1410","13822","56572.06","0.24"
"2592AADRCT-G2K","2100","6674","56572.06","0.12"
"2592ZADRCR-G2K","695","13820","51641.5","0.27"
"2592ZADRCR-G2K","2100","9228","51641.5","0.18"
"25942ARVCR1-G2","1400","15296","31944.65","0.48"
"285ARUKR1-G2KY","4410","20712","109078.26","0.19"
"29442DRBR-BKY$","1415","56942","70232.71","0.81"
"29442DRBR-BKY$","4410","74652","70232.71","1.06"
"401032DSGR1-G2","1450","19516","266738.26","0.07"
"401032DSGR1-G2","2000","15284","266738.26","0.06"
"401032DSGR1-G2","4410","74461","266738.26","0.28"
"406035RGER-G2Y","4410","86506","43310.3","2"
"408065RHLR-G2K","2100","6465","30653.96","0.21"
"408065RHLR-G2K","4410","54358","30653.96","1.77"
"44C20RVFT1-LN#","2100","7154","16624.76","0.43"
"44C20RVFT2-LN#","2100","17850","16624.76","1.07"
"4519RTER1-RQR&","4410","20128","55027.28","0.37"
"4622RHLR1-LQR#","4410","15108","55732.88","0.27"
"480RNCR1-OG2N&","1450","1408","118820.57","0.01"
"50842A0RSKR-G2","1460","2592","0","0"
"50842A0RSKR-G2","4410","21360","0","0"
"5090BRVNR-G2N#","2100","601","22809.6","0.03"
"51220RHBR2-G2K","4410","65154","34243.47","1.9"
"51631RSMR-G2YK","1420","9997","66896.3","0.15"
"51631RSMR-G2YK","2100","9954","66896.3","0.15"
"51631RSMR-G2YK","4410","47021","66896.3","0.7"
"51650RSLT2-G2K","4410","31542","28631.69","1.1"
"53819ARGTR1-LK","4410","55219","107404.51","0.51"
"54328DRCRP-G2Y","1450","10076","90239.55","0.11"
"54328DRCRP-G2Y","4410","6829","90239.55","0.08"
"546QRTERQ11-G2","1410","34528","0","0"
"546QRTERQ11-G2","1415","10615","0","0"
"546QRTERQ11-G2","1420","13812","0","0"
"546QRTERQ11-G2","1450","45186","0","0"
"546QRTERQ11-G2","1460","13809","0","0"
"546QRTERQ11-G2","3000","13810","0","0"
"546QRTERQ11-G2","4410","93967","0","0"
"5633ARTER-KDG2","4410","157311","83610.75","1.88"
"5633BRTER-KDG2","1410","13794","78064.94","0.18"
"5633BRTER-KDG2","1450","23243","78064.94","0.3"
"5633BRTER-KDG2","2100","13814","78064.94","0.18"
"5633BRTER-KDG2","4410","35741","78064.94","0.46"
"58872Q5D7-NS2Y","1400","14382","114912","0.13"
"58872Q5D7-NS2Y","1410","7185","114912","0.06"
"58872Q5D7-NS2Y","1420","34421","114912","0.3"
"58872Q5D7-NS2Y","1450","14374","114912","0.13"
"58872Q5D7-NS2Y","1460","7173","114912","0.06"
"58872Q5D7-NS2Y","2100","16347","114912","0.14"
"58872Q5D7-NS2Y","3000","14268","114912","0.12"
"58872Q5D7-NS2Y","4410","4886","114912","0.04"
"603V1RUNR-G2N#","695","49575","197858.21","0.25"
"603V1RUNR-G2N#","1405","13809","197858.21","0.07"
"603V1RUNR-G2N#","1410","24759","197858.21","0.13"
"603V1RUNR-G2N#","1430","24663","197858.21","0.12"
"603V1RUNR-G2N#","2150","24829","197858.21","0.13"
"603V1RUNR-G2N#","4410","601851","197858.21","3.04"
"608098RHBR-G2K","1450","7851","37726.01","0.21"
"62150BRGTR-OLY","695","8469","103199.08","0.08"
"62152QRGTRQ1-L","1460","4601","0","0"
"6215AQRGTRQ1-L","1415","13640","0","0"
"62407QDRCRQ1-R","1400","7139","0","0"
"62407QDRCRQ1-R","2000","7397","0","0"
"635KRSNR1-KDG2","2000","14706","74351.85","0.2"
"652621RHBR1-G2","1400","7917","63680.95","0.12"
"652621RHBR1-G2","1430","15794","63680.95","0.25"
"652621RHBR1-G2","4410","35837","63680.95","0.56"
"65633AKRTER-G2","1400","8890","82589.16","0.11"
"65633AKRTER-G2","1410","27632","82589.16","0.33"
"65633AKRTER-G2","1450","41460","82589.16","0.5"
"65633AKRTER-G2","1460","13822","82589.16","0.17"
"65633AKRTER-G2","2100","9890","82589.16","0.12"
"65633AKRTER-G2","4410","168515","82589.16","2.04"
"65633BKRTER-G2","1400","69062","78715.65","0.88"
"65633BKRTER-G2","1410","55231","78715.65","0.7"
"65633BKRTER-G2","1450","79983","78715.65","1.02"
"65633BKRTER-G2","2100","73906","78715.65","0.94"
"65633BKRTER-G2","3000","13817","78715.65","0.18"
"65633BKRTER-G2","4410","263821","78715.65","3.35"
"74110RVFT-LQN#","4410","7633","62771.58","0.12"
"771803DPJR-G2K","1400","16105","134254.33","0.12"
"771803DPJR-G2K","4410","16127","134254.33","0.12"
"7A8300RGRR-G2K","1400","15097","83689.41","0.18"
"7A8300RGRR-G2K","1410","37759","83689.41","0.45"
"7A8300RGRR-G2K","1430","22663","83689.41","0.27"
