LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5801529,AC7562SDSCR-UC,DSC          ,10 ,5712,2593.00,5801529,4420,1,         9.53,        8.2,     25.14,,09/21/2015 06:06:11,
5843130,AC7562SDSCR-UC,DSC          ,10 ,12600,1277.00,5843130,4420,1,         9.36,        8.2,     12.15,,09/21/2015 06:06:11,
5843139,AC7562SDSCR-UC,DSC          ,10 ,12667,1277.00,5843139,4420,1,         9.36,        8.2,     12.15,,09/21/2015 06:06:11,
5852269,AC7562SDSCR-UC,DSC          ,10 ,14149,1010.00,5852269,4420,1,         9.36,        8.2,      9.49,,09/21/2015 06:06:11,
5856472,AC7562SDSCT-UC,DSC          ,10 ,6334,860.00,5856472,4420,1,         9.36,        8.2,      7.99,,09/21/2015 06:06:11,
5859467,AC7562SDSCR-UC,DSC          ,10 ,9080,767.00,5859467,4420,1,         9.36,        8.2,      7.06,,09/21/2015 06:06:11,
5859470,AC7562SDSCR-UC,DSC          ,10 ,12963,767.00,5859470,4420,1,         9.36,        8.2,      7.06,,09/21/2015 06:06:11,
5861760,AC7562SDSCR-UC,DSC          ,10 ,9124,718.00,5861760,4420,1,         9.54,        8.2,      6.39,,09/21/2015 06:06:11,
5124573,TPS71745DSER-L,DSEST        ,6  ,41926,22834.00,5124573,4410,1,        16.29,       13.2,     225.8,,09/21/2015 06:06:11,
5199075,TPS71745DSER-L,DSEST        ,6  ,20891,20862.00,5199075,4410,1,        18.67,       13.2,     203.7,,09/21/2015 06:06:11,
5199073,TPS71745DSER-L,DSEST        ,6  ,31323,20862.00,5199073,4410,1,        18.67,       13.2,     203.7,,09/21/2015 06:06:11,
5199074,TPS71745DSER-L,DSEST        ,6  ,39511,20862.00,5199074,4410,1,        18.67,       13.2,     203.7,,09/21/2015 06:06:11,
5472865,62152QRGTRQ1-L,RGT          ,16 ,4571,12836.00,5472865,4410,1,        18.45,      13.02,    123.47,,09/21/2015 06:06:11,
