tester_index, tester_config,loadboard_type, setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 09:03:52"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 11:47:26"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 14:43:00"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 17:30:54"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 19:34:32"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/21/2015 22:29:58"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/22/2015 01:26:18"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/22/2015 04:20:20"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/22/2015 07:05:04"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFR-LS2Y","09/22/2015 10:02:16"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFT-LS2Y","09/22/2015 11:13:06"
"11","ETS-2-64","6496545A","","RGFMCM","11","","","51315RGFT-LS2Y","09/22/2015 14:03:49"
"11","ETS-2-64","6580945B","setup change","RHL300ST","11","","","PS61088RHLR-G2","09/22/2015 15:12:05"
"11","ETS-2-64","6506370A","setup change","DSKST300","11","","","S61093DSKR-G2K","09/22/2015 16:25:41"
"11","ETS-2-64","6506370A","","DSKST300","11","","","S61093DSKR-G2K","09/22/2015 17:24:53"
"11","ETS-2-64","6506370A","","DSKST300","11","","","S61093DSKR-G2K","09/22/2015 19:05:12"
"11","ETS-2-64","6515575A","setup change","RHL","11","","","BQ24130RHLR-G2","09/22/2015 20:20:27"
"11","ETS-2-64","6515575A","","RHL","11","","","BQ24130RHLR-G2","09/23/2015 00:31:30"
"11","ETS-2-64","6574499A","setup change","DRVST300","11","","","S61291DRVR-G2K","09/23/2015 01:27:01"
"11","ETS-2-64","No_Tooling","setup change","RSK300","11","","","50842A0RSKR-G2","09/23/2015 03:50:32"
"11","ETS-2-64","6570729C","setup change","RTQVTT","11","","","TPS2388RTQR-C","09/23/2015 05:16:54"
"12","ETS-S-64","6516230D","","DRC300LLF","12","","","S51200DRCR-G2Y","09/21/2015 19:40:09"
"12","ETS-S-64","6516230D","","DRC300LLF","12","","","S51200DRCR-G2Y","09/22/2015 09:14:10"
"12","ETS-S-64","6516230D","","DRC300LLF","12","","","S51200DRCR-G2Y","09/22/2015 22:48:03"
"12","ETS-S-64","6556617A","setup change","MPAMCMST","12","","","CSD87588N-NS2","09/22/2015 23:22:03"
"12","ETS-S-64","6500265B","setup change","RHA","12","","","PS51621RHAR-BK","09/23/2015 03:02:55"
"12","ETS-S-64","6462654A","setup change","DRB","12","","","A6204A1DRBR-UC","09/23/2015 04:26:40"
"13","ETS-1-64","6516230D","","DRC300LLF","13","","","S51200DRCR-G2Y","09/21/2015 19:39:54"
"13","ETS-1-64","6516230D","","DRC300LLF","13","","","S51200DRCR-G2Y","09/22/2015 04:11:23"
"13","ETS-1-64","6516230D","","DRC300LLF","13","","","S51200DRCR-G2Y","09/22/2015 17:44:35"
"13","ETS-1-64","6516230D","","DRC300LLF","13","","","S51200DRCR-G2Y","09/23/2015 05:58:07"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24195RGER-RY","09/21/2015 10:03:36"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24195RGER-RY","09/21/2015 14:00:06"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24195RGER-RY","09/21/2015 17:53:01"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24195RGER-RY","09/21/2015 21:41:19"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/22/2015 01:19:58"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/22/2015 05:17:24"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/22/2015 09:12:18"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/22/2015 13:09:45"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/22/2015 16:59:09"
"14","ETS-2-64","6525585A","","RGELLF","14","","","Q24192HRGER-RY","09/22/2015 20:52:24"
"14","ETS-2-64","6525585A","","RGELLF","14","","","Q24192HRGER-RY","09/23/2015 00:48:27"
"14","ETS-2-64","6525585A","","RGELLF","14","","","BQ24196RGER-RY","09/23/2015 04:45:59"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 08:57:46"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 10:45:54"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 12:35:22"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 14:13:44"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 17:53:53"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 20:45:29"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/21/2015 22:35:38"
"15","ETS-S-64","6518233A","","RSB","15","","","PS65023RSBR1-R","09/22/2015 01:08:18"
"15","ETS-S-64","6471907A","setup change","DRCLLF","15","","","PS62420DRCR-RY","09/22/2015 14:46:11"
"17","ETS-0-64","6505771B","","DRB","17","","","TPS2557DRBR3-R","09/21/2015 17:07:39"
"17","ETS-0-64","6505771B","","DRB","17","","","TPS2557DRBR3-R","09/22/2015 04:09:16"
"17","ETS-0-64","6505771B","","DRB","17","","","TPS2557DRBR3-R","09/22/2015 13:23:11"
"17","ETS-0-64","6505771B","","DRB","17","","","TPS2557DRBR3-R","09/23/2015 00:26:20"
"17","ETS-0-64","6506370A","setup change","DSKST","17","","","PS61093DSKR-CK","09/23/2015 01:05:21"
"17","ETS-0-64","6507169A","setup change","RVA","17","","","BQ24640RVAT-LK","09/23/2015 04:03:24"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/21/2015 10:03:20"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/21/2015 14:00:50"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/21/2015 17:58:14"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/21/2015 21:54:01"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/22/2015 01:40:21"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/22/2015 05:37:40"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/22/2015 09:26:37"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/22/2015 13:24:04"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24195RGER-RY","09/22/2015 17:21:41"
"18","ETS-2-64","6525585A","","RGELLF","18","","","BQ24196RGER-RY","09/22/2015 20:47:08"
"18","ETS-2-64","6525585A","","RGELLF","18","","","Q24192HRGER-RY","09/23/2015 00:44:39"
"18","ETS-2-64","6525585A","","RGELLF","18","","","Q24192HRGER-RY","09/23/2015 04:30:28"
"19","ETS-S-64","6516230D","","DRC300LLF","19","","","S51200DRCR-G2Y","09/21/2015 19:40:06"
"19","ETS-S-64","6516230D","","DRC300LLF","19","","","S51200DRCR-G2Y","09/22/2015 09:14:01"
"19","ETS-S-64","6516230D","","DRC300LLF","19","","","S51200DRCR-G2Y","09/22/2015 22:47:51"
"19","ETS-S-64","6542852A","setup change","DSD","19","","","UCC27526DSDR-R","09/23/2015 01:44:32"
"19","ETS-S-64","6542852A","","DSD","19","","","UCC27526DSDR-R","09/23/2015 05:15:17"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/21/2015 14:11:01"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/21/2015 22:15:48"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/22/2015 06:20:21"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/22/2015 09:58:21"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/22/2015 13:36:45"
"20","ETS-S-64","6508600B","","RTJ","20","","","TPS61183RTJR-R","09/22/2015 17:15:03"
"22","ETS-0-64","6505771B","","DRB","22","","","TPS2557DRBR3-R","09/21/2015 17:09:03"
"22","ETS-0-64","6505771B","","DRB","22","","","TPS2557DRBR3-R","09/22/2015 04:12:03"
"22","ETS-0-64","6505771B","","DRB","22","","","TPS2557DRBR3-R","09/22/2015 15:15:07"
"22","ETS-0-64","6505771B","","DRB","22","","","TPS2557DRBR3-R","09/23/2015 02:18:57"
"22","ETS-0-64","6514765A","setup change","DRVST300","22","","","S60151DRVR-G2K","09/23/2015 04:10:31"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 09:18:47"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 11:37:02"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 14:49:39"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 16:25:48"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 19:37:31"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/21/2015 22:50:09"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 02:02:36"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 05:14:24"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 08:26:29"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 10:59:50"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 14:12:10"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 17:24:34"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 20:36:57"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/22/2015 23:49:13"
"23","ETS-2-64","6522212C","","RTE","23","","","PS54218RTER3-C","09/23/2015 03:00:50"
"23","ETS-2-64","6516231C","setup change","DSQST","23","","","PS51206DSQR-RK","09/23/2015 06:06:00"
"24","ETS-2-64","6547181A","","DRC","24","","","2592AADRCR-G2K","09/21/2015 11:25:36"
"24","ETS-2-64","6547181A","","DRC","24","","","2592BADRCR-G2K","09/21/2015 17:21:23"
"24","ETS-2-64","6547181A","","DRC","24","","","2592BADRCR-G2K","09/21/2015 23:16:58"
"24","ETS-2-64","6547181A","","DRC","24","","","2592BADRCR-G2K","09/22/2015 05:12:40"
"24","ETS-2-64","6547181A","","DRC","24","","","2592BADRCR-G2K","09/22/2015 09:09:21"
"24","ETS-2-64","6547181A","","DRC","24","","","2592BADRCR-G2K","09/22/2015 15:05:00"
"24","ETS-2-64","6547181A","","DRC","24","","","2592ZADRCR-G2K","09/22/2015 21:30:54"
"24","ETS-2-64","6547181A","","DRC","24","","","2592ZADRCR-G2K","09/23/2015 02:52:38"
"24","ETS-2-64","6547181A","","DRC","24","","","2592ZADRCR-G2K","09/23/2015 06:03:50"
"25","ETS-2-64","6522803A","","RTEST","25","","","4519RTER1-RQR&","09/21/2015 09:54:26"
"25","ETS-2-64","6522803A","","RTEST","25","","","4519RTER1-RQR&","09/21/2015 14:54:51"
"25","ETS-2-64","6516809C","setup change","RHB","25","","","THS6226IRHBR-B","09/21/2015 16:20:20"
"25","ETS-2-64","6516809C","","RHB","25","","","THS6226IRHBR-B","09/21/2015 17:57:09"
"25","ETS-2-64","6516809C","","RHB","25","","","THS6226IRHBR-B","09/21/2015 19:42:31"
"25","ETS-2-64","6516809C","","RHB","25","","","THS6226IRHBR-B","09/21/2015 22:20:05"
"25","ETS-2-64","6516809C","","RHB","25","","","THS6226IRHBR-B","09/22/2015 01:00:50"
"25","ETS-2-64","6516809C","","RHB","25","","","THS6226IRHBR-B","09/22/2015 03:41:48"
"25","ETS-2-64","6568520B","setup change","RHB300","25","","","1501005RHBR-G2","09/22/2015 06:08:09"
"25","ETS-2-64","6568520B","","RHB300","25","","","1501005RHBR-G2","09/22/2015 09:00:19"
"25","ETS-2-64","6568520B","","RHB300","25","","","1501005RHBR-G2","09/22/2015 11:53:09"
"25","ETS-2-64","6568520B","","RHB300","25","","","1501005RHBR-G2","09/22/2015 14:45:59"
"25","ETS-2-64","6568520B","","RHB300","25","","","652621RHBR1-G2","09/22/2015 17:45:45"
"25","ETS-2-64","6568520B","","RHB300","25","","","652621RHBR1-G2","09/22/2015 23:31:43"
"25","ETS-2-64","6555466B","setup change","RSL300","25","","","PS65154RSLR-G2","09/23/2015 01:13:27"
"25","ETS-2-64","6578526A","setup change","RSN300VTT","25","","","635KRSNR1-KDG2","09/23/2015 04:30:02"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/21/2015 11:15:40"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/21/2015 17:09:59"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/21/2015 23:02:26"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/22/2015 01:59:58"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/22/2015 06:24:08"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/22/2015 12:17:59"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/22/2015 18:11:56"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/23/2015 00:06:17"
"26","ETS-2-64","6487925B","","RHL","26","","","PS54821RHLR2-R","09/23/2015 06:00:49"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/21/2015 11:23:09"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/21/2015 17:24:03"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/21/2015 23:23:52"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/22/2015 02:24:55"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/22/2015 08:25:52"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/22/2015 14:26:54"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/22/2015 17:27:37"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/22/2015 23:28:51"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/23/2015 02:54:06"
"27","ETS-2-64","6487839B","","RTV","27","","","51980ARTVR-G2K","09/23/2015 05:54:42"
"29","ETS-2-64","6568858D","","RVC300","29","","","25940ARVCR1-G2","09/21/2015 11:58:45"
"29","ETS-2-64","6568858D","","RVC300","29","","","25940ARVCR1-G2","09/21/2015 18:21:33"
"29","ETS-2-64","6568858D","","RVC300","29","","","25942ARVCR1-G2","09/22/2015 05:48:49"
"29","ETS-2-64","6568858D","","RVC300","29","","","25942ARVCR1-G2","09/22/2015 16:15:36"
"29","ETS-2-64","6568858D","","RVC300","29","","","25942ARVCR1-G2","09/22/2015 22:03:21"
"29","ETS-2-64","6568858D","","RVC300","29","","","25940ARVCR1-G2","09/23/2015 04:06:56"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/21/2015 09:50:39"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/21/2015 13:34:54"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/21/2015 17:19:36"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/21/2015 21:04:09"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 00:48:49"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 02:51:19"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 06:35:26"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 09:42:38"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 13:27:19"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 17:12:02"
"30","ETS-2-64","6570845A","","DRC","30","","","S54335ADRCR-G2","09/22/2015 20:55:52"
