"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-2-128","6570242A",NULL,NULL,NULL,"9889","4944.5","69380.83","317158","4693","0","4.57","0.07","0","4.638903858601864"
NULL,"ETS-2-64","6570242A",NULL,NULL,NULL,"2604","1302","69380.83","317158","4693","0","4.57","0.07","0","4.638903858601864"
NULL,"ETS-2-64","6544140B",NULL,NULL,NULL,"15197","7598.5","0","48","3609","0","0","0","0","0"
NULL,"ETS-2-128","6578688B",NULL,NULL,NULL,"124276","62138","67001.71","227477","185996","0","3.4","2.78","0","6.171081305238328"
NULL,"ETM-4-64","6548880A",NULL,NULL,NULL,"207112","103556","132522.91","30993","32248","0","0.23","0.24","0","0.4772080540640105"
NULL,"ETM-5-128","6548880A",NULL,NULL,NULL,"203396","101698","134348.49","109420","223248","0","0.81","1.66","0","2.4761573427434875"
NULL,"ETS-1-64","6509808B",NULL,NULL,NULL,"97231","48615.5","129861.82","0","97231","0","0","0.75","0","0.7487266080207408"
NULL,"ETS-2M-64","6522167C",NULL,NULL,NULL,"1523","761.5","59923.87","26287","1523","0","0.44","0.03","0","0.4640888514042901"
NULL,"ETS-2-64","6523177B",NULL,NULL,NULL,"56910","28455","52894.74","16791","47078","0","0.32","0.89","0","1.2074735597528223"
NULL,"ETM-2-64","6460534B",NULL,NULL,NULL,"12836","6418","79116.46","0","12836","0","0","0.16","0","0.162241839435182"
NULL,"ETS-S-64","6462654A",NULL,NULL,NULL,"7825","3912.5","144879.67","0","7825","0","0","0.05","0","0.05401033837252666"
NULL,"ETM-2-64","6473092B",NULL,NULL,NULL,"92559","46279.5","62785.43","12751","20703","0","0.2","0.33","0","0.5328306264685931"
NULL,"ETS-0-64","6489159B",NULL,NULL,NULL,"57733","28866.5","68579.81","38537","32989","0","0.56","0.48","0","1.0429600198659053"
NULL,"ETS-0-64","6505771B",NULL,NULL,NULL,"108020","54010","0","224739","430160","0","0","0","0","0"
NULL,"ETS-2-64","6505771B",NULL,NULL,NULL,"55264","27632","0","224739","430160","0","0","0","0","0"
NULL,"ETS-0-64","6511094C",NULL,NULL,NULL,"129722","64861","93149.41","34538","110513","0","0.37","1.19","0","1.5571864599035035"
NULL,"ETS-2-64","6505771B",NULL,NULL,NULL,"41088","20544","137222.44","13698","41088","0","0.1","0.3","0","0.3992495688023038"
NULL,"ETM-2-64","6510147A",NULL,NULL,NULL,"92550","46275","70232.71","0","122411","0","0","1.74","0","1.7429343108075994"
NULL,"ETM-4-64","6555613B",NULL,NULL,NULL,"310883","155441.5","203416.22","351820","296525","0","1.73","1.46","0","3.1872827053811146"
NULL,"ETS-S-64","6505620C",NULL,NULL,NULL,"6792","3396","123159.27","0","6792","0","0","0.06","0","0.055148102128244184"
NULL,"ETS-2-64","6547181A",NULL,NULL,NULL,"109052","54526","54652.29","34529","12509","0","0.63","0.23","0","0.8606775672163051"
NULL,"ETS-2-64","6553444B",NULL,NULL,NULL,"114275","57137.5","98700.64","0","30455","0","0","0.31","0","0.30855929606940746"
NULL,"ETS-2-64","6570845A",NULL,NULL,NULL,"143182","71591","88918.36","13819","143182","0","0.16","1.61","0","1.76567584017519"
NULL,"ETS-2-64","6588064A",NULL,NULL,NULL,"5034","2517","0","0","5034","0","0","0","0","0"
NULL,"ETS-1-64","6516230D",NULL,NULL,NULL,"59749","29874.5","99263.5","214870","111647","0","2.16","1.12","0","3.2893964045192847"
NULL,"ETS-S-64","6516230D",NULL,NULL,NULL,"152399","76199.5","99263.5","214870","111647","0","2.16","1.12","0","3.2893964045192847"
NULL,"ETS-2-64","6468723B",NULL,NULL,NULL,"11001","5500.5","115912.08","42317","60994","0","0.37","0.53","0","0.8912876035008603"
NULL,"ETS-S-64","6471907A",NULL,NULL,NULL,"16915","8457.5","57584.54","16915","0","0","0.29","0","0","0.2937420356227557"
NULL,"ETS-1-64","6505620C",NULL,NULL,NULL,"6950","3475","0","0","6950","0","0","0","0","0"
NULL,"ETS-2-64","6554905A",NULL,NULL,NULL,"218043","109021.5","209970.44","27645","106652","0","0.13","0.51","0","0.639599555061179"
NULL,"ETS-2-64","6553054A",NULL,NULL,NULL,"32452","16226","0","6911","25541","0","0","0","0","0"
NULL,"ETS-0-64","6554905A",NULL,NULL,NULL,"106765","53382.5","0","10105","96660","0","0","0","0","0"
NULL,"ETS-S-64","6515889A",NULL,NULL,NULL,"17472","8736","103199.08","0","17472","0","0","0.17","0","0.16930383487914816"
NULL,"ETS-1-64","6504079A",NULL,NULL,NULL,"148981","74490.5","221384.83","440158","99312","0","1.99","0.45","0","2.436797498726539"
NULL,"ETS-2-64","6525230A",NULL,NULL,NULL,"49535","24767.5","786867.52","308847","24823","0","0.39","0.03","0","0.4240485107327851"
NULL,"ETS-2-64","6566339A",NULL,NULL,NULL,"49639","24819.5","300388.38","74441","49639","0","0.25","0.17","0","0.41306524573287423"
NULL,"ETS-0-64","6514765A",NULL,NULL,NULL,"24731","12365.5","337221.82","0","24731","0","0","0.07","0","0.07333748450797163"
NULL,"ETS-2-64","6574499A",NULL,NULL,NULL,"12370","6185","359513.04","0","12370","0","0","0.03","0","0.034407653196668476"
NULL,"ETS-2-128","6530035A",NULL,NULL,NULL,"154624","77312","198668.09","51042","124279","0","0.26","0.63","0","0.8824819325539396"
NULL,"ETS-S-64","6542852A",NULL,NULL,NULL,"24882","12441","94171.79","0","24882","0","0","0.26","0","0.2642192529206464"
NULL,"ETM-2-64","6521765A",NULL,NULL,NULL,"133651","66825.5","351412.84","0","133651","0","0","0.38","0","0.3803247485208565"
NULL,"ETS-2-64","6575703A",NULL,NULL,NULL,"20748","10374","137281.69","0","20748","0","0","0.15","0","0.15113450307903406"
NULL,"ETS-0-64","6506370A",NULL,NULL,NULL,"24837","12418.5","364126.32","0","24837","0","0","0.07","0","0.06820984541848005"
NULL,"ETS-2-64","6576907B",NULL,NULL,NULL,"23506","11753","200903.74","0","23506","0","0","0.12","0","0.11700130619768453"
NULL,"ETS-0-64","6506370A",NULL,NULL,NULL,"10009","5004.5","436173.91","0","10009","0","0","0.02","0","0.022947268900150402"
NULL,"ETS-2-64","6506370A",NULL,NULL,NULL,"68200","34100","436173.91","0","68200","0","0","0.16","0","0.1563596502138333"
NULL,"ETS-2-64","6516231C",NULL,NULL,NULL,"12418","6209","156307.8","145364","62024","0","0.93","0.4","0","1.326792392957997"
