ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1250,ETS-0-64,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1250,ETS-1-64,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1250,ETS-2-64,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1250,ETS-2M-64,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1250,ETS-2-128,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1250,ETS-4M-128,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1250,ETS-S-64,6493741B,1,1
QFN25,0695,1,POSTBOND,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2Q-64:6493741B,1250,ETS-2Q-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1250,ETS-0-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1250,ETS-1-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1250,ETS-2-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1250,ETS-2M-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1250,ETS-2-128,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1250,ETS-4M-128,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1250,ETS-S-64,6493741B,1,1
QFN25,1400,1,MOLD,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2Q-64:6493741B,1250,ETS-2Q-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1250,ETS-0-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1250,ETS-1-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1250,ETS-2-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1250,ETS-2M-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1250,ETS-2-128,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1250,ETS-4M-128,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1250,ETS-S-64,6493741B,1,1
QFN25,1410,1,MOLDCURE,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2Q-64:6493741B,1250,ETS-2Q-64,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,,ETS-0-64:6493741B,1250,ETS-0-64,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-1-64:6493741B,1250,ETS-1-64,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-64:6493741B,1250,ETS-2-64,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2M-64:6493741B,1250,ETS-2M-64,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-2-128:6493741B,1250,ETS-2-128,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-4M-128:6493741B,1250,ETS-4M-128,6493741B,1,1
QFN25,1420,1,DEFLASH,,03054DRCR1-G2Y,3X3,DRC300LLF,alt,ETS-S-64:6493741B,1250,ETS-S-64,6493741B,1,1
