machine_instance,Tooling_Family
CLFTEA01,6471907A                                     
CLFTEA02,6487925B                                     
CLFTEA03,6505771B                                     
CLFTEA04,ASM4198                                      
CLFTEA05,6555551A                                     
CLFTEA07,6526024A                                     
CLFTEA08,6514600A                                     
CLFTEA09,6510697B                                     
CLFTEA10,6517950B                                     
CLFTEA12,6487925B                                     
CLFTEA13,6511094C                                     
CLFTEA14,6529762A                                     
CLFTEA15,6556725A                                     
CLFTEA16,6529253A                                     
CLFTEA17,6505620C                                     
CLFTEA18,6517701E                                     
CLFTEA19,6526546B                                     
CLFTEA20,6568858D                                     
CLFTEA22,6523514A                                     
CLFTEA23,6514494A                                     
CLFTEA25,6525585A                                     
CLFTEA26,6491839B                                     
CLFTEA27,6512302B                                     
CLFTEA28,6487925B                                     
CLFTEA29,6525585A                                     
CLFTEA30,6524040A                                     
CLFTEA31,6545253A                                     
CLFTEA32,6542741A                                     
CLFTEA33,6487839B                                     
CLFTEA34,6498316A                                     
CLFTEA35,6543648B                                     
CLFTEA36,6479550B                                     
CLFTEA37,6506370A                                     
CLFTEA37,6577359A                                     
CLFTEA38,6525585A                                     
CLFTEA39,6528917B                                     
CLFTEA40,6513992A                                     
CLFTEA41,6547181A                                     
CLFTEA42,6555639A                                     
CLFTEA43,6568521A                                     
CLFTEA44,6522503A                                     
CLFTEA45,6529675B                                     
CLFTEA46,6546767B                                     
CLFTEA47,6571495A                                     
CLFTEA48,6575258A                                     
CLFTEA49,6487925B                                     
CLFTEA50,6571495A                                     
CLFTEA51,6525600B                                     
CLFTEA52,6579768C                                     
CLFTEA53,6579768C                                     
CLFTEA54,6579768C                                     
CLFTEA55,6582042B                                     
CLFTEA56,6543758C                                     
CLFTEA57,6570774A                                     
CLFTEA58,6522212C                                     
CLFTEA59,6579192B                                     
CLFTEA60,6578688B                                     
CLFTEA61,6512615D                                     
CLFTEA62,6570729C                                     
CLFTEA64,6479550B                                     
CLFTEA65,6569306A                                     
CLFTEA66,6544140B                                     
CLFTEA67,6516394A                                     
CLFTEA68,6525585A                                     
CLFTEA69,6541533C                                     
CLFTEA70,6570774A                                     
CLFTEA71,6487925B                                     
CLFTEA72,6547181A                                     
CLFTEA73,6554905A                                     
CLFTEA74,6520958B                                     
CLFTEA75,6544140B                                     
CLFTEA76,6525239A                                     
CLFTEA77,6512615D                                     
CLFTEA78,6560309A                                     
CLFTEA79,6497193A                                     
CLFTEA80,6513476C                                     
CLFTEA81,6505771B                                     
CLFTEA82,6487925B                                     
CLFTEA83,6525585A                                     
CLFTEA84,6525585A                                     
CLFTEA85,6568858D                                     
CLFTEA86,6518552B                                     
CLFTEA87,6494476A                                     
CLFTEA88,6518677A                                     
CLFTEA89,6579768C                                     
CLFTEA90,6552808A                                     
CLFTEA92,6579768C                                     
CLFTEA93,6582044D                                     
CLFTEA94,6582044D                                     
CLFTEA96,6506370A                                     
CLFTEA96,6577359A                                     
