machine_instance,Tooling_Family,Machine_Family,Cerification
CLFTEA09,6510697B                                     ,ETS-2-128                                    ,1
CLFTEA87,6494476A                                     ,ETM-2-64                                     ,1
CLFTEA08,6514600A                                     ,ETS-2-128                                    ,1
CLFTEA03,6505771B                                     ,ETS-0-64                                     ,1
CLFTEA33,6487839B                                     ,ETS-2-64                                     ,1
CLFTEA71,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA88,6518677A                                     ,ETS-0-64                                     ,1
CLFTEA64,6479550B                                     ,ETS-0-64                                     ,1
CLFTEA55,6582042B                                     ,ETS-200FT                                    ,1
CLFTEA34,6498316A                                     ,ETS-2-64                                     ,1
CLFTEA36,6479550B                                     ,ETS-0-64                                     ,1
CLFTEA23,6514494A                                     ,ETS-2-64                                     ,1
CLFTEA22,6523514A                                     ,ETS-0-64                                     ,1
CLFTEA67,6516394A                                     ,ETS-1-64                                     ,1
CLFTEA44,6522503A                                     ,ETS-2-64                                     ,1
CLFTEA77,6512615D                                     ,ETS-2-64                                     ,1
CLFTEA17,6505620C                                     ,ETS-0-64                                     ,1
CLFTEA81,6505771B                                     ,ETS-0-64                                     ,1
CLFTEA76,6525239A                                     ,ETS-0-64                                     ,1
CLFTEA80,6513476C                                     ,ETS-2-64                                     ,1
CLFTEA35,6543648B                                     ,ETS-2-64                                     ,2
CLFTEA31,6545253A                                     ,ETS-2-64                                     ,1
CLFTEA01,6471907A                                     ,ETS-0-64                                     ,2
CLFTEA04,ASM4198                                      ,ETS-0M-64                                    ,1
CLFTEA32,6542741A                                     ,ETS-2-64                                     ,1
CLFTEA79,6497193A                                     ,ETS-0-64                                     ,1
CLFTEA16,6529253A                                     ,ETS-0-64                                     ,1
CLFTEA12,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA27,6512302B                                     ,ETS-0-64                                     ,1
CLFTEA25,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA46,6546767B                                     ,ETM-4-64                                     ,1
CLFTEA40,6513992A                                     ,ETM-0-64                                     ,1
CLFTEA19,6526546B                                     ,ETS-0-64                                     ,2
CLFTEA26,6491839B                                     ,ETS-1-64                                     ,1
CLFTEA30,6524040A                                     ,ETM-2-64                                     ,1
CLFTEA13,6511094C                                     ,ETS-0-64                                     ,1
CLFTEA18,6517701E                                     ,ETS-2-64                                     ,1
CLFTEA49,6487925B                                     ,ETS-2-64                                     ,1
CLFTEA66,6544140B                                     ,ETS-2-64                                     ,1
CLFTEA39,6528917B                                     ,ETS-2-64                                     ,1
CLFTEA47,6571495A                                     ,ETS-2-64                                     ,1
CLFTEA73,6554905A                                     ,ETS-2-64                                     ,1
CLFTEA15,6556725A                                     ,ETM-2-64                                     ,1
CLFTEA94,6582044D                                     ,ETS-200FT                                    ,1
CLFTEA28,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA07,6526024A                                     ,ETS-0-64                                     ,2
CLFTEA57,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA70,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA69,6541533C                                     ,ETS-2-64                                     ,1
CLFTEA90,6552808A                                     ,ETS-2-64                                     ,1
CLFTEA02,6487925B                                     ,ETS-2-64                                     ,1
CLFTEA78,6560309A                                     ,ETM-2-64                                     ,1
CLFTEA93,6582044D                                     ,ETS-200FT                                    ,1
CLFTEA75,6544140B                                     ,ETS-2-64                                     ,1
CLFTEA42,6555639A                                     ,ETS-2-64                                     ,2
CLFTEA10,6517950B                                     ,ETM-0M-64                                    ,2
CLFTEA10,6517950B                                     ,ETM-0M-64                                    ,1
CLFTEA65,6569306A                                     ,ETS-2-64                                     ,1
CLFTEA86,6518552B                                     ,ETS-2-64                                     ,1
CLFTEA72,6547181A                                     ,ETS-2-64                                     ,1
CLFTEA68,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA58,6522212C                                     ,ETS-2-64                                     ,1
CLFTEA14,6529762A                                     ,ETM-0M-64                                    ,1
CLFTEA84,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA37,6577359A                                     ,E88-1-0211010                                ,1
CLFTEA37,6506370A                                     ,ETS-0-64                                     ,1
CLFTEA20,6568858D                                     ,ETS-2-64                                     ,1
CLFTEA41,6547181A                                     ,ETS-2-64                                     ,1
CLFTEA96,6577359A                                     ,E88-1-0211010                                ,1
CLFTEA96,6506370A                                     ,ETS-0-64                                     ,1
CLFTEA51,6525600B                                     ,ETS-0-64                                     ,2
CLFTEA38,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA85,6568858D                                     ,ETS-2-64                                     ,1
CLFTEA05,6555551A                                     ,ETS-0-64                                     ,1
CLFTEA54,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA43,6568521A                                     ,ETS-2-64                                     ,1
CLFTEA52,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA60,6578688B                                     ,ETS-2-64                                     ,1
CLFTEA74,6520958B                                     ,ETS-2-64                                     ,1
CLFTEA92,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA83,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA61,6512615D                                     ,ETS-2-64                                     ,1
CLFTEA82,6487925B                                     ,ETS-2-64                                     ,1
CLFTEA56,6543758C                                     ,ETS-2-64                                     ,1
CLFTEA62,6570729C                                     ,ETS-2-64                                     ,1
CLFTEA53,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA45,6529675B                                     ,ETM-2M-64                                    ,1
CLFTEA29,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA89,6579768C                                     ,ETM-5-128                                    ,1
CLFTEA59,6579192B                                     ,ETS-2-64                                     ,1
CLFTEA48,6575258A                                     ,ETS-2-64                                     ,1
CLFTEA50,6571495A                                     ,ETS-2-64                                     ,1
