LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
8041251,AC7562SDSCR-UC,3X3           ,DSC          ,     13178,      1158,8041251     ,4420,1,        10.96,       9.28,     10.49,                   ,11/16/2015 02:06:10,
8041250,AC7562SDSCR-UC,3X3           ,DSC          ,     10298,      1158,8041250     ,4420,1,        10.96,       9.28,     10.49,                   ,11/16/2015 02:06:10,
8047075,AC7562SDSCR-UC,3X3           ,DSC          ,     14011,       962,8047075     ,4420,1,        10.96,       9.28,      8.53,                   ,11/16/2015 02:06:10,
8047074,AC7562SDSCR-UC,3X3           ,DSC          ,     12770,       962,8047074     ,4420,1,        10.96,       9.28,      8.53,                   ,11/16/2015 02:06:10,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,      8685,     17875,5491459     ,4410,1,        15.98,      10.83,    174.19,                   ,11/16/2015 02:06:10,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,     11443,     17875,5491458     ,4410,1,        15.98,      10.83,    174.19,                   ,11/16/2015 02:06:10,
5771421,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13433,     10171,5771421     ,4410,1,         14.1,        2.6,      90.8,                   ,11/16/2015 02:06:10,
5775940,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13417,     10038,5775940     ,4410,1,         14.1,        2.6,     89.46,                   ,11/16/2015 02:06:10,
5934343,PS53318DQPR-LN,6X5           ,DQPCLIP      ,        77,      9649,5934343     ,4410,1,        20.02,      13.08,     90.14,                   ,11/16/2015 02:06:10,
5774017,BQ25040DQCR-G2,3X2           ,DQCST        ,     17260,      9436,5774017     ,4410,1,        15.78,      10.83,        90,                   ,11/16/2015 02:06:10,
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,     15108,      9085,5785851     ,4410,1,        16.19,      10.83,     86.08,                   ,11/16/2015 02:06:10,
5849750,PS65168RSBR1-R,5X5           ,RSB          ,      7876,      6715,5849750     ,4410,1,         13.2,      12.04,     66.58,                   ,11/16/2015 02:06:10,
5861791,TPS2388RTQR-C ,8X8           ,RTQVTT       ,      3262,      6595,5861791     ,4410,1,        16.99,      13.16,     62.71,                   ,11/16/2015 02:06:10,
5903374,401032DSGR1-G2,2X2           ,DSGST        ,     24730,      5568,5903374     ,4410,1,         17.7,      11.91,     50.48,                   ,11/16/2015 02:06:10,
5975209,401032DSGR1-G2,2X2           ,DSGST        ,      1746,      5434,5975209     ,4410,1,         17.7,      11.91,     49.14,                   ,11/16/2015 02:06:10,
