Device,Target amount,Finished amount,Shortage
PS65168RSBR1-R,78940,86796,-7856
S65175RSHR2-UN,100032,79740,20292
PS63031DSKR-CK,563857,300475,263382
PS63031DSKT-CK,13685,12351,1334
PS63030DSKR-CK,168042,104241,63801
PS25810RVCT-G2,21326,21326,0
1306051RHRR-G2,221101,156183,64918
TPS65197RUYR-G,147245,126848,20397
1108026RHDR1-R,105296,0,105296
PS54678RTER-G2,27600,30108,-2508
406035RGER-G2Y,158489,27324,131165
S65177RHAR1-G2,162866,0,162866
BQ25890RTWR-G2,1416441,747743,668698
7A8300RGWR-G2K,159365,165928,-6563
24250RGER1-G2Y,137096,47691,89405
