Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5932890,S65177RHAR1-G2,Y,N,N,5145,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936599,S65177RHAR1-G2,Y,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5936596,S65177RHAR1-G2,Y,N,N,5166,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5988061,S65177RHAR1-G2,Y,N,N,5138,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5988062,S65177RHAR1-G2,Y,N,N,5149,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5988058,S65177RHAR1-G2,Y,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8002718,S65177RHAR1-G2,Y,N,N,3194,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8003419,S65177RHAR1-G2,Y,N,N,5167,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8004429,S65177RHAR1-G2,Y,N,N,5162,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8005549,PS61087DRCR-LY,N,N,N,9763,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8005548,PS61087DRCR-LY,N,N,N,16564,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8006279,S65177RHAR1-G2,Y,N,N,2591,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8006278,S65177RHAR1-G2,Y,N,N,3504,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8006273,S65177RHAR1-G2,Y,N,N,5178,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8006274,S65177RHAR1-G2,Y,N,N,5096,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025560,S65177RHAR1-G2,Y,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025558,S65177RHAR1-G2,Y,N,N,5089,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025563,S65177RHAR1-G2,Y,N,N,5043,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025557,S65177RHAR1-G2,Y,N,N,5160,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025561,S65177RHAR1-G2,Y,N,N,5175,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025559,S65177RHAR1-G2,Y,N,N,5164,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025564,S65177RHAR1-G2,Y,N,N,2586,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8025562,S65177RHAR1-G2,Y,N,N,5157,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029163,S65177RHAR1-G2,Y,N,N,5097,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029147,S65177RHAR1-G2,Y,N,N,5122,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029151,S65177RHAR1-G2,Y,N,N,5172,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029179,S65177RHAR1-G2,Y,N,N,5140,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029152,S65177RHAR1-G2,Y,N,N,5161,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029146,S65177RHAR1-G2,Y,N,N,5131,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029148,S65177RHAR1-G2,Y,N,N,5183,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029155,S65177RHAR1-G2,Y,N,N,2582,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029150,S65177RHAR1-G2,Y,N,N,5162,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029178,S65177RHAR1-G2,Y,N,N,5142,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8029149,S65177RHAR1-G2,Y,N,N,5087,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8031798,S65177RHAR1-G2,Y,N,N,2575,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8031790,S65177RHAR1-G2,Y,N,N,5151,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8031795,S65177RHAR1-G2,Y,N,N,5170,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8032082,1212006RGRR-G2,N,N,N,7467,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037469,PS61087DRCR-LY,N,N,N,16130,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037465,PS61087DRCR-LY,N,N,N,16731,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037466,PS61087DRCR-LY,N,N,N,16845,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037468,PS61087DRCR-LY,N,N,N,16907,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037464,PS61087DRCR-LY,N,N,N,15672,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037472,PS61087DRCR-LY,N,N,N,9039,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037467,PS61087DRCR-LY,N,N,N,16840,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037456,PS61087DRCR-LY,N,N,N,16848,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037470,PS61087DRCR-LY,N,N,N,16854,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8037473,PS61087DRCR-LY,N,N,N,8091,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8035488,1212006RGRR-G2,N,N,N,7520,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8035487,1212006RGRR-G2,N,N,N,14023,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8035484,1212006RGRR-G2,N,N,N,15017,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8035485,1212006RGRR-G2,N,N,N,15010,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8035486,1212006RGRR-G2,N,N,N,15103,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038975,1212006RGRR-G2,N,N,N,15108,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038978,1212006RGRR-G2,N,N,N,15072,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038973,1212006RGRR-G2,N,N,N,15099,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038980,1212006RGRR-G2,N,N,N,7513,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038974,1212006RGRR-G2,N,N,N,15097,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038979,1212006RGRR-G2,N,N,N,13548,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8038977,1212006RGRR-G2,N,N,N,15047,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8043376,PS61087DRCR-LY,N,N,N,16867,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8043373,PS61087DRCR-LY,N,N,N,16923,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
8043378,PS61087DRCR-LY,N,N,N,8455,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
