"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
"STD  ","ETS-2-64","6578688B","4.5X3.5       ","D97374Q4M-LNKE","DPC          ","106503","53251.5","67001.71","85297","21206","0","1.27","0.32","0","1.5895564456489244"
"STD  ","ETS-2-64","6578688B","4.5X3.5       ","SD59924Q4M-LNE","DPC          ","52517","26258.5","0","44793","7724","0","0","0","0","0"
"CLIP ","ETS-2-64","6522167C","6X5           ","53355DQPR-CQN#","DQPCLIP      ","2753","1376.5",NULL,"2753","0","0","0","0","0","0"
"CLIP ","ETS-2-64","6522167C","6X5           ","PS53318DQPR-LN","DQPCLIP      ","139256","69628","61310.73","46621","103727","0","0.76","1.69","0","2.452229813606851"
"CLIP ","ETS-2-64","6522167C","6X5           ","PS53319DQPR-LN","DQPCLIP      ","7556","3778","59923.87","19254","7556","0","0.32","0.13","0","0.4474010106490118"
"CLIP ","ETS-2-64","6522167C","6X5           ","S53353DQPR2-CN","DQPCLIP      ","61430","30715","58901.78","0","61430","0","0","1.04","0","1.0429226417266169"
"STD  ","ETS-S-64","6462654A","3X3           ","PA6204A1DRBR-L","DRB          ","103259","51629.5","144879.67","0","103259","0","0","0.71","0","0.712722495847761"
"STD  ","ETS-S-64","6462654A","3X3           ","PA6211A1DRBR-L","DRB          ","40227","20113.5","127257.48","0","40227","0","0","0.32","0","0.31610715535149686"
"STD  ","ETS-0-64","6489159B","3X3           ","TPS73701DRBR-B","DRB          ","144485","72242.5","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"STD  ","ETS-2-64","6489159B","3X3           ","TPS73701DRBR-B","DRB          ","137389","68694.5","68579.81","125880","428885","0","1.84","6.25","0","8.089334164092902"
"STD  ","ETS-0-64","6529571A","3X3           ","TPS54061DRBR-C","DRB          ","13806","6903","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"STD  ","ETS-2M-64","6529571A","3X3           ","TPS54061DRBR-C","DRB          ","122575","61287.5","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"STD  ","ETS-2M-64","6529571A","3X3           ","TPS54061DRBT-C","DRB          ","7206","3603","70820.21","0","7206","0","0","0.1","0","0.10175061610238094"
"STD  ","ETS-1M-64","6512302B","3X3           ","A8001DRBR2-G2K","DRB300       ","13819","6909.5",NULL,"162451","445668","0","0","0","0","0"
"STD  ","ETS-2-64","6512302B","3X3           ","A8001DRBR2-G2K","DRB300       ","240310","120155",NULL,"162451","445668","0","0","0","0","0"
"STD  ","ETS-2-64","6512302B","3X3           ","S7A8101DRBR-G2","DRB300       ","6761","3380.5","30575.96","0","15101","0","0","0.49","0","0.49388473820609397"
"STD  ","ETS-2-64","6512302B","3X3           ","001DRBR1-G2QN#","DRBST300     ","2294","1147",NULL,"0","2294","0","0","0","0","0"
"STD  ","ETS-0-64","6505620C","3X3           ","561AQDRCRQ1-G2","DRC          ","73671","36835.5","0","142710","0","0","0","0","0","0"
"STD  ","ETS-0-64","6523514A","3X3           ","PS2554DRCR1-G2","DRC          ","57672","28836","88046.09","27496","30176","0","0.31","0.34","0","0.6550205693404443"
"STD  ","ETS-0-64","6523514A","3X3           ","TPS2555DRCR-C","DRC          ","103251","51625.5","88046.09","34424","82644","0","0.39","0.94","0","1.32962179240441"
"STD  ","ETS-2-64","6547181A","3X3           ","259270DRCR-G2K","DRC          ","32508","16254",NULL,"32508","0","0","0","0","0","0"
"STD  ","ETS-2-64","6547181A","3X3           ","259271DRCR-G2K","DRC          ","18670","9335",NULL,"18670","0","0","0","0","0","0"
"STD  ","ETS-2-64","6547181A","3X3           ","2592AADRCR-G2K","DRC          ","32221","16110.5","56572.06","0","32221","0","0","0.57","0","0.5695567741390362"
"STD  ","ETS-2-64","6547181A","3X3           ","2592BADRCR-G2K","DRC          ","66721","33360.5","56074.82","11514","55207","0","0.21","0.98","0","1.189856695037095"
"STD  ","ETS-2-64","6547181A","3X3           ","2592ZADRCR-G2K","DRC          ","13824","6912","51641.5","13824","0","0","0.27","0","0","0.267691682077399"
"STD  ","ETS-2-64","6547181A","3X3           ","592ALDRCR1-G2K","DRC          ","13628","6814","56409.34","0","20521","0","0","0.36","0","0.36378727352597995"
"STD  ","ETS-2-64","6570845A","3X3           ","S54335ADRCR-G2","DRC          ","139031","69515.5","88918.36","34471","104560","0","0.39","1.18","0","1.5635803449366363"
"STD  ","ETS-2-64","6506727A","3X3           ","TPS40193DRCR-B","DRCLLF       ","59571","29785.5","92409.87","27339","110085","0","0.3","1.19","0","1.487113876472286"
"STRIP","ETS-2-64","6554905A","3X3           ","PS74801DRCR2-B","DRCST        ","448929","224464.5","217915.27","235333","268826","0","1.08","1.23","0","2.3135551721547554"
"STRIP","ETS-2-64","6554905A","3X3           ","TPS74701DRCR-B","DRCST        ","7010","3505","202025.62","7010","0","0","0.03","0","0","0.03469856941906675"
"STRIP","ETS-2-64","6525230A","2X2           ","TPS2553DRVR-L","DRVST        ","513342","256671","756144.19","236373","301709","0","0.31","0.4","0","0.7116129530797559"
"STD  ","ETM-2-64","6524788B","2X2           ","94522DRVR1-G2K","DRVST300     ","170848","85424","185472","0","170848","0","0","0.92","0","0.921152518978606"
"STRIP","ETS-2-128","6530035A","3X3           ","1211DSCR1-G2YK","DSC300ST     ","378409","189204.5","208380.42","214132","392233","0","1.03","1.88","0","2.9098943173259753"
"STRIP","ETS-2-128","6530035A","3X3           ","1212DSCR2-G2YK","DSC300ST     ","45537","22768.5","202752","0","45537","0","0","0.22","0","0.22459457859848486"
"STRIP","ETS-1M-64","6506370A","2X2           ","401032DSGR1-G2","DSGST        ","252387","126193.5","266738.25","24823","301962","0","0.09","1.13","0","1.2251148832235348"
"STRIP","ETS-1M-64","6506370A","2X2           ","S62067DSGR1-G2","DSGST        ","157153","78576.5","364126.32","124181","227766","0","0.34","0.63","0","0.966551937250787"
"STRIP","ETS-1M-64","6506370A","2X2           ","TLV62084DSGR-R","DSGST        ","245798","122899","411588.35","0","245798","0","0","0.6","0","0.5971937738276606"
"STRIP","ETS-S-64","6506370A","2X2           ","401032DSGR1-G2","DSGST        ","74398","37199","266738.26","24823","301962","0","0.09","1.13","0","1.2251148372940575"
"STRIP","ETS-S-64","6506370A","2X2           ","S62067DSGR1-G2","DSGST        ","169982","84991","364126.32","124181","227766","0","0.34","0.63","0","0.966551937250787"
"STRIP","ETS-2-128","6576907B","2X2           ","Q24314ADSGR-G2","DSGST        ","223496","111748","195257.98","0","501285","0","0","2.57","0","2.567295841122601"
"STRIP","ETS-2-64","6576907B","2X2           ","BQ24311DSGR-G2","DSGST        ","96167","48083.5","200903.74","0","96167","0","0","0.48","0","0.47867202472188924"
"STRIP","ETS-2-64","6576907B","2X2           ","Q24314ADSGR-G2","DSGST        ","277789","138894.5","195257.98","0","501285","0","0","2.57","0","2.567295841122601"
"STRIP","ETS-0-64","6497193A","2.5X2.5       ","PS63030DSKR-CK","DSKST        ","104241","52120.5","205233.9","104241","0","0","0.51","0","0","0.5079131663921019"
"STRIP","ETS-0-64","6497193A","2.5X2.5       ","PS63031DSKR-CK","DSKST        ","270381","135190.5","198364.64","136622","163853","0","0.69","0.83","0","1.5147608969017865"
"STRIP","ETS-0-64","6497193A","2.5X2.5       ","PS63031DSKT-CK","DSKST        ","12351","6175.5","198364.64","0","12351","0","0","0.06","0","0.06226412126677416"
"STRIP","ETS-2-64","6497193A","2.5X2.5       ","PS63031DSKR-CK","DSKST        ","30094","15047","198364.64","136622","163853","0","0.69","0.83","0","1.5147608969017865"
"STD  ","ETS-2-64","6525585A","4X4           ","24296MRGER1-G2","RGE300       ","10075","5037.5","65579.49","10072","10075","0","0.15","0.15","0","0.30721495394367965"
