"MI","MF","PKG","LB","TF","NROWS","SUM_QTY","RNUM","SUM_PPH","APPROX","PKGTYPE","PIN","CAP_PER_DAY","WIP_POST_WB","WIP_FT1","WIP_FT2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","TOTAL_WIP"
"CLFTEA11","ETS-2M-64","7X5","6528917C","6528917C","13","46143","1","971","47.52","STD  ","RVFCLIPT     ","20621.08","163429","462658","0","7.93","22.44","0","30.361503859157715"
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","23","255334","1","21521","11.86","STD  ","RHL          ","59056.94","88556","173011","0","1.5","2.93","0","4.429064560405601"
"CLFTEA12","ETS-2-64","3.5X3.5","6487925B                                     ","6487925B","23","255334","1","21521","11.86","STD  ","RGY          ","69929.46","212474","564607","0","3.04","8.07","0","11.112355221962245"
"CLFTEA13","ETS-1-64","4X4","6479465A","6479465A","11","98978","1","3359","29.47","STD  ","RTJ          ","50617.81","0","98978","0","0","1.96","0","1.955398702551533"
"CLFTEA14","ETS-2-64","3.5X3.5","6566885A","6566885A","8","113267","1","2457","46.1","STD  ","RGY300       ","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"CLFTEA15","ETS-S-64","2X2","6506370A","6506370A","10","244380","1","43436","5.63","STRIP","DSGST        ","334909.9","24823","301962","0","0.07","0.9","0","0.9757400423218304"
"CLFTEA15","ETS-S-64","3X3","6513992B","6462654A","12","143486","2","11339","12.65","STD  ","RGTLLF       ","0","0","251993","0","0","0","0","0"
"CLFTEA15","ETS-S-64","3X3","6462654A","6462654A","12","143486","2","11339","12.65","STD  ","DRB          ","140474.12","0","103259","0","0","0.74","0","0.7350749020531326"
"CLFTEA15","ETS-S-64","3X3","6513992B","6513992B","1","16676","3","1250","13.34","STD  ","RGTLLF       ","0","0","251993","0","0","0","0","0"
"CLFTEA15","ETS-S-64","3X3","6462654A","6513992B","1","16676","3","1250","13.34","STD  ","DRB          ","140474.12","0","103259","0","0","0.74","0","0.7350749020531326"
"CLFTEA17","ETS-0-64","3X3","6505620C                                     ","6505620C","6","73671","1","1250","58.94","STD  ","DRC          ","0","142710","0","0","0","0","0","0"
"CLFTEA18","ETS-2-64","4X4","6525585A","6525585A","46","371415","1","24506","15.16","STD  ","RGELLF       ","60916.13","0","9969","0","0","0.16","0","0.16365123654440952"
"CLFTEA19","ETS-2-64","4X4","6526546B                                     ","6526546B","13","126848","1","2661","47.67","STD  ","RUY          ","63243.95","79304","159917","0","1.25","2.53","0","3.7825120031244097"
"CLFTEA2","ETS-1-64","4X4","6494708A","6494708A","12","94973","1","5888","16.13","STD  ","RSA300       ","47517.61","18237","21366","0","0.38","0.45","0","0.8334383821071809"
"CLFTEA20","ETS-S-64","3X3","6513992A","6513992A","14","198540","1","18125","10.95","STD  ","RGTLLF       ","102084.92","109701","291360","0","1.07","2.85","0","3.928699753107511"
"CLFTEA22","ETS-0-64","3X3","6523514A","6523514A","13","160923","1","7338","21.93","STD  ","DRC          ","88046.09","27496","30176","0","0.31","0.34","0","0.6550205693404443"
"CLFTEA23","ETS-2-64","2X2","6525230A","6525230A","22","513342","1","31506","16.29","STRIP","DRVST        ","756144.19","236373","301709","0","0.31","0.4","0","0.7116129530797559"
"CLFTEA23","ETS-2-64","4X4","6525585A                                     ","6525585A","27","269142","2","24506","10.98","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA24","ETM-2-64","3.5X3.5","6566885A","6566885A","9","117845","1","2457","47.96","STD  ","RGY300       ","58485.72","125657","291309","0","2.15","4.98","0","7.129364227712337"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","43","378513","1","24506","15.45","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA25","ETS-2-64","4X4","6525585A                                     ","6525585A","43","378513","1","24506","15.45","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA26","ETS-2-64","4X4","6571495A                                     ","6571495A","12","120032","1","15269","7.86","STD  ","RUY300       ","54670.96","60280","204112","0","1.1","3.73","0","4.836059216812728"
"CLFTEA27","ETS-2-64","3X3","6512302B                                     ","6512302B","10","127710","1","6112","20.89","STD  ","DRB300       ",NULL,"162451","445668","0","0","0","0","0"
"CLFTEA29","ETS-2-64","4X4","6525585A                                     ","6525585A","43","378567","1","24506","15.45","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA29","ETS-2-64","4X4","6525585A                                     ","6525585A","43","378567","1","24506","15.45","STD  ","RGE300LLF    ","60916.13","240418","34663","0","3.95","0.57","0","4.515733353382758"
"CLFTEA3","ETS-0-64","2.5X2.5","6497193A","6497193A","17","386973","1","25081","15.43","STRIP","DSKST        ","200385.01","104241","0","0","0.52","0","0","0.5202035820942894"
"CLFTEA3","ETS-0-64","3X3","6529571A","6529571A","1","13806","2","5392","2.56","STD  ","DRB          ","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"CLFTEA30","ETS-2-64","3X3","6524040A","6524040A","7","73044","1","5237","13.95","STD  ","RTE300       ","0","315710","134528","0","0","0","0","0"
"CLFTEA31","ETS-2-64","3X3","6484140A","6484140A","16","211027","1","16222","13.01","STD  ","RGTLLF       ","81721.57","0","19465","0","0","0.24","0","0.2381868091863629"
"CLFTEA31","ETS-2-64","3X3","6484140A","6484140A","16","211027","1","16222","13.01","STD  ","RGT300LLF    ","89186.83","0","113635","0","0","1.27","0","1.274123096425784"
"CLFTEA32","ETS-2-128","3X3","6542741A                                     ","6542741A","17","221111","1","8849","24.99","STRIP","RGTST        ","107404.51","62185","499266","0","0.58","4.65","0","5.227443428586007"
"CLFTEA33","ETS-2-64","5X5","6487839B","6487839B","10","61961","1","3988","15.54","STD  ","RTV          ","31838.99","125219","23196","0","3.93","0.73","0","4.661422991118751"
"CLFTEA34","ETS-2-64","7X5","6528917C","6528917C","17","46444","1","971","47.83","STD  ","RVFCLIPT     ","20621.08","163429","462658","0","7.93","22.44","0","30.361503859157715"
"CLFTEA35","ETS-2M-64","3X3","6529571A","6529571A","11","129781","1","5392","24.07","STD  ","DRB          ","70820.21","0","136381","0","0","1.93","0","1.925735605697865"
"CLFTEA36","ETS-2-64","3X3","6524040A","6524040A","1","13754","1","5237","2.63","STD  ","RTE300       ","0","315710","134528","0","0","0","0","0"
"CLFTEA36","ETS-2-64","5.5X3.5","6515577B","6515577B","19","105311","2","4378","24.05","STD  ","RGY          ","51953.65","17271","113739","0","0.33","2.19","0","2.521670758454892"
"CLFTEA37","ETS-2-128","3X3","6530035A","6530035A","32","423946","1","17131","24.75","STRIP","DSC300ST     ","207676.87","214132","392233","0","1.03","1.89","0","2.919752209285512"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","44","361824","1","24506","14.76","STD  ","RGE300LLF    ","60916.13","144517","231651","0","2.37","3.8","0","6.175178889400886"
"CLFTEA38","ETS-2-64","4X4","6525585A                                     ","6525585A","44","361824","1","24506","14.76","STD  ","RGELLF       ","60916.13","389496","1697943","0","6.39","27.87","0","34.267426377873974"
"CLFTEA39","ETS-2-64","6X5","6522167C","6522167C","20","104419","1","9298","11.23","CLIP ","DQPCLIP      ","60784.38","46621","103727","0","0.77","1.71","0","2.473464399900106"
"CLFTEA4","ETS-1M-64","2X2","6506370A","6506370A","41","901136","1","43436","20.75","STRIP","DSGST        ","338596.49","24823","301962","0","0.07","0.89","0","0.9651163247439453"
"CLFTEA4","ETS-1M-64","3X3","6512302B                                     ","6512302B","1","13819","2","6112","2.26","STD  ","DRB300       ",NULL,"162451","445668","0","0","0","0","0"
"CLFTEA40","ETM-4-64","3X3","6513992A","6513992A","7","101515","1","4354","23.32","STD  ","RGTLLF       ","104493.73","101515","0","0","0.97","0","0","0.9714936963203439"
