Machine,Time
CLFTEA35,48.1461
CLFTEA50,51.8816
CLFTEA63,51.8073
CLFTEA85,48.0578
CLFTEA72,51.5914
CLFTEA88,51.6449
CLFTEA59,58.5576
CLFTEA78,60.1473
CLFTEA44,49.2379
CLFTEA62,48.8861
CLFTEA39,49.2296
CLFTEA30,58.4401
CLFTEA31,51.3171
CLFTEA69,49.7938
CLFTEA33,51.4525
CLFTEA19,51.2116
CLFTEA54,49.5157
CLFTEA42,51.9558
CLFTEA17,58.941
CLFTEA53,49.3585
CLFTEA32,49.4222
CLFTEA34,51.5296
CLFTEA52,49.9182
CLFTEA68,51.2177
CLFTEA25,51.1666
CLFTEA38,50.6078
CLFTEA75,52.6909
CLFTEA66,50.86
CLFTEA71,52.6266
CLFTEA64,48.7716
CLFTEA36,58.9102
CLFTEA12,52.2582
CLFTEA41,51.8659
CLFTEA79,49.2861
CLFTEA15,57.5319
CLFTEA29,51.2687
CLFTEA89,49.3021
CLFTEA22,48.9462
CLFTEA49,53.0008
CLFTEA13,54.99
CLFTEA43,53.1605
CLFTEA58,50.0116
CLFTEA47,50.4147
CLFTEA48,49.9374
CLFTEA84,50.6879
CLFTEA27,52.8015
CLFTEA65,51.4332
CLFTEA77,58.8725
CLFTEA20,50.1715
CLFTEA74,51.542
CLFTEA87,51.7097
CLFTEA40,49.2046
CLFTEA60,57.2003
CLFTEA83,51.2382
CLFTEA61,48.8107
CLFTEA86,50.9095
CLFTEA67,51.2251
CLFTEA73,48.9898
CLFTEA23,49.274
CLFTEA81,49.5654
CLFTEA46,53.6229
CLFTEA11,51.0809
CLFTEA14,52.2501
CLFTEA18,51.5064
CLFTEA2,53.362
CLFTEA24,54.1161
CLFTEA26,52.0366
CLFTEA3,51.5324
CLFTEA37,48.9931
CLFTEA4,53.1344
CLFTEA45,58.2344
CLFTEA5,48.5972
CLFTEA51,48.2809
CLFTEA56,51.045
CLFTEA57,51.5864
CLFTEA6,46.6237
CLFTEA7,50.823
CLFTEA70,59.5058
CLFTEA76,48.0963
CLFTEA80,50.0352
CLFTEA9,50.5814
CLFTEA90,0
CLFTEA91,0
CLFTEA92,49.1255
CLFTEA95,0
CLFTEA97,39.8935
CLFTEA98,51.0714
CLFTEA99,52.8118
