Machine_Family,Machine_Instance,Machine_Family_Name,Initial_Tool_Family,Initial_Certification
,CLFTEA90,,6590151A,1
ETM-4-64,CLFTEA40,ETM-4-64,6513992A,1
ETM-4-64,CLFTEA46,ETM-4-64,6525230A,1
ETM-4-64,CLFTEA87,ETM-4-64,6481275B,1
ETM-5-128,CLFTEA52,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA53,ETM-5-128,6570166B,1
ETM-5-128,CLFTEA54,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA89,ETM-5-128,6547137A,1
ETM-5-128,CLFTEA92,ETM-5-128,6579768C,1
ETS-0-64,CLFTEA03,ETS-0-64,6505771B,1
ETS-0-64,CLFTEA05,ETS-0-64,,1
ETS-0-64,CLFTEA09,ETS-0-64,6526546B,2
ETS-0-64,CLFTEA17,ETS-0-64,6523514A,1
ETS-0-64,CLFTEA22,ETS-0-64,6489159B,1
ETS-1-64,CLFTEA02,ETS-1-64,6487925B,1
ETS-1-64,CLFTEA04,ETS-1-64,6469014A,1
ETS-1-64,CLFTEA13,ETS-1-64,6512302B,1
ETS-1M-64,CLFTEA71,ETS-1M-64,6487925B,1
ETS-2-128,CLFTEA07,ETS-2-128,6526024A,2
ETS-2-128,CLFTEA32,ETS-2-128,6552808A,1
ETS-2-128,CLFTEA37,ETS-2-128,6518552B,1
ETS-2-128,CLFTEA58,ETS-2-128,6526517A,1
ETS-2-128,CLFTEA62,ETS-2-128,6553335B,3
ETS-2-64,CLFTEA11,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA12,ETS-2-64,6545253A,1
ETS-2-64,CLFTEA18,ETS-2-64,6517701E,1
ETS-2-64,CLFTEA19,ETS-2-64,6575258A,1
ETS-2-64,CLFTEA23,ETS-2-64,6522167C,1
ETS-2-64,CLFTEA25,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA26,ETS-2-64,6554905A,1
ETS-2-64,CLFTEA27,ETS-2-64,6512302B,1
ETS-2-64,CLFTEA29,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA30,ETS-2-64,6575577B,1
ETS-2-64,CLFTEA31,ETS-2-64,6510609E,1
ETS-2-64,CLFTEA33,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA34,ETS-2-64,6541533C,1
ETS-2-64,CLFTEA36,ETS-2-64,6479550B,1
ETS-2-64,CLFTEA38,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA39,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA41,ETS-2-64,6489159B,1
ETS-2-64,CLFTEA42,ETS-2-64,6555639A,2
ETS-2-64,CLFTEA43,ETS-2-64,6568521A,1
ETS-2-64,CLFTEA44,ETS-2-64,6553495A,1
ETS-2-64,CLFTEA47,ETS-2-64,6571495A,1
ETS-2-64,CLFTEA49,ETS-2-64,6507988A,1
ETS-2-64,CLFTEA50,ETS-2-64,6570845A,1
ETS-2-64,CLFTEA51,ETS-2-64,6515577B,1
ETS-2-64,CLFTEA57,ETS-2-64,6514558B,1
ETS-2-64,CLFTEA59,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA60,ETS-2-64,6578688B,1
ETS-2-64,CLFTEA61,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA63,ETS-2-64,6545456B,1
ETS-2-64,CLFTEA64,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA65,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA66,ETS-2-64,6543758C,1
ETS-2-64,CLFTEA67,ETS-2-64,6516394A,1
ETS-2-64,CLFTEA68,ETS-2-64,6484809C,1
ETS-2-64,CLFTEA69,ETS-2-64,6514494A,1
ETS-2-64,CLFTEA70,ETS-2-64,6542741A,1
ETS-2-64,CLFTEA72,ETS-2-64,6547181A,1
ETS-2-64,CLFTEA73,ETS-2-64,6556617A,1
ETS-2-64,CLFTEA74,ETS-2-64,6520958B,1
ETS-2-64,CLFTEA75,ETS-2-64,6545843A,1
ETS-2-64,CLFTEA76,ETS-2-64,6527607B,2
ETS-2-64,CLFTEA77,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA78,ETS-2-64,6567540A,1
ETS-2-64,CLFTEA79,ETS-2-64,6545098B,1
ETS-2-64,CLFTEA81,ETS-2-64,6522212C,1
ETS-2-64,CLFTEA83,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA84,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA86,ETS-2-64,6518552B,1
ETS-2-64,CLFTEA88,ETS-2-64,6518233A,2
ETS-200FT,CLFTEA55,ETS-200FT,,1
ETS-200FT,CLFTEA93,ETS-200FT,,1
ETS-200FT,CLFTEA94,ETS-200FT,,1
ETS-2M-64,CLFTEA14,ETS-2M-64,6512615D,1
ETS-2M-64,CLFTEA35,ETS-2M-64,6569306A,1
ETS-2M-64,CLFTEA45,ETS-2M-64,6529675B,1
ETS-2M-64,CLFTEA48,ETS-2M-64,6575258A,1
ETS-2M-64,CLFTEA80,ETS-2M-64,6529675B,1
ETS-2M-64,CLFTEA85,ETS-2M-64,,1
ETS-2Q-64,CLFTEA56,ETS-2Q-64,6545456B,1
ETS-INA-64,CLFTEA01,ETS-INA-64,6471907A,3
ETS-INA-64,CLFTEA08,ETS-INA-64,6555551A,1
ETS-INA-64,CLFTEA10,ETS-INA-64,6529253A,1
ETS-INA-64,CLFTEA21,ETS-INA-64,6528989B,1
ETS-INA-64,CLFTEA28,ETS-INA-64,6487925B,1
ETS-INA-64,CLFTEA82,ETS-INA-64,6487925B,1
ETS-INAM-64,CLFTEA16,ETS-INAM-64,6529253A,1
ETS-S-64,CLFTEA15,ETS-S-64,6504342B,1
ETS-S-64,CLFTEA20,ETS-S-64,6527607B,2
,,,,
