LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5894152,090QRGTRQ12-G2,3X3           ,RGT300       ,      7975,      3524,5894152     ,4420,1,        19.01,      19.03,      35.8,                   ,10/30/2015 06:06:11,
5491458,4519RTER1-RQR&,3X3           ,RTEST        ,     11443,     16015,5491458     ,4410,1,        15.98,      12.14,    156.86,                   ,10/30/2015 06:06:11,
5491459,4519RTER1-RQR&,3X3           ,RTEST        ,      8685,     16015,5491459     ,4410,1,        15.98,      12.14,    156.86,                   ,10/30/2015 06:06:11,
5771421,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13433,      8289,5771421     ,4410,1,         14.1,       4.13,     73.47,                   ,10/30/2015 06:06:11,
5775940,SD87381P6-UNR&,3X2.5         ,MPCMCMST     ,     13417,      8156,5775940     ,4410,1,         14.1,       4.13,     72.13,                   ,10/30/2015 06:06:11,
5934343,PS53318DQPR-LN,6X5           ,DQPCLIP      ,        77,      7675,5934343     ,4410,1,        20.02,      15.53,     72.81,                   ,10/30/2015 06:06:11,
5774017,BQ25040DQCR-G2,3X2           ,DQCST        ,     17260,      7576,5774017     ,4410,1,        15.78,      12.14,     72.67,                   ,10/30/2015 06:06:11,
5785851,4622RHLR1-LQR#,3.5X3.5       ,RHLST        ,     15108,      7225,5785851     ,4410,1,        16.19,      12.14,     68.74,                   ,10/30/2015 06:06:11,
5988755,2592ZADRCR-G2K,3X3           ,DRC          ,        77,      6456,5988755     ,4410,1,        12.94,      12.29,     64.45,                   ,10/30/2015 06:06:11,
5815517,BQ24130RHLR-G2,4.5X3.5       ,RHL          ,      2556,      5989,5815517     ,4410,1,        13.03,      12.33,     59.74,                   ,10/30/2015 06:06:11,
5820733,S53515ARVER-LN,4.5X3.5       ,RVECLIP      ,      7567,      5860,5820733     ,4410,1,        16.54,      15.53,     58.13,                   ,10/30/2015 06:06:11,
5824899,RV2667RGPR2-8P,4X4           ,RGPSTK       ,      2281,      5815,5824899     ,4410,1,        20.04,      18.16,     56.81,                   ,10/30/2015 06:06:11,
5826245,S61087DRCR-G2Y,3X3           ,DRC300LLF    ,     16144,      5731,5826245     ,4410,1,        13.44,      12.04,     56.46,                   ,10/30/2015 06:06:11,
5849750,PS65168RSBR1-R,5X5           ,RSB          ,      7876,      4957,5849750     ,4410,1,         13.2,      12.33,     49.24,                   ,10/30/2015 06:06:11,
5861791,TPS2388RTQR-C ,8X8           ,RTQVTT       ,      3262,      4803,5861791     ,4410,1,        16.99,      13.79,     45.37,                   ,10/30/2015 06:06:11,
5884687,202027DRSLR-G2,6X6           ,RSL300       ,      4959,      3992,5884687     ,4410,1,        13.83,      11.83,     38.46,                   ,10/30/2015 06:06:11,
5882318,A6203A1DRBR-LK,3X3           ,DRB          ,     13756,      3949,5882318     ,4410,1,        13.03,       12.1,     39.11,                   ,10/30/2015 06:06:11,
5893985,CSD87588N-NS2 ,5X2.5         ,MPAMCMST     ,      7542,      3919,5893985     ,4410,1,        15.63,       11.7,     35.81,                   ,10/30/2015 06:06:11,
5911650,AC7760IRHAR-CK,6X6           ,RHA          ,      2177,      3751,5911650     ,4410,1,        19.66,      12.33,     30.73,                   ,10/30/2015 06:06:11,
5894399,S65177RHAR1-G2,6X6           ,RHA300       ,      4199,      3721,5894399     ,4410,1,        13.83,      11.83,     35.76,                   ,10/30/2015 06:06:11,
5894363,202027CRSLR-G2,6X6           ,RSL300       ,      4266,      3719,5894363     ,4410,1,        13.77,      11.79,     35.76,                   ,10/30/2015 06:06:11,
5903374,401032DSGR1-G2,2X2           ,DSGST        ,     24730,      3717,5903374     ,4410,1,         17.7,      13.13,     33.15,                   ,10/30/2015 06:06:11,
5905549,PS7A7100RGTT-L,3X3           ,RGTST        ,     13818,      3545,5905549     ,4410,1,        15.68,      12.14,     32.46,                   ,10/30/2015 06:06:11,
5859725,001DRBR1-G2QN#,3X3           ,DRBST300     ,      6107,      3324,5859725     ,4410,1,            0,      12.14,     45.93,                   ,10/30/2015 06:06:11,
5859724,001DRBR1-G2QN#,3X3           ,DRBST300     ,      5508,      3324,5859724     ,4410,1,            0,      12.14,     45.93,                   ,10/30/2015 06:06:11,
5859727,001DRBR1-G2QN#,3X3           ,DRBST300     ,      6115,      3324,5859727     ,4410,1,            0,      12.14,     45.93,                   ,10/30/2015 06:06:11,
5905595,PS65168RSBR1-R,5X5           ,RSB          ,      4897,      3300,5905595     ,4410,1,        13.42,      12.33,     32.46,                   ,10/30/2015 06:06:11,
5912986,S53211ARGTR-LK,3X3           ,RGT          ,      9746,      3087,5912986     ,4410,1,        13.38,      12.33,     30.37,                   ,10/30/2015 06:06:11,
5917464,MC7812SRGCR-CK,9X9           ,RGC          ,      2398,      3053,5917464     ,4410,1,        13.79,      11.83,     29.12,                   ,10/30/2015 06:06:11,
5917907,97376Q4M2-LQN&,4.5X3.5       ,DPC          ,      7052,      2992,5917907     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5917919,D95375Q4M-LQN&,4.5X3.5       ,DPC          ,      7264,      2992,5917919     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5917908,97376Q4M2-LQN&,4.5X3.5       ,DPC          ,      7722,      2992,5917908     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5917918,D95375Q4M-LQN&,4.5X3.5       ,DPC          ,      7006,      2992,5917918     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5917909,97376Q4M2-LQN&,4.5X3.5       ,DPC          ,      7789,      2992,5917909     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5917917,D95375Q4M-LQN&,4.5X3.5       ,DPC          ,      7734,      2992,5917917     ,4410,1,        14.27,      12.74,     28.94,                   ,10/30/2015 06:06:11,
5921940,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2920,5921940     ,4410,1,        13.79,      11.83,     27.79,                   ,10/30/2015 06:06:11,
5941301,AC7760IRHAR-CK,6X6           ,RHA          ,      5157,      2910,5941301     ,4410,1,        19.67,      12.33,     22.31,                   ,10/30/2015 06:06:11,
5941302,AC7760IRHAR-CK,6X6           ,RHA          ,      3749,      2910,5941302     ,4410,1,        19.67,      12.33,     22.31,                   ,10/30/2015 06:06:11,
5920809,PS40190DRCR-BY,3X3           ,DRCLLF       ,     11151,      2889,5920809     ,4410,1,        13.21,       11.9,     28.13,                   ,10/30/2015 06:06:11,
5925442,202027ARSLR-G2,6X6           ,RSL300       ,      2153,      2818,5925442     ,4410,1,        13.73,      11.79,     26.79,                   ,10/30/2015 06:06:11,
5925308,53219ARGTR-G2K,3X3           ,RGT300       ,     13461,      2729,5925308     ,4410,1,        13.35,       12.3,     26.79,                   ,10/30/2015 06:06:11,
5928927,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2720,5928927     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928919,S65177RHAR1-G2,6X6           ,RHA300       ,      2586,      2720,5928919     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928901,S65177RHAR1-G2,6X6           ,RHA300       ,      5179,      2720,5928901     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928928,S65177RHAR1-G2,6X6           ,RHA300       ,      4449,      2720,5928928     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928922,S65177RHAR1-G2,6X6           ,RHA300       ,      5180,      2720,5928922     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928925,S65177RHAR1-G2,6X6           ,RHA300       ,      4637,      2720,5928925     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928923,S65177RHAR1-G2,6X6           ,RHA300       ,      5107,      2720,5928923     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928918,S65177RHAR1-G2,6X6           ,RHA300       ,      4461,      2720,5928918     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928916,S65177RHAR1-G2,6X6           ,RHA300       ,      5182,      2720,5928916     ,4410,1,        13.79,      11.83,     25.79,10/29/2015 04:01:51,10/30/2015 06:06:11,CLFTEA7
5928900,S65177RHAR1-G2,6X6           ,RHA300       ,      5181,      2720,5928900     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928921,S65177RHAR1-G2,6X6           ,RHA300       ,      5166,      2720,5928921     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928920,S65177RHAR1-G2,6X6           ,RHA300       ,      5174,      2720,5928920     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928898,S65177RHAR1-G2,6X6           ,RHA300       ,      5164,      2720,5928898     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
5928929,S65177RHAR1-G2,6X6           ,RHA300       ,      2589,      2720,5928929     ,4410,1,        13.79,      11.83,     25.79,                   ,10/30/2015 06:06:11,
