current_machine_instance,current_tooling_family,smsdw_machine_instance,smsdw_tooling_family,future_machine_instance,future_tooling_family
CLFTEA01,6471907A,NULL,NULL,CLFTEA01,6471907A
CLFTEA02,6487925B,NULL,NULL,CLFTEA02,6487925B
CLFTEA03,6505771B,NULL,NULL,CLFTEA03,6505771B
CLFTEA04,ASM4198,NULL,NULL,CLFTEA04,ASM4198
CLFTEA05,6555551A,NULL,NULL,CLFTEA05,6555551A
CLFTEA07,6526024A,NULL,NULL,CLFTEA07,6526024A
CLFTEA08,,NULL,NULL,CLFTEA08,6494649B
CLFTEA09,6480208B,NULL,NULL,CLFTEA09,6480208B
CLFTEA10,6517950B,NULL,NULL,CLFTEA10,6517950B
CLFTEA12,6487925B,NULL,NULL,CLFTEA12,6487925B
CLFTEA13,6511094C,NULL,NULL,CLFTEA13,6511094C
CLFTEA14,6566885A,NULL,NULL,CLFTEA14,6566885A
CLFTEA15,6556725A,NULL,NULL,CLFTEA15,6556725A
CLFTEA16,6529253A,NULL,NULL,CLFTEA16,6529253A
CLFTEA17,6505620C,NULL,NULL,CLFTEA17,6505620C
CLFTEA18,6517701E,CLFTEA18,6546054A                                     ,CLFTEA18,6517701E
CLFTEA19,6526546B,NULL,NULL,CLFTEA19,6526546B
CLFTEA20,6568858D,NULL,NULL,CLFTEA20,6568858D
CLFTEA21,6487839B,NULL,NULL,CLFTEA21,6487839B
CLFTEA22,6523514A,NULL,NULL,CLFTEA22,6523514A
CLFTEA23,6514494A,NULL,NULL,CLFTEA23,6514494A
CLFTEA25,6525585A,NULL,NULL,CLFTEA25,6525585A
CLFTEA26,,CLFTEA26,6474104A                                     ,CLFTEA26,6491839B
CLFTEA27,6512302B,NULL,NULL,CLFTEA27,6512302B
CLFTEA28,6487925B,NULL,NULL,CLFTEA28,6487925B
CLFTEA29,6525585A,NULL,NULL,CLFTEA29,6525585A
CLFTEA30,6524040A,NULL,NULL,CLFTEA30,6524040A
