Tooling_Family,Setup_time
6457090B,0.0007
6457212A,0.0007
6460534B,0.0007
6461377C,0.0007
6462365C,0.0007
6462654A,0.0007
6463634E,0.0007
6467193D,0.0007
6467722A,0.0007
6468723B,0.0007
6469014A,0.0007
6470284A,0.0007
6471369E,0.0007
6471834C,0.0007
6471907A,0.0007
6472365B,0.0007
6473092A,0.0007
6473092B,0.0007
6474104A,0.0007
6474275A,0.0007
6476723H,0.0007
6476723J,0.0007
6477171B,0.0007
6477295A,0.0007
6477301A,0.0007
6477473C,0.0007
6478192B,0.0007
6478393B,0.0007
6478663D,0.0007
6478663E,0.0007
6479465A,0.0007
6479550B,0.0007
6479677A,0.0007
6480208A,0.0007
6480208B,0.0007
6481271A,0.0007
6481275B,0.0007
6481281D,0.0007
6481533C,0.0007
6481759C,0.0007
6481937B,0.0007
6483077B,0.0007
6483270B,0.0007
6483951C,0.0007
6484062B,0.0007
6484140A,0.0007
6484527A,0.0007
6484801B,0.0007
6484809C,0.0007
6484965B,0.0007
6485209A,0.0007
6486103B,0.0007
6486108C,0.0007
6486142B,0.0007
6487839B,0.0007
6487925B,0.0007
6488445B,0.0007
6489159B,0.0007
6489448B,0.0007
6489844B,0.0007
6489852A,0.0007
6489924A,0.0007
6490281B,0.0007
6490697A,0.0007
6490996A,0.0007
6490997A,0.0007
6491333A,0.0007
6491839B,0.0007
6492142D,0.0007
6492420C,0.0007
6493388A,0.0007
6493741A,0.0007
6493741B,0.0007
6493742A,0.0007
6494457A,0.0007
6494476A,0.0007
6494649B,0.0007
6494708A,0.0007
6494789A,0.0007
6495717A,0.0007
6496545A,0.0007
6496992A,0.0007
6497119C,0.0007
6497193A,0.0007
6498316A,0.0007
6499098B,0.0007
6499432B,0.0007
6499805A,0.0007
6499941A,0.0007
6500265B,0.0007
6500443A,0.0007
6501153B,0.0007
6501607B,0.0007
6501996B,0.0007
6503016A,0.0007
6503018A,0.0007
6503050A,0.0007
6504079A,0.0007
6504342B,0.0007
6505391C,0.0007
6505620C,0.0007
6505623B,0.0007
6505702A,0.0007
6505771B,0.0007
6506362A,0.0007
6506365A,0.0007
6506370A,0.0007
6506727A,0.0007
6506939A,0.0007
6506957B,0.0007
6507169A,0.0007
6507988A,0.0007
6508014B,0.0007
6508455A,0.0007
6508600B,0.0007
6509477B,0.0007
6509642B,0.0007
6509642C,0.0007
6509649B,0.0007
6509808B,0.0007
6510064A,0.0007
6510147A,0.0007
6510240A,0.0007
6510459B,0.0007
6510609C,0.0007
6510609D,0.0007
6510609E,0.0007
6510697B,0.0007
6511094C,0.0007
6511607A,0.0007
6511837A,0.0007
6511837B,0.0007
6512302B,0.0007
6512469B,0.0007
6512615B,0.0007
6512615C,0.0007
6512615D,0.0007
6513476A,0.0007
6513476C,0.0007
6513884B,0.0007
6513990A,0.0007
6513992A,0.0007
6513992B,0.0007
6514494A,0.0007
6514494B,0.0007
6514558A,0.0007
6514558B,0.0007
6514600A,0.0007
6514765A,0.0007
6515389A,0.0007
6515499B,0.0007
6515575A,0.0007
6515577B,0.0007
6515677C,0.0007
6515889A,0.0007
6515892B,0.0007
6516100C,0.0007
6516230D,0.0007
6516231C,0.0007
6516394A,0.0007
6516450A,0.0007
6516809C,0.0007
6516829B,0.0007
6517566C,0.0007
6517701E,0.0007
6517878B,0.0007
6517950B,0.0007
6518233A,0.0007
6518282B,0.0007
6518361C,0.0007
6518499A,0.0007
6518552B,0.0007
6518648A,0.0007
6518648B,0.0007
6518677A,0.0007
6518742B,0.0007
6519118A,0.0007
6519267C,0.0007
6519424A,0.0007
6519999A,0.0007
6520265B,0.0007
6520481A,0.0007
6520958B,0.0007
6520958C,0.0007
6520959B,0.0007
6521279A,0.0007
6521534A,0.0007
6521765A,0.0007
6522072A,0.0007
6522167C,0.0007
6522212B,0.0007
6522212C,0.0007
6522503A,0.0007
6522536A,0.0007
6522667A,0.0007
6522719C,0.0007
6522719D,0.0007
6522781B,0.0007
6522803A,0.0007
6523177B,0.0007
6523177D,0.0007
6523243A,0.0007
6523304A,0.0007
6523306A,0.0007
6523306B,0.0007
6523383A,0.0007
6523514A,0.0007
6523881A,0.0007
6523908A,0.0007
6523908C,0.0007
6524040A,0.0007
6524128B,0.0007
6524269A,0.0007
6524269B,0.0007
6524552C,0.0007
6524788B,0.0007
6524823A,0.0007
6524824A,0.0007
6524868C,0.0007
6525126B,0.0007
6525230A,0.0007
6525239A,0.0007
6525317A,0.0007
6525585A,0.0007
6525600B,0.0007
6525973C,0.0007
6525973D,0.0007
6526024A,0.0007
6526488A,0.0007
6526489A,0.0007
6526517A,0.0007
6526546B,0.0007
6526570D,0.0007
6526756A,0.0007
6526878A,0.0007
6527317A,0.0007
6527515B,0.0007
6527607A,0.0007
6527607B,0.0007
6527744A,0.0007
6528161A,0.0007
6528161B,0.0007
6528246B,0.0007
6528246D,0.0007
6528249A,0.0007
6528278B,0.0007
6528278D,0.0007
6528364B,0.0007
6528482A,0.0007
6528917A,0.0007
6528917B,0.0007
6528917C,0.0007
6528944B,0.0007
6528989B,0.0007
6529253A,0.0007
6529571A,0.0007
6529675B,0.0007
6529762A,0.0007
6530035A,0.0007
6540803A,0.0007
6541188B,0.0007
6541231A,0.0007
6541231B,0.0007
6541262A,0.0007
6541338A,0.0007
6541455A,0.0007
6541533C,0.0007
6541602C,0.0007
6541669B,0.0007
6542201A,0.0007
6542694A,0.0007
6542741A,0.0007
6542777B,0.0007
6542852A,0.0007
6543634C,0.0007
6543648A,0.0007
6543648B,0.0007
6543758A,0.0007
6543758C,0.0007
6543999A,0.0007
6544140A,0.0007
6544140B,0.0007
6544202A,0.0007
6544279A,0.0007
6544279B,0.0007
6544455A,0.0007
6544756B,0.0007
6544759A,0.0007
6545069A,0.0007
6545098B,0.0007
6545103A,0.0007
6545193C,0.0007
6545253A,0.0007
6545339B,0.0007
6545456B,0.0007
6545788B,0.0007
6545843A,0.0007
6546054A,0.0007
6546196A,0.0007
6546196B,0.0007
6546476A,0.0007
6546737A,0.0007
6546767B,0.0007
6546978A,0.0007
6547008A,0.0007
6547008B,0.0007
6547137A,0.0007
6547177A,0.0007
6547181A,0.0007
6547182A,0.0007
6547283A,0.0007
6547349B,0.0007
6547712A,0.0007
6547945C,0.0007
6548027A,0.0007
6548027B,0.0007
6548338A,0.0007
6548406A,0.0007
6548821B,0.0007
6548880A,0.0007
6552663A,0.0007
6552808A,0.0007
6553054A,0.0007
6553193A,0.0007
6553264A,0.0007
6553335A,0.0007
6553335B,0.0007
6553438A,0.0007
6553444A,0.0007
6553444B,0.0007
6553495A,0.0007
6553639A,0.0007
6553821A,0.0007
6554903A,0.0007
6554905A,0.0007
6554907A,0.0007
6555020A,0.0007
6555466B,0.0007
6555473A,0.0007
6555551A,0.0007
6555613B,0.0007
6555639A,0.0007
6556615A,0.0007
6556616A,0.0007
6556617A,0.0007
6556725A,0.0007
6559770B,0.0007
6560309A,0.0007
6566270A,0.0007
6566306B,0.0007
6566339A,0.0007
6566561A,0.0007
6566771A,0.0007
6566885A,0.0007
6567540A,0.0007
6567543A,0.0007
6568520A,0.0007
6568520B,0.0007
6568521A,0.0007
6568858C,0.0007
6568858D,0.0007
6569094B,0.0007
6569306A,0.0007
6569544B,0.0007
6569544C,0.0007
6569845A,0.0007
6570121D,0.0007
6570166A,0.0007
6570166B,0.0007
6570242A,0.0007
6570316B,0.0007
6570316D,0.0007
6570333A,0.0007
6570333B,0.0007
6570450A,0.0007
6570729B,0.0007
6570729C,0.0007
6570740A,0.0007
6570774A,0.0007
6570845A,0.0007
6571174A,0.0007
6571220A,0.0007
6571495A,0.0007
6571778A,0.0007
6571778C,0.0007
6572091A,0.0007
6572424A,0.0007
6572612A,0.0007
6572804A,0.0007
6574439B,0.0007
6574496A,0.0007
6574499A,0.0007
6574595B,0.0007
6575179A,0.0007
6575257A,0.0007
6575257C,0.0007
6575258A,0.0007
6575337A,0.0007
6575337B,0.0007
6575542A,0.0007
6575577B,0.0007
6575703A,0.0007
6575989B,0.0007
6576395A,0.0007
6576750A,0.0007
6576774A,0.0007
6576907A,0.0007
6576907B,0.0007
6577168A,0.0007
6577359A,0.0007
6577361B,0.0007
6577416A,0.0007
6577640A,0.0007
6577720A,0.0007
6577979A,0.0007
6577980A,0.0007
6578526A,0.0007
6578688B,0.0007
6578825A,0.0007
6579034B,0.0007
6579192B,0.0007
6579381A,0.0007
6579484A,0.0007
6579742C,0.0007
6579768B,0.0007
6579768C,0.0007
6580041A,0.0007
6580443C,0.0007
6580500A,0.0007
6580605B,0.0007
6580945B,0.0007
6580963B,0.0007
6582184A,0.0007
6582274B,0.0007
6582451A,0.0007
6582454A,0.0007
6582454B,0.0007
6582601A,0.0007
6582798A,0.0007
6583470B,0.0007
6583782A,0.0007
6584339A,0.0007
6584432B,0.0007
6584446B,0.0007
6584954A,0.0007
6585754A,0.0007
6585760B,0.0007
6586073A,0.0007
6586254C,0.0007
6586556A,0.0007
6586730A,0.0007
6586952A,0.0007
6587054A,0.0007
6587348A,0.0007
6587499A,0.0007
6587894A,0.0007
6587894B,0.0007
6587910a,0.0007
6587962A,0.0007
6588064A,0.0007
6588166A,0.0007
6588380B,0.0007
6588451A,0.0007
6589211B,0.0007
6590151A,0.0007
6593708A,0.0007
ENGINEERING,0.0007
LP8765REV1,0.0007
