LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
5843139,AC7562SDSCR-UC,DSC          ,10,12667,843.00,5843139,4420,1,9.36,8.2,7.82,,9/16/2015 10:06,
5843130,AC7562SDSCR-UC,DSC          ,10,12600,843.00,5843130,4420,1,9.36,8.2,7.82,,9/16/2015 10:06,
5852269,AC7562SDSCR-UC,DSC          ,10,14149,577.00,5852269,4420,1,9.36,8.2,5.15,,9/16/2015 10:06,
5856472,AC7562SDSCT-UC,DSC          ,10,6334,427.00,5856472,4420,1,9.36,8.2,3.65,,9/16/2015 10:06,
5830456,PS53513RVER-LN,RVECLIP      ,28,77,9567.00,5830456,4410,1,20.95,15.21,90.48,,9/16/2015 10:06,
5584612,1306051RHRR-G2,RHR300       ,28,5071,8891.00,5584612,4410,1,14.73,12.41,87.13,,9/16/2015 10:06,
5664924,BQ24298RTWR-G2,RTWST300     ,24,4988,6590.00,5664924,4410,1,14.96,12.67,64.15,,9/16/2015 10:06,
5664920,BQ24298RTWR-G2,RTWST300     ,24,8395,6590.00,5664920,4410,1,14.96,12.67,64.15,,9/16/2015 10:06,
5672538,PS65168RSBR1-R,RSB          ,40,7704,6320.00,5672538,4410,1,14.78,12.51,61.48,,9/16/2015 10:06,
5712667,PS2561DRCR1-LY,DRCST        ,10,6950,5050.00,5712667,4410,1,15.24,12.46,48.27,,9/16/2015 10:06,
5727053,D95377Q4M-LQN#,DPC          ,8,3811,4823.00,5727053,4410,1,17.93,12.87,43.72,,9/16/2015 10:06,
5727056,D59998Q4M-LQN&,DPC          ,8,3609,4823.00,5727056,4410,1,17.93,12.87,43.72,,9/16/2015 10:06,
5727743,95377Q4M1-LQN#,DPC          ,8,3803,4798.00,5727743,4410,1,17.93,12.87,43.47,,9/16/2015 10:06,
5727751,95377Q4M2-LQN#,DPC          ,8,3834,4798.00,5727751,4410,1,17.93,12.87,43.47,,9/16/2015 10:06,
5863537,BQ24196RGER-RY,RGELLF       ,24,1703,4277.00,5863537,4410,1,15.47,12.96,40.81,,9/16/2015 10:06,
5753495,AC8163SDSCR-UC,DSC          ,10,7029,4002.00,5753495,4410,1,8.94,4.1,35.72,,9/16/2015 10:06,
5770469,BQ25890RTWR-G2,RTWST300     ,24,10062,3278.00,5770469,4410,1,15.66,12.67,30.33,,9/16/2015 10:06,
5778164,BQ24298RTWR-G2,RTWST300     ,24,10045,3069.00,5778164,4410,1,15.78,12.67,28.13,,9/16/2015 10:06,
5778165,BQ24298RTWR-G2,RTWST300     ,24,8307,3069.00,5778165,4410,1,15.78,12.67,28.13,,9/16/2015 10:06,
5778162,BQ24298RTWR-G2,RTWST300     ,24,10060,3069.00,5778162,4410,1,15.78,12.67,28.13,,9/16/2015 10:06,
5778166,BQ24298RTWR-G2,RTWST300     ,24,5021,3069.00,5778166,4410,1,15.78,12.67,28.13,,9/16/2015 10:06,
5778163,BQ24298RTWR-G2,RTWST300     ,24,10065,3069.00,5778163,4410,1,15.78,12.67,28.13,,9/16/2015 10:06,
5785851,4622RHLR1-LQR#,RHLST        ,14,15108,2839.00,5785851,4410,1,16.19,12.67,25.41,,9/16/2015 10:06,
5782241,546QRTERQ11-G2,RTE300       ,16,13789,2772.00,5782241,4410,1,14.83,13.02,26.46,,9/16/2015 10:06,
5782240,546QRTERQ11-G2,RTE300       ,16,13760,2772.00,5782240,4410,1,14.83,13.02,26.46,,9/16/2015 10:06,
5782242,546QRTERQ11-G2,RTE300       ,16,13690,2772.00,5782242,4410,1,14.83,13.02,26.46,09/16/2015 16:41:00,9/16/2015 10:06,CLFTEA20
5782243,546QRTERQ11-G2,RTE300       ,16,7338,2772.00,5782243,4410,1,14.83,13.02,26.46,,9/16/2015 10:06,
5788014,Q25895MRTWR-G2,RTWST300     ,24,9356,2737.00,5788014,4410,1,15.78,12.67,24.81,,9/16/2015 10:06,
5789264,BQ25892RTWR-G2,RTWST300     ,24,10069,2695.00,5789264,4410,1,15.78,12.67,24.39,,9/16/2015 10:06,
5791005,Q25895MRTWT-G2,RTWST300     ,24,8929,2636.00,5791005,4410,1,15.78,12.67,23.8,,9/16/2015 10:06,
5792128,Q25895MRTWR-G2,RTWST300     ,24,9748,2603.00,5792128,4410,1,15.78,12.67,23.46,,9/16/2015 10:06,
5792126,Q25895MRTWR-G2,RTWST300     ,24,8416,2603.00,5792126,4410,1,15.78,12.67,23.46,,9/16/2015 10:06,
5792042,546QRTERQ11-G2,RTE300       ,16,7294,2473.00,5792042,4410,1,14.83,13.02,23.47,,9/16/2015 10:06,
5792041,546QRTERQ11-G2,RTE300       ,16,13695,2473.00,5792041,4410,1,14.83,13.02,23.47,,9/16/2015 10:06,
5792039,546QRTERQ11-G2,RTE300       ,16,13785,2473.00,5792039,4410,1,14.83,13.02,23.47,,9/16/2015 10:06,
5792040,546QRTERQ11-G2,RTE300       ,16,13700,2473.00,5792040,4410,1,14.83,13.02,23.47,,9/16/2015 10:06,
5792001,Q24736RGRR-G2K,RGR300       ,20,7340,2471.00,5792001,4410,1,14.3,12.51,23.47,,9/16/2015 10:06,
5796231,Q25895MRTWR-G2,RTWST300     ,24,10071,2378.00,5796231,4410,1,14.7,12.67,22.29,,9/16/2015 10:06,
5796232,Q25895MRTWR-G2,RTWST300     ,24,10071,2378.00,5796232,4410,1,14.7,12.67,22.29,,9/16/2015 10:06,
5796242,Q25895MRTWR-G2,RTWST300     ,24,5037,2378.00,5796242,4410,1,14.7,12.67,22.29,,9/16/2015 10:06,
5796234,Q25895MRTWR-G2,RTWST300     ,24,8787,2378.00,5796234,4410,1,14.7,12.67,22.29,,9/16/2015 10:06,
5796229,Q25895MRTWR-G2,RTWST300     ,24,10071,2378.00,5796229,4410,1,14.7,12.67,22.29,,9/16/2015 10:06,
5803821,TPS2388RTQR-C ,RTQVTT       ,56,1813,2372.00,5803821,4410,1,19.37,15.24,20.13,,9/16/2015 10:06,
5806565,TPS2388RTQR-C ,RTQVTT       ,56,3346,2291.00,5806565,4410,1,19.37,15.24,19.33,,9/16/2015 10:06,
5806573,TPS2388RTQR-C ,RTQVTT       ,56,3326,2291.00,5806573,4410,1,19.37,15.24,19.33,,9/16/2015 10:06,
5806575,TPS2388RTQR-C ,RTQVTT       ,56,3305,2291.00,5806575,4410,1,19.37,15.24,19.33,,9/16/2015 10:06,
5806564,TPS2388RTQR-C ,RTQVTT       ,56,3305,2291.00,5806564,4410,1,19.37,15.24,19.33,,9/16/2015 10:06,
5806570,TPS2388RTQR-C ,RTQVTT       ,56,1731,2291.00,5806570,4410,1,19.37,15.24,19.33,09/16/2015 18:04:00,9/16/2015 10:06,CLFTEA39
5809610,TPS2388RTQR-C ,RTQVTT       ,56,3342,2203.00,5809610,4410,1,19.37,15.24,18.44,,9/16/2015 10:06,
5809606,TPS2388RTQR-C ,RTQVTT       ,56,3325,2203.00,5809606,4410,1,19.37,15.24,18.45,09/16/2015 22:20:00,9/16/2015 10:06,CLFTEA85
5809618,TPS2388RTQR-C ,RTQVTT       ,56,2695,2203.00,5809618,4410,1,19.37,15.24,18.44,,9/16/2015 10:06,
5809611,TPS2388RTQR-C ,RTQVTT       ,56,3278,2203.00,5809611,4410,1,19.37,15.24,18.44,09/16/2015 21:13:00,9/16/2015 10:06,CLFTEA7
5798101,TPS55330RTET-L,RTE          ,16,6885,2173.00,5798101,4410,1,13,12.47,21.74,,9/16/2015 10:06,
5798100,TPS55330RTET-L,RTE          ,16,12901,2173.00,5798100,4410,1,13,12.47,21.74,,9/16/2015 10:06,
5805410,D97374Q4M-LNKE,DPC          ,8,7786,2152.00,5805410,4410,1,15.22,12.87,19.72,,9/16/2015 10:06,
5806133,S62740DSSR1-LK,DSSST        ,12,11012,2095.00,5806133,4410,1,14.7,12.67,19.47,09/16/2015 22:06:00,9/16/2015 10:06,CLFTEA70
5807356,546QRTERQ11-G2,RTE300       ,16,13783,1917.00,5807356,4410,1,13.6,13.02,19.14,,9/16/2015 10:06,
5807357,546QRTERQ11-G2,RTE300       ,16,10528,1917.00,5807357,4410,1,13.6,13.02,19.14,,9/16/2015 10:06,
5813598,D97374Q4M-LNKE,DPC          ,8,7636,1894.00,5813598,4410,1,15.22,12.87,17.13,,9/16/2015 10:06,
5812844,BQ25892RTWR-G2,RTWST300     ,24,10075,1893.00,5812844,4410,1,14.7,12.67,17.45,,9/16/2015 10:06,
5812845,BQ25892RTWR-G2,RTWST300     ,24,8546,1893.00,5812845,4410,1,14.7,12.67,17.45,,9/16/2015 10:06,
5812843,BQ25892RTWR-G2,RTWST300     ,24,10045,1893.00,5812843,4410,1,14.7,12.67,17.45,09/16/2015 21:38:00,9/16/2015 10:06,CLFTEA92
5813482,BQ25892RTWR-G2,RTWST300     ,24,6654,1862.00,5813482,4410,1,14.7,12.67,17.14,,9/16/2015 10:06,
5813481,BQ25892RTWR-G2,RTWST300     ,24,10072,1862.00,5813481,4410,1,14.7,12.67,17.14,,9/16/2015 10:06,
