machine_family,Machine_Instance,machine_family_name,initial_tooling_family,Initial_Certification
,CLFTEA1,,6529253A,
,CLFTEA16,,6484140A,
,CLFTEA2,,6487925B,
,CLFTEA21,,6526546B,
,CLFTEA28,,6487925B,
,CLFTEA4,,6505620C,
,CLFTEA55,,6586662A,
,CLFTEA8,,6555551A,
,CLFTEA82,,6487925B,
,CLFTEA93,,,
,CLFTEA94,,,
,CLFTEA96,,6577359A,
ETM-2-64,CLFTEA24,ETM-2-64,6571495A,1
ETM-2-64,CLFTEA6,ETM-2-64,6506727A,1
ETM-4-128,CLFTEA40,ETM-4-128,,
ETM-4-64,CLFTEA46,ETM-4-64,6546767B,1
ETM-4-64,CLFTEA87,ETM-4-64,6556725A,1
ETM-5-128,CLFTEA52,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA53,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA54,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA89,ETM-5-128,6579768C,1
ETM-5-128,CLFTEA90,ETM-5-128,,
ETM-5-128,CLFTEA92,ETM-5-128,6579768C,1
ETS-0-64,CLFTEA17,ETS-0-64,6505771B,1
ETS-0-64,CLFTEA22,ETS-0-64,6529253A,1
ETS-0-64,CLFTEA3,ETS-0-64,6512302B,1
ETS-0-64,CLFTEA5,ETS-0-64,6513990A,2
ETS-0-64,CLFTEA9,ETS-0-64,6493741B,1
ETS-1-64,CLFTEA10,ETS-1-64,6514600A,1
ETS-1-64,CLFTEA71,ETS-1-64,6487925B,1
ETS-1M-64,CLFTEA13,ETS-1M-64,6517950B,3
ETS-2-128,CLFTEA32,ETS-2-128,6553054A,1
ETS-2-128,CLFTEA37,ETS-2-128,6547137A,1
ETS-2-128,CLFTEA58,ETS-2-128,6569306A,1
ETS-2-128,CLFTEA7,ETS-2-128,6526024A,3
ETS-2-64,CLFTEA11,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA12,ETS-2-64,6487925B,1
ETS-2-64,CLFTEA14,ETS-2-64,6512615D,1
ETS-2-64,CLFTEA15,ETS-2-64,6553495A,1
ETS-2-64,CLFTEA18,ETS-2-64,6546054A,1
ETS-2-64,CLFTEA19,ETS-2-64,6526546B,2
ETS-2-64,CLFTEA23,ETS-2-64,"TURN ON ALL SITES",1
ETS-2-64,CLFTEA25,ETS-2-64,6525585A,1
ETS-2-64,CLFTEA26,ETS-2-64,6569306A,1
ETS-2-64,CLFTEA27,ETS-2-64,6547181A,1
ETS-2-64,CLFTEA29,ETS-2-64,6575258A,1
ETS-2-64,CLFTEA30,ETS-2-64,6528917C,1
ETS-2-64,CLFTEA33,ETS-2-64,6572424A,1
