ROUTENAME,LOGPOINT,OPERATION,LPT_DESC,OPN_DESC,DEVICE,PACKAGE,PIN,ALTERNATE,SETUP,PPH,MACHINE_FAMILY,TOOLING_FAMILY,TOOLQTY,CERTIFICATION
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,,ETS-0-64:6525600B,2126,ETS-0-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-1-64:6525600B,2126,ETS-1-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2-64:6525600B,2126,ETS-2-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-1M-64:6525600B,2126,ETS-1M-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2M-64:6525600B,2126,ETS-2M-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2-128:6525600B,2126,ETS-2-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-4M-128:6525600B,2126,ETS-4M-128,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-S-64:6525600B,2126,ETS-S-64,6525600B,1,2
QFN8,4410,1,FT1,,1108026RHDR1-R,RHD,28,alt,ETS-2Q-64:6525600B,2126,ETS-2Q-64,6525600B,1,2
QFN8,4410,1,FT1,,1211013RGER-LK,RGE,24,,ETS-2-64:,1250,ETS-2-64,,1,1
QFN8,4410,1,FT1,,1211013RGER-LK,RGE,24,alt,ETS-2M-64:,1250,ETS-2M-64,,1,1
QFN8,4410,1,FT1,,1211013RGER-LK,RGE,24,alt,ETS-2-128:,1250,ETS-2-128,,1,1
QFN8,4410,1,FT1,,1211013RGER-LK,RGE,24,alt,ETS-4M-128:,1250,ETS-4M-128,,1,1
QFN7MNT,4410,1,FT1,,1211DSCR1-G2YK,DSC300ST,10,,ETS-2-128:6530035A,8683,ETS-2-128,6530035A,1,1
QFN7MNT,4410,1,FT1,,1218DSCR3-G2YK,DSC300ST,10,,ETS-2-128:6530035A,7064,ETS-2-128,6530035A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-0-64:6553821A,1250,ETS-0-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-1-64:6553821A,1250,ETS-1-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-2-64:6553821A,1250,ETS-2-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-1M-64:6553821A,1250,ETS-1M-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-2M-64:6553821A,1250,ETS-2M-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-2-128:6553821A,1250,ETS-2-128,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-4M-128:6553821A,1250,ETS-4M-128,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-S-64:6553821A,1250,ETS-S-64,6553821A,1,1
AQFN1STKC2,4410,1,FT1,,122QRHLRQ1-BS2,RHLMCM,24,alt,ETS-2Q-64:6553821A,1250,ETS-2Q-64,6553821A,1,1
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,,ETS-2-64:6555639A,1630,ETS-2-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-2M-64:6555639A,1630,ETS-2M-64,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-2-128:6555639A,1630,ETS-2-128,6555639A,1,2
QFN25,4410,1,FT1,,1306051RHRR-G2,RHR300,28,alt,ETS-4M-128:6555639A,1630,ETS-4M-128,6555639A,1,2
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,RHA300,40,,ETS-2-64:6542777B,1095,ETS-2-64,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,RHA300,40,alt,ETS-2M-64:6542777B,1095,ETS-2M-64,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,RHA300,40,alt,ETS-2-128:6542777B,1095,ETS-2-128,6542777B,1,1
QFN25DBAKE,4410,1,FT1,,1311031RHAR-G2,RHA300,40,alt,ETS-4M-128:6542777B,1095,ETS-4M-128,6542777B,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,,ETS-2-64:6553054A,6949,ETS-2-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-2M-64:6553054A,6949,ETS-2M-64,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-2-128:6553054A,6949,ETS-2-128,6553054A,1,1
QFN7MNT,4410,1,FT1,,1312DRCR1-G2KY,DRCST300,10,alt,ETS-4M-128:6553054A,6949,ETS-4M-128,6553054A,1,1
QFN8CLPD1,4410,1,FT1,,1362RVER1-LQR#,RVECLIP,28,,ETS-2-64:6545456B,3489,ETS-2-64,6545456B,1,1
QFN8CLPD1,4410,1,FT1,,1362RVER1-LQR#,RVECLIP,28,alt,ETS-2M-64:6545456B,3489,ETS-2M-64,6545456B,1,1
QFN8CLPD1,4410,1,FT1,,1362RVER1-LQR#,RVECLIP,28,alt,ETS-2-128:6545456B,3489,ETS-2-128,6545456B,1,1
QFN8CLPD1,4410,1,FT1,,1362RVER1-LQR#,RVECLIP,28,alt,ETS-4M-128:6545456B,3489,ETS-4M-128,6545456B,1,1
QFN25,4410,1,FT1,,1501005RHBR-G2,RHB300,32,,ETS-2-64:6568520B,2761,ETS-2-64,6568520B,1,1
QFN25,4410,1,FT1,,1501005RHBR-G2,RHB300,32,alt,ETS-2M-64:6568520B,2761,ETS-2M-64,6568520B,1,1
QFN25,4410,1,FT1,,1501005RHBR-G2,RHB300,32,alt,ETS-2-128:6568520B,2761,ETS-2-128,6568520B,1,1
QFN25,4410,1,FT1,,1501005RHBR-G2,RHB300,32,alt,ETS-4M-128:6568520B,2761,ETS-4M-128,6568520B,1,1
QFN1UTT,4410,1,FT1,,1622IDRCT-URR&,DRC,10,,ETS-2-64:6588064A,1250,ETS-2-64,6588064A,1,1
QFN1UTT,4410,1,FT1,,1622IDRCT-URR&,DRC,10,alt,ETS-2M-64:6588064A,1250,ETS-2M-64,6588064A,1,1
QFN1UTT,4410,1,FT1,,1622IDRCT-URR&,DRC,10,alt,ETS-2-128:6588064A,1250,ETS-2-128,6588064A,1,1
QFN1UTT,4410,1,FT1,,1622IDRCT-URR&,DRC,10,alt,ETS-4M-128:6588064A,1250,ETS-4M-128,6588064A,1,1
QFN25,4410,1,FT1,,1622RSMR1-G2YK,RSM300,32,,ETS-2-64:6541533C,2864,ETS-2-64,6541533C,1,1
QFN25,4410,1,FT1,,1622RSMR1-G2YK,RSM300,32,alt,ETS-2M-64:6541533C,2864,ETS-2M-64,6541533C,1,1
QFN25,4410,1,FT1,,1622RSMR1-G2YK,RSM300,32,alt,ETS-2-128:6541533C,2864,ETS-2-128,6541533C,1,1
QFN25,4410,1,FT1,,1622RSMR1-G2YK,RSM300,32,alt,ETS-4M-128:6541533C,2864,ETS-4M-128,6541533C,1,1
QFN25DBAKE,4410,1,FT1,,202027ARSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN25DBAKE,4410,1,FT1,,202027CRSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN25DBAKE,4410,1,FT1,,202027LRSLR-G2,RSL300,48,alt,ETM-5-128:,1250,ETM-5-128,,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,,ETM-2-64:6582184A,7793,ETM-2-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETM-4-64:6582184A,7793,ETM-4-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETM-5-128:6582184A,7793,ETM-5-128,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETS-2-64:6582184A,7793,ETS-2-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETS-2M-64:6582184A,7793,ETS-2M-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETS-2-128:6582184A,7793,ETS-2-128,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETS-2Q-64:6582184A,7793,ETS-2Q-64,6582184A,1,1
QFN1AUTOST,4410,1,FT1,,2402QDRRRQ1-G2,DRR300ST,12,alt,ETS-4M-128:6582184A,7793,ETS-4M-128,6582184A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,,ETS-0-64:6484140A,3597,ETS-0-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-1-64:6484140A,3597,ETS-1-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-2-64:6484140A,3597,ETS-2-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-1M-64:6484140A,3597,ETS-1M-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-2M-64:6484140A,3597,ETS-2M-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-2-128:6484140A,3597,ETS-2-128,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-4M-128:6484140A,3597,ETS-4M-128,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-S-64:6484140A,3597,ETS-S-64,6484140A,1,1
QFN7V,4410,1,FT1,,24075TRGTR-G2Y,RGT300LLF,16,alt,ETS-2Q-64:6484140A,3597,ETS-2Q-64,6484140A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,,ETM-2-64:6556725A,1336,ETM-2-64,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETM-4-64:6556725A,1336,ETM-4-64,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETM-5-128:6556725A,1336,ETM-5-128,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETS-2-64:6556725A,1336,ETS-2-64,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETS-2M-64:6556725A,1336,ETS-2M-64,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETS-2-128:6556725A,1336,ETS-2-128,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETS-2Q-64:6556725A,1336,ETS-2Q-64,6556725A,1,1
QFN25V,4410,1,FT1,,24250RGER1-G2Y,RGE300LLF,24,alt,ETS-4M-128:6556725A,1336,ETS-4M-128,6556725A,1,1
QFN7,4410,1,FT1,,24725ARGRR-G2K,RGR300,20,,ETS-2-64:6512615D,3773,ETS-2-64,6512615D,1,1
QFN7,4410,1,FT1,,24725ARGRR-G2K,RGR300,20,alt,ETS-2M-64:6512615D,3773,ETS-2M-64,6512615D,1,1
QFN7,4410,1,FT1,,24725ARGRR-G2K,RGR300,20,alt,ETS-2-128:6512615D,3773,ETS-2-128,6512615D,1,1
QFN7,4410,1,FT1,,24725ARGRR-G2K,RGR300,20,alt,ETS-4M-128:6512615D,3773,ETS-4M-128,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,RGR300,20,,ETS-2-64:6512615D,3665,ETS-2-64,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,RGR300,20,alt,ETS-2M-64:6512615D,3665,ETS-2M-64,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,RGR300,20,alt,ETS-2-128:6512615D,3665,ETS-2-128,6512615D,1,1
QFN7V,4410,1,FT1,,24735RGRR1-G2K,RGR300,20,alt,ETS-4M-128:6512615D,3665,ETS-4M-128,6512615D,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,,ETM-2-64:6524040A,4058,ETM-2-64,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETM-4-64:6524040A,4058,ETM-4-64,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETM-5-128:6524040A,4058,ETM-5-128,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETS-2-64:6524040A,4058,ETS-2-64,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETS-2M-64:6524040A,4058,ETS-2M-64,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETS-2-128:6524040A,4058,ETS-2-128,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETS-2Q-64:6524040A,4058,ETS-2Q-64,6524040A,1,1
AQFNRFXRAY,4410,1,FT1,,2543QRTERQ1-G2,RTE300,16,alt,ETS-4M-128:6524040A,4058,ETS-4M-128,6524040A,1,1
QFN7MNT,4410,1,FT1,,25810RVCR-G2R#,RVC300ST,20,,ETM-4-64:6590151A,1250,ETM-4-64,6590151A,1,1
QFN7MNT,4410,1,FT1,,25810RVCR-G2R#,RVC300ST,20,alt,ETM-5-128:6590151A,1250,ETM-5-128,6590151A,1,1
QFN7MNT,4410,1,FT1,,25810RVCR-G2R#,RVC300ST,20,alt,ETS-4M-128:6590151A,1250,ETS-4M-128,6590151A,1,1
QFN25MNT,4410,1,FT1,,25810RVCR1-G2P,RVC300ST,20,,ETM-4-64:6590151A,1250,ETM-4-64,6590151A,1,1
QFN25MNT,4410,1,FT1,,25810RVCR1-G2P,RVC300ST,20,alt,ETM-5-128:6590151A,1250,ETM-5-128,6590151A,1,1
QFN25MNT,4410,1,FT1,,25810RVCR1-G2P,RVC300ST,20,alt,ETS-4M-128:6590151A,1250,ETS-4M-128,6590151A,1,1
QFN25,4410,1,FT1,,2592AADRCR-G2K,DRC,10,,ETS-2-64:6547181A,2357,ETS-2-64,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCR-G2K,DRC,10,alt,ETS-2M-64:6547181A,2357,ETS-2M-64,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCR-G2K,DRC,10,alt,ETS-2-128:6547181A,2357,ETS-2-128,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCR-G2K,DRC,10,alt,ETS-4M-128:6547181A,2357,ETS-4M-128,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCT-G2K,DRC,10,,ETS-2-64:6547181A,2357,ETS-2-64,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCT-G2K,DRC,10,alt,ETS-2M-64:6547181A,2357,ETS-2M-64,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCT-G2K,DRC,10,alt,ETS-2-128:6547181A,2357,ETS-2-128,6547181A,1,1
QFN25,4410,1,FT1,,2592AADRCT-G2K,DRC,10,alt,ETS-4M-128:6547181A,2357,ETS-4M-128,6547181A,1,1
QFN25,4410,1,FT1,,2592BADRCR-G2K,DRC,10,,ETS-2-64:6547181A,2336,ETS-2-64,6547181A,1,1
QFN25,4410,1,FT1,,2592BADRCR-G2K,DRC,10,alt,ETS-2M-64:6547181A,2336,ETS-2M-64,6547181A,1,1
QFN25,4410,1,FT1,,2592BADRCR-G2K,DRC,10,alt,ETS-2-128:6547181A,2336,ETS-2-128,6547181A,1,1
QFN25,4410,1,FT1,,2592BADRCR-G2K,DRC,10,alt,ETS-4M-128:6547181A,2336,ETS-4M-128,6547181A,1,1
QFN25,4410,1,FT1,,2592ZADRCR-G2K,DRC,10,,ETS-2-64:6547181A,2152,ETS-2-64,6547181A,1,1
QFN25,4410,1,FT1,,2592ZADRCR-G2K,DRC,10,alt,ETS-2M-64:6547181A,2152,ETS-2M-64,6547181A,1,1
QFN25,4410,1,FT1,,2592ZADRCR-G2K,DRC,10,alt,ETS-2-128:6547181A,2152,ETS-2-128,6547181A,1,1
QFN25,4410,1,FT1,,2592ZADRCR-G2K,DRC,10,alt,ETS-4M-128:6547181A,2152,ETS-4M-128,6547181A,1,1
QFN25,4410,1,FT1,,25940ARVCR1-G2,RVC300,20,,ETS-2-64:6568858D,1148,ETS-2-64,6568858D,1,1
QFN25,4410,1,FT1,,25940ARVCR1-G2,RVC300,20,alt,ETS-2M-64:6568858D,1148,ETS-2M-64,6568858D,1,1
QFN25,4410,1,FT1,,25940ARVCR1-G2,RVC300,20,alt,ETS-2-128:6568858D,1148,ETS-2-128,6568858D,1,1
QFN25,4410,1,FT1,,25940ARVCR1-G2,RVC300,20,alt,ETS-4M-128:6568858D,1148,ETS-4M-128,6568858D,1,1
QFN25,4410,1,FT1,,25942ARVCR1-G2,RVC300,20,,ETS-2-64:6568858D,1331,ETS-2-64,6568858D,1,1
QFN25,4410,1,FT1,,25942ARVCR1-G2,RVC300,20,alt,ETS-2M-64:6568858D,1331,ETS-2M-64,6568858D,1,1
QFN25,4410,1,FT1,,25942ARVCR1-G2,RVC300,20,alt,ETS-2-128:6568858D,1331,ETS-2-128,6568858D,1,1
QFN25,4410,1,FT1,,25942ARVCR1-G2,RVC300,20,alt,ETS-4M-128:6568858D,1331,ETS-4M-128,6568858D,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,,ETM-2-64:6510147A,2926,ETM-2-64,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETM-4-64:6510147A,2926,ETM-4-64,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETM-5-128:6510147A,2926,ETM-5-128,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETS-2-64:6510147A,2926,ETS-2-64,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETS-2M-64:6510147A,2926,ETS-2M-64,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETS-2-128:6510147A,2926,ETS-2-128,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETS-2Q-64:6510147A,2926,ETS-2Q-64,6510147A,1,1
QFN16RMR,4410,1,FT1,,29442DRBR-BKY$,DRBLLF,8,alt,ETS-4M-128:6510147A,2926,ETS-4M-128,6510147A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,,ETS-0-64:6506370A,11114,ETS-0-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-1-64:6506370A,11114,ETS-1-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-2-64:6506370A,11114,ETS-2-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-1M-64:6506370A,11114,ETS-1M-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-2M-64:6506370A,11114,ETS-2M-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-2-128:6506370A,11114,ETS-2-128,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-4M-128:6506370A,11114,ETS-4M-128,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-S-64:6506370A,11114,ETS-S-64,6506370A,1,1
QFN1AUTOST,4410,1,FT1,,401032DSGR1-G2,DSGST,8,alt,ETS-2Q-64:6506370A,11114,ETS-2Q-64,6506370A,1,1
QFN25,4410,1,FT1,,408065RHLR-G2K,RHL300,24,,ETS-1-64:6491839B,1277,ETS-1-64,6491839B,1,1
QFN25,4410,1,FT1,,408065RHLR-G2K,RHL300,24,alt,ETS-2-64:6491839B,1277,ETS-2-64,6491839B,1,1
QFN25,4410,1,FT1,,408065RHLR-G2K,RHL300,24,alt,ETS-S-64:6491839B,1277,ETS-S-64,6491839B,1,1
QFN25,4410,1,FT1,,408065RHLR-G2K,RHL300,24,alt,ETS-1M-64:6491839B,1277,ETS-1M-64,6491839B,1,1
QFN25,4410,1,FT1,,408065RHLR-G2K,RHL300,24,alt,ETS-2M-64:6491839B,1277,ETS-2M-64,6491839B,1,1
