machine_instance,Tooling_Family
CLFTEA01,6529253A                                     
CLFTEA02,6487925B                                     
CLFTEA03,6512302B                                     
CLFTEA04,6505620C                                     
CLFTEA05,6513990A                                     
CLFTEA06,6506727A                                     
CLFTEA07,6526024A                                     
CLFTEA08,6555551A                                     
CLFTEA09,6493741B                                     
CLFTEA10,6514600A                                     
CLFTEA11,6525585A                                     
CLFTEA12,6487925B                                     
CLFTEA13,6517950B                                     
CLFTEA14,6512615D                                     
CLFTEA15,6553495A                                     
CLFTEA16,6484140A                                     
CLFTEA17,6505771B                                     
CLFTEA18,6546054A                                     
CLFTEA19,6526546B                                     
CLFTEA21,6526546B                                     
CLFTEA23,TURN ON ALL SITES                            
CLFTEA24,6560309A                                     
CLFTEA25,6525585A                                     
CLFTEA26,6474104A                                     
CLFTEA27,6547181A                                     
CLFTEA28,6487925B                                     
CLFTEA29,6575258A                                     
CLFTEA30,6528917C                                     
CLFTEA31,6515677C                                     
CLFTEA32,6553054A                                     
CLFTEA33,6487839B                                     
CLFTEA34,6570729C                                     
CLFTEA35,6513884B                                     
CLFTEA36,6570774A                                     
CLFTEA38,6525585A                                     
CLFTEA39,6498316A                                     
CLFTEA40,6513992A                                     
CLFTEA41,6570774A                                     
CLFTEA42,6566885A                                     
CLFTEA43,6546054A                                     
CLFTEA44,6515677C                                     
CLFTEA45,6471369E                                     
CLFTEA46,6546767B                                     
CLFTEA47,6571495A                                     
CLFTEA48,6555551A                                     
CLFTEA49,6570774A                                     
CLFTEA50,6544140B                                     
CLFTEA51,6569094B                                     
CLFTEA52,6579768C                                     
CLFTEA53,6579768C                                     
CLFTEA54,6579768C                                     
CLFTEA55,6586662A                                     
CLFTEA56,6519267C                                     
CLFTEA57,6515677C                                     
CLFTEA58,6569306A                                     
CLFTEA59,6479550B                                     
CLFTEA60,6515577B                                     
CLFTEA61,6543758C                                     
CLFTEA62,6568521A                                     
CLFTEA63,6515577B                                     
CLFTEA64,6514494A                                     
CLFTEA65,6569306A                                     
CLFTEA66,6571495A                                     
CLFTEA67,6522212C                                     
CLFTEA68,6525585A                                     
CLFTEA69,6525585A                                     
CLFTEA70,6569306A                                     
CLFTEA71,6487925B                                     
CLFTEA72,6527607B                                     
CLFTEA73,6548880A                                     
CLFTEA74,6543758C                                     
CLFTEA75,6543758C                                     
CLFTEA76,6575577B                                     
CLFTEA77,6507988A                                     
CLFTEA79,6577168A                                     
CLFTEA80,6525600B                                     
CLFTEA81,6520958B                                     
CLFTEA82,6487925B                                     
CLFTEA83,6570774A                                     
CLFTEA84,6525585A                                     
CLFTEA85,6575258A                                     
CLFTEA86,6541231B                                     
CLFTEA87,6556725A                                     
CLFTEA88,6487839B                                     
CLFTEA89,6579768C                                     
CLFTEA90,6579768C                                     
CLFTEA92,6579768C                                     
CLFTEA93,6582044D                                     
CLFTEA94,6582044D                                     
CLFTEA96,6506370A                                     
CLFTEA96,6577359A                                     
