machine_instance,Tooling_Family,Machine_Family,Cerification
CLFTEA01,6529253A                                     ,ETS-0-64                                     ,1
CLFTEA02,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA03,6512302B                                     ,ETS-0-64                                     ,1
CLFTEA04,6505620C                                     ,ETS-0-64                                     ,1
CLFTEA05,6513990A                                     ,ETM-0M-64                                    ,2
CLFTEA06,6506727A                                     ,ETS-2-64                                     ,1
CLFTEA07,6526024A                                     ,ETS-0-64                                     ,3
CLFTEA08,6555551A                                     ,ETS-0-64                                     ,1
CLFTEA09,6493741B                                     ,ETS-0-64                                     ,1
CLFTEA10,6514600A                                     ,ETS-2-128                                    ,1
CLFTEA11,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA12,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA13,6517950B                                     ,ETM-0M-64                                    ,3
CLFTEA13,6517950B                                     ,ETM-0M-64                                    ,1
CLFTEA14,6512615D                                     ,ETS-2-64                                     ,1
CLFTEA15,6553495A                                     ,ETS-2-64                                     ,1
CLFTEA16,6484140A                                     ,ETS-0-64                                     ,1
CLFTEA17,6505771B                                     ,ETS-0-64                                     ,1
CLFTEA18,6546054A                                     ,ETS-2-64                                     ,1
CLFTEA19,6526546B                                     ,ETS-0-64                                     ,2
CLFTEA21,6526546B                                     ,ETS-0-64                                     ,2
CLFTEA23,TURN ON ALL SITES                            ,ETS-2-64                                     ,1
CLFTEA24,6560309A                                     ,ETM-2-64                                     ,1
CLFTEA25,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA26,6474104A                                     ,ETS-0-64                                     ,2
CLFTEA27,6547181A                                     ,ETS-2-64                                     ,1
CLFTEA28,6487925B                                     ,ETS-0-64                                     ,1
CLFTEA29,6575258A                                     ,ETS-2-64                                     ,1
CLFTEA30,6528917C                                     ,ETS-2-64                                     ,1
CLFTEA31,6515677C                                     ,ETS-2M-64                                    ,2
CLFTEA32,6553054A                                     ,ETS-2-64                                     ,1
CLFTEA33,6487839B                                     ,ETS-2-64                                     ,1
CLFTEA34,6570729C                                     ,ETS-2-64                                     ,1
CLFTEA35,6513884B                                     ,ETS-0-64                                     ,1
CLFTEA36,6570774A                                     ,ETS-2-64                                     ,1
CLFTEA38,6525585A                                     ,ETS-2-64                                     ,1
CLFTEA39,6498316A                                     ,ETS-2-64                                     ,1
