LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE,PKG_size,FLOW
5821236,Q24617RGER-G2K,RGE300       ,24,5039,1462.00,5821236,4410,1,13.06,12.51,14.61,                   ,9/16/2015 10:06,,4X4,STD
5826429,S24772RGER-G2K,RGE300       ,24,9896,1313.00,5826429,4410,1,12.97,12.41,13.12,                   ,9/16/2015 10:06,,4X4,STD
5826428,S24771RGER-G2K,RGE300       ,24,5015,1313.00,5826428,4410,1,12.97,12.41,13.12,                   ,9/16/2015 10:06,,4X4,STD
5826431,S24772RGER-G2K,RGE300       ,24,5033,1313.00,5826431,4410,1,12.97,12.41,13.12,                   ,9/16/2015 10:06,,4X4,STD
5826427,S24771RGER-G2K,RGE300       ,24,9920,1313.00,5826427,4410,1,12.97,12.41,13.12,9/16/2015 5:26,9/16/2015 10:06,CLFTEA86,4X4,STD
5826423,PS53313RGER-G2,RGE300       ,24,10050,1312.00,5826423,4410,1,13.06,12.51,13.12,                   ,9/16/2015 10:06,,4X4,STD
5826422,PS53313RGER-G2,RGE300       ,24,10033,1312.00,5826422,4410,1,13.06,12.51,13.12,9/16/2015 8:46,9/16/2015 10:06,CLFTEA47,4X4,STD
5826424,PS53313RGER-G2,RGE300       ,24,6242,1312.00,5826424,4410,1,13.06,12.51,13.12,                   ,9/16/2015 10:06,,4X4,STD
5829770,Q24617RGER-G2K,RGE300       ,24,10075,1211.00,5829770,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829768,Q24617RGER-G2K,RGE300       ,24,10057,1211.00,5829768,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829772,Q24617RGER-G2K,RGE300       ,24,5023,1211.00,5829772,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829766,PS53313RGER-G2,RGE300       ,24,9969,1211.00,5829766,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829769,Q24617RGER-G2K,RGE300       ,24,10071,1211.00,5829769,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829767,PS53313RGER-G2,RGE300       ,24,9612,1211.00,5829767,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829771,Q24617RGER-G2K,RGE300       ,24,8972,1211.00,5829771,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5829758,PS53313RGER-G2,RGE300       ,24,10005,1211.00,5829758,4410,1,13.06,12.51,12.11,                   ,9/16/2015 10:06,,4X4,STD
5833410,Q24296MRGER-G2,RGE300       ,24,10016,1106.00,5833410,4410,1,12.97,12.41,11.05,                   ,9/16/2015 10:06,,4X4,STD
5841214,Q24296MRGER-G2,RGE300       ,24,10073,849.00,5841214,4410,1,13.1,12.41,8.35,                   ,9/16/2015 10:06,,4X4,STD
5841213,Q24296MRGER-G2,RGE300       ,24,10070,849.00,5841213,4410,1,13.1,12.41,8.35,                   ,9/16/2015 10:06,,4X4,STD
5842028,Q24610RGER-G2K,RGE300       ,24,10026,826.00,5842028,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5842031,Q24610RGER-G2K,RGE300       ,24,5017,826.00,5842031,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5842024,Q24610RGER-G2K,RGE300       ,24,10048,826.00,5842024,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5842030,Q24610RGER-G2K,RGE300       ,24,8230,826.00,5842030,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5842026,Q24610RGER-G2K,RGE300       ,24,10066,826.00,5842026,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
5842029,Q24610RGER-G2K,RGE300       ,24,10051,826.00,5842029,4410,1,13.1,12.41,8.11,                   ,9/16/2015 10:06,,4X4,STD
